timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,50.12210820410434,49.87789179589566,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
73,60000,60000,38.1,48.3,50.12210820410434,49.87789179589566,8,13,1.0,1.0,8.0,13.0,1.0,1.0,0.01,0.01,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,9.125,5.615384615384615
145,58586.310127349665,60760.88987265034,38.1,48.3,50.12210820410434,49.87789179589566,8,16,1.0,1.0,8.0,16.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,24.0
206,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,9,18,1.0,1.0,9.0,18.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,61.0,30.5
305,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,12,20,1.0,1.0,12.0,20.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,33.0,49.5
377,58543.45298449252,60803.74701550749,38.1,48.3,50.12210820410434,49.87789179589566,12,21,1.0,1.0,12.0,21.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,72.0
463,58461.634802674336,60885.565197325675,38.1,48.3,50.12210820410434,49.87789179589566,12,25,1.0,1.0,12.0,24.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,21.5
547,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,12,27,1.0,1.0,12.0,26.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,42.0
614,58117.13719501884,61230.06280498117,38.1,48.3,50.12210820410434,49.87789179589566,12,27,1.0,1.0,12.0,26.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
712,58117.13719501884,61230.06280498117,30.0,56.39999999999999,50.12210820410434,49.87789179589566,13,27,1.0,1.0,12.0,26.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.011138246267578743,0.005895731890767809,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,98.0,None
