sweep_name,economic_split,pool_committed_split,pool_ideology_strength,pool_max_loss_pct,outcome,total_reorgs,reorg_mass,cascade_time_s,econ_lag_s,duration,scenario_id,contentiousness,sp_pools,sp_economic,z_joint,surprise
econ_committed_2016_grid,0.5,0.58,0.51,0.26,contested,2,124,,,13000,sweep_0015,0.017788423153692615,0.10782992280357798,0.0,0.12488152837697178,0.02913902328796009
econ_committed_2016_grid,0.5,0.65,0.51,0.26,contested,0,0,,,13000,sweep_0016,0.0,0.024506800637176807,0.0,0.024506800637176807,0.004656292121063592
econ_committed_2016_grid,0.5,0.75,0.51,0.26,contested,0,0,,,13000,sweep_0017,0.0,0.0,0.0,0.0,0.0
econ_committed_2016_grid,0.6,0.43,0.51,0.26,contested,5,100,,,13000,sweep_0021,0.036926147704590816,0.08190522870096457,0.14146037029332223,0.2587622218744243,0.176245824454469
lhs_2016_6param,0.5341,0.4907,0.7837,0.2346,contested,5,310,,,13000,sweep_0006,0.04447105788423154,0.08577380223011886,0.0009458428680396711,0.12934865903164303,0.04742784164493578
lhs_2016_6param,0.7198,0.4155,0.6152,0.3463,contested,5,183,,,13000,sweep_0012,0.03990818363273453,0.012253400318588362,0.024386658345468368,0.07489519800813613,0.0354503937238511
lhs_2016_6param,0.4773,0.5016,0.498,0.2654,contested,5,601,,,13000,sweep_0030,0.05492614770459081,0.12253400318588402,0.0,0.17518504472186366,0.07240981848503698
lhs_2016_6param,0.7492,0.4575,0.6316,0.3285,contested,5,268,,,13000,sweep_0033,0.04296207584830339,0.07597108197524807,0.37705013521947167,0.4942037529175349,0.2619279890462935
lhs_2016_6param,0.3346,0.3013,0.7572,0.2323,contested,5,633,,,13000,sweep_0034,0.05607584830339321,0.031858840828329855,0.0,0.08561196100101,0.022544483063599297
lhs_2016_6param,0.5821,0.3533,0.4835,0.384,contested,5,497,,,13000,sweep_0037,0.05118962075848303,0.027774374055466986,0.1878718535469106,0.26471551356908063,0.10456262785978686
lhs_2016_6param,0.4295,0.3975,0.4466,0.2988,contested,5,599,,,13000,sweep_0046,0.05485429141716566,0.0012253400318588282,0.0,0.05380750165304469,0.01578353381822644
lhs_2016_6param,0.6134,0.3526,0.6583,0.3283,contested,5,470,,,13000,sweep_0048,0.050219560878243516,0.046562921210635974,0.14474141876430194,0.2394437470919249,0.03994529812597034
lhs_2016_6param,0.4701,0.4625,0.6287,0.3527,contested,5,323,,,13000,sweep_0050,0.04493812375249501,0.022056120573459133,0.0,0.06513285395310321,0.005644847342602279
lhs_2016_6param,0.5547,0.5091,0.7269,0.3887,contested,5,628,,,13000,sweep_0067,0.05589620758483034,0.13233672344075478,0.010620622703002552,0.196538266529453,0.053065331962952315
lhs_2016_6param,0.301,0.5196,0.416,0.3627,contested,5,622,,,13000,sweep_0073,0.05568063872255489,0.1838010047788261,0.0,0.23717528542014044,0.14546750839101946
lhs_2016_6param,0.5403,0.3878,0.5142,0.3681,contested,5,405,,,13000,sweep_0084,0.04788423153692614,0.08128088877996975,0.11364445369022028,0.2408261523563791,0.05405209197332064
lhs_2016_6param,0.7526,0.3922,0.6384,0.3935,contested,5,611,,,13000,sweep_0086,0.055285429141716566,0.007352040191153051,0.20751404202205098,0.26786152332315255,0.0517865611758095
