sweep_name,scenario_id,user_custody_fraction,user_split,outcome,winning_fork,final_v27_hashrate,v27_econ_share,cascade_time_s,econ_outcome,hr_type
lhs_user_weight_prim,sweep_0000,0.1267,0.6252,v27_dominant,v27,86.4,1.0,2516.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0001,0.3235,0.4462,v27_dominant,v27,86.4,1.0,1316.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0002,0.4386,0.6482,v27_dominant,v27,86.4,1.0,1345.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0003,0.2205,0.2881,contested,v26,50.5,0.5826738857147157,,no_switch,partial equilibrium
lhs_user_weight_prim,sweep_0004,0.2894,0.5332,v27_dominant,v27,86.4,1.0,3775.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0005,0.1545,0.4921,contested,v27,50.5,0.6197845376405171,,partial_switch,partial equilibrium
lhs_user_weight_prim,sweep_0006,0.6486,0.5646,v27_dominant,v27,86.4,1.0,726.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0007,0.4876,0.5774,v27_dominant,v27,86.4,1.0,780.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0009,0.4427,0.2805,v27_dominant,v27,86.4,0.7617542408311762,3207.0,partial_switch,v27 dominant
lhs_user_weight_prim,sweep_0010,0.2764,0.2734,contested,v27,50.5,0.5727840526443266,,no_switch,partial equilibrium
lhs_user_weight_prim,sweep_0011,0.3879,0.2929,v27_dominant,v27,86.4,0.7912456969017693,2031.0,partial_switch,v27 dominant
lhs_user_weight_prim,sweep_0012,0.5747,0.4628,v26_dominant,v26,30.0,0.5200087895871337,,no_switch,no ideology flip
lhs_user_weight_prim,sweep_0013,0.5311,0.6012,v26_dominant,v26,30.0,0.5277225055418557,,no_switch,no ideology flip
lhs_user_weight_prim,sweep_0014,0.5091,0.4746,contested,v27,50.5,0.5463817661578192,,no_switch,partial equilibrium
