timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1770945316.8448179,foundryusa,v27,8134052.407385102,8787100.684913056,v26,True,653048.2775279544,653048.2775279544,Ideology: supporting v27 (loss 7.4% < tolerance 34.0%)
1770945316.8448179,luxor,v27,1191824.7112345588,1287511.2197306594,v26,True,95686.50849610055,95686.50849610055,Ideology: supporting v27 (loss 7.4% < tolerance 28.0%)
1770945316.8448179,ocean,v27,429540.88577489194,464026.88629886706,v26,True,34486.00052397512,34486.00052397512,Ideology: supporting v27 (loss 7.4% < tolerance 29.8%)
1770945316.8448179,antpool,v26,5823001.444483569,6290505.32482619,v26,False,0,0.0,Ideology and profit aligned
1770945316.8448179,viabtc,v26,3445401.8936450826,3722018.4753127433,v26,False,0,0.0,Ideology and profit aligned
1770945316.8448179,f2pool,v26,3403052.7922306573,3676269.345677644,v26,False,0,0.0,Ideology and profit aligned
1770945316.8448179,marapool,v26,2495572.0476358156,2695930.8534969394,v26,False,0,0.0,Ideology and profit aligned
1770945316.8448179,binancepool,v26,3037035.5585774044,3280866.153831426,v26,False,0,0.0,Rational profit maximization
1770945316.8448179,sbicrypto,v26,1382395.6675994762,1493382.3030886075,v26,False,0,0.0,Rational profit maximization
1770945316.8448179,braiinspool,v26,414416.2066983112,447687.9114291886,v26,False,0,0.0,Rational profit maximization
1770945917.566422,foundryusa,v27,7951451.294301042,8970140.929880334,v26,True,1018689.6355792917,1671737.9131072462,Ideology: supporting v27 (loss 11.4% < tolerance 34.0%)
1770945917.566422,luxor,v27,1165069.4719057675,1314330.801923708,v26,True,149261.3300179406,244947.83851404116,Ideology: supporting v27 (loss 11.4% < tolerance 28.0%)
1770945917.566422,ocean,v27,419898.1345447183,473692.8270892553,v26,True,53794.692544537014,88280.69306851213,Ideology: supporting v27 (loss 11.4% < tolerance 29.8%)
1770945917.566422,antpool,v26,5692281.049285794,6421540.08554096,v26,False,0,0.0,Ideology and profit aligned
1770945917.566422,viabtc,v26,3368056.1637072824,3799550.211652547,v26,False,0,0.0,Ideology and profit aligned
1770945917.566422,f2pool,v26,3326657.7560761133,3752848.1019395227,v26,False,0,0.0,Ideology and profit aligned
1770945917.566422,marapool,v26,2439549.021122483,2752088.6080889828,v26,False,0,0.0,Ideology and profit aligned
1770945917.566422,binancepool,v26,2968857.2329781493,3349208.439419804,v26,False,0,0.0,Rational profit maximization
1770945917.566422,sbicrypto,v26,1351362.3062460304,1524490.2956323216,v26,False,0,0.0,Rational profit maximization
1770945917.566422,braiinspool,v26,405112.9889621578,457013.5021917463,v26,False,0,0.0,Rational profit maximization
1770946518.3004823,foundryusa,v27,7974639.663297562,8946955.095685368,v26,True,972315.4323878065,2644053.3454950526,Ideology: supporting v27 (loss 10.9% < tolerance 34.0%)
1770946518.3004823,luxor,v27,1168467.0983039192,1310933.5469319574,v26,True,142466.44862803817,387414.2871420793,Ideology: supporting v27 (loss 10.9% < tolerance 28.0%)
