timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,50.0,50.0,70.0,30.0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
60,60000,60000,50.0,50.0,70.0,30.0,4,3,1.0,1.0,4.0,3.0,1.0,1.0,0.01,0.01,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
121,62914.285714285725,57085.71428571429,50.0,50.0,70.0,30.0,7,7,1.0,1.0,7.0,7.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
181,62400.0,57600.0,50.0,50.0,70.0,30.0,10,9,1.0,1.0,10.0,9.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
241,62589.47368421053,57410.52631578947,50.0,50.0,70.0,30.0,10,9,1.0,1.0,10.0,9.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
301,62589.47368421053,57410.52631578947,50.0,50.0,70.0,30.0,13,11,1.0,1.0,13.0,11.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
362,62699.99999999999,57300.00000000001,50.0,50.0,70.0,30.0,17,12,1.0,1.0,17.0,12.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
423,63020.68965517241,56979.31034482759,50.0,50.0,70.0,30.0,18,16,1.0,1.0,18.0,16.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
483,62611.76470588235,57388.23529411765,50.0,50.0,70.0,30.0,22,20,1.0,1.0,22.0,20.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
543,62571.42857142857,57428.57142857143,50.0,50.0,70.0,30.0,24,23,1.0,1.0,24.0,23.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
603,62476.595744680846,57523.404255319154,50.0,50.0,70.0,30.0,30,27,1.0,1.0,30.0,27.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
664,62589.47368421053,57410.52631578947,50.0,50.0,70.0,30.0,32,36,1.0,1.0,32.0,36.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
724,62188.23529411764,57811.76470588236,50.0,50.0,70.0,30.0,34,38,1.0,1.0,34.0,38.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
784,62200.0,57800.0,50.0,50.0,70.0,30.0,37,39,1.0,1.0,37.0,39.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
844,62305.26315789473,57694.73684210527,50.0,50.0,70.0,30.0,38,41,1.0,1.0,38.0,41.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
904,62263.291139240515,57736.7088607595,50.0,50.0,70.0,30.0,41,43,1.0,1.0,41.0,43.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
965,62314.28571428571,57685.71428571429,50.0,50.0,70.0,30.0,43,44,1.0,1.0,43.0,44.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1025,62358.620689655174,57641.379310344826,50.0,50.0,70.0,30.0,46,49,1.0,1.0,46.0,49.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1085,62286.315789473694,57713.68421052632,50.0,50.0,70.0,30.0,51,50,1.0,1.0,51.0,50.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1145,62435.64356435644,57564.35643564356,50.0,50.0,70.0,30.0,52,54,1.0,1.0,52.0,54.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1206,62332.07547169812,57667.92452830188,50.0,50.0,70.0,30.0,57,61,1.0,1.0,57.0,61.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1266,62277.96610169492,57722.03389830508,50.0,50.0,70.0,30.0,62,62,1.0,1.0,62.0,62.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1326,62400.0,57600.0,50.0,50.0,70.0,30.0,64,66,1.0,1.0,64.0,66.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1386,62344.61538461538,57655.38461538462,50.0,50.0,70.0,30.0,67,68,1.0,1.0,67.0,68.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1446,62373.333333333336,57626.666666666664,50.0,50.0,70.0,30.0,73,74,1.0,1.0,73.0,74.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1506,62375.510204081635,57624.489795918365,50.0,50.0,70.0,30.0,75,75,1.0,1.0,75.0,75.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1566,62400.0,57600.0,50.0,50.0,70.0,30.0,77,78,1.0,1.0,77.0,78.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1626,62376.774193548394,57623.22580645162,50.0,50.0,70.0,30.0,78,80,1.0,1.0,78.0,80.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1687,62354.43037974684,57645.56962025316,50.0,50.0,70.0,30.0,81,85,1.0,1.0,81.0,85.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1747,62313.2530120482,57686.74698795182,50.0,50.0,70.0,30.0,90,90,1.0,1.0,90.0,90.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
1807,62400.0,57600.0,50.0,50.0,70.0,30.0,97,91,1.0,1.0,97.0,91.0,0.04666666666666666,0.02,0.00046666666666666666,0.0002,0.04666666666666666,0.019999999999999997,0,0,70.0,30.0,0.0,0.0
