timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
60,60000,60000,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,4,3,1.0,1.0,4.0,3.0,1.0,1.0,0.01,0.01,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
120,61057.553272769794,58864.206727230216,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,7,7,1.0,1.0,7.0,7.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
180,60543.267558484076,59378.492441515926,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,10,9,1.0,1.0,10.0,9.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
240,60732.74124269461,59189.018757305406,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,10,9,1.0,1.0,10.0,9.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
300,60732.74124269461,59189.018757305406,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,13,11,1.0,1.0,13.0,11.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
361,60843.26755848407,59078.492441515926,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,18,12,1.0,1.0,18.0,12.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
421,61263.267558484076,58658.492441515926,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,18,16,1.0,1.0,18.0,16.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
481,60755.03226436642,59166.727735633576,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,21,21,1.0,1.0,21.0,21.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
541,60543.267558484076,59378.492441515926,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,25,23,1.0,1.0,25.0,23.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
602,60693.26755848407,59228.49244151593,59.48,38.89,55.003229654033994,44.99677034596602,30,29,1.0,1.0,30.0,29.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
