timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,52.48,45.89,55.003229654033994,44.99677034596602,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
60,60000,60000,52.48,45.89,55.003229654033994,44.99677034596602,1,5,1.0,1.0,1.0,5.0,1.0,1.0,0.01,0.01,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
120,58319.42755848408,61602.33244151592,52.48,45.89,55.003229654033994,44.99677034596602,2,9,1.0,1.0,2.0,9.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
180,58428.51846757499,61493.241532425025,52.48,45.89,55.003229654033994,44.99677034596602,4,10,1.0,1.0,4.0,10.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
240,59176.570415626935,60745.189584373074,52.48,45.89,55.003229654033994,44.99677034596602,5,11,1.0,1.0,5.0,11.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
301,59369.42755848409,60552.33244151594,52.48,45.89,55.003229654033994,44.99677034596602,10,12,1.0,1.0,10.0,12.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
361,60392.15483121135,59529.60516878865,52.48,45.89,55.003229654033994,44.99677034596602,11,13,1.0,1.0,11.0,13.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
422,60419.42755848409,59502.33244151592,52.48,45.89,55.003229654033994,44.99677034596602,13,14,1.0,1.0,13.0,14.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
482,60586.09422515075,59335.66577484926,52.48,45.89,55.003229654033994,44.99677034596602,17,17,1.0,1.0,17.0,17.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
543,60719.42755848408,59202.33244151592,52.48,45.89,55.003229654033994,44.99677034596602,24,19,1.0,1.0,24.0,19.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.034935994444889484,0.03268451394346336,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
603,61138.032209646866,58783.727790353136,86.98,11.39,55.003229654033994,44.99677034596602,29,24,1.0,1.0,29.0,24.0,0.034936074696235095,0.03268442216768175,0.00034936074696235097,0.0003268442216768175,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
663,62715.05019999351,57206.709800006494,86.98,11.39,55.003229654033994,44.99677034596602,34,24,1.0,1.0,34.0,24.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
723,62996.11721365649,56925.64278634352,86.98,11.39,55.003229654033994,44.99677034596602,40,24,1.0,1.0,40.0,24.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
784,63275.42755848408,56646.33244151593,86.98,11.39,55.003229654033994,44.99677034596602,46,24,1.0,1.0,46.0,24.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
844,63506.85612991266,56414.90387008735,86.98,11.39,55.003229654033994,44.99677034596602,49,26,1.0,1.0,49.0,26.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
904,63479.42755848408,56442.33244151593,86.98,11.39,55.003229654033994,44.99677034596602,54,28,1.0,1.0,54.0,28.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
964,63516.89097311823,56404.86902688178,86.98,11.39,55.003229654033994,44.99677034596602,61,28,1.0,1.0,61.0,28.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1025,63710.259019158235,56211.50098084177,86.98,11.39,55.003229654033994,44.99677034596602,69,30,1.0,1.0,69.0,30.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1085,63793.6093766659,56128.150623334106,86.98,11.39,55.003229654033994,44.99677034596602,74,31,1.0,1.0,74.0,31.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1145,63849.71327276979,56072.04672723022,86.98,11.39,55.003229654033994,44.99677034596602,77,32,1.0,1.0,77.0,32.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.021078880069760858,0.1316850171084753,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1205,63861.66609059417,56060.09390940584,98.36999999999999,0.0,55.003229654033994,44.99677034596602,79,34,1.0,1.0,79.0,34.0,0.021078928489979505,0.13168464734634902,0.00021078928489979504,0.0013168464734634902,0.018638212752544472,14.99892344865534,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1266,64355.77587706816,55565.984122931855,98.36999999999999,0.0,55.003229654033994,44.99677034596602,85,34,1.0,1.0,85.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1326,64465.00470134123,55456.75529865878,98.36999999999999,0.0,55.003229654033994,44.99677034596602,90,34,1.0,1.0,90.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1386,64547.95401009699,55373.80598990302,98.36999999999999,0.0,55.003229654033994,44.99677034596602,96,34,1.0,1.0,96.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1446,64639.07063540715,55282.68936459285,98.36999999999999,0.0,55.003229654033994,44.99677034596602,105,34,1.0,1.0,105.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1506,64760.99647934739,55160.76352065262,98.36999999999999,0.0,55.003229654033994,44.99677034596602,111,34,1.0,1.0,111.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1566,64833.87169641511,55087.88830358489,98.36999999999999,0.0,55.003229654033994,44.99677034596602,113,34,1.0,1.0,113.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1626,64856.8414360351,55064.91856396491,98.36999999999999,0.0,55.003229654033994,44.99677034596602,117,34,1.0,1.0,117.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1687,64900.95550550395,55020.80449449606,98.36999999999999,0.0,55.003229654033994,44.99677034596602,124,34,1.0,1.0,124.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1747,64972.78046987649,54948.97953012352,98.36999999999999,0.0,55.003229654033994,44.99677034596602,130,34,1.0,1.0,130.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1807,65029.46463165482,54892.29536834519,98.36999999999999,0.0,55.003229654033994,44.99677034596602,135,34,1.0,1.0,135.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1867,65073.62684842491,54848.1331515751,98.36999999999999,0.0,55.003229654033994,44.99677034596602,141,34,1.0,1.0,141.0,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.018638212752544472,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1927,65123.290415626936,54798.46958437307,98.36999999999999,0.0,55.003229654033994,44.99677034596602,147,34,0.7551127425275301,1.0,146.2653382275826,34.0,0.018638255566315112,14.998881332749159,0.00018638255566315112,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1988,65164.14938530814,54757.61061469187,98.36999999999999,0.0,55.003229654033994,44.99677034596602,159,35,0.7551127425275301,1.0,155.32669113791295,35.0,0.014073984276609207,14.998881332749159,0.00014073984276609207,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
2048,65198.10835781623,54723.65164218378,98.36999999999999,0.0,55.003229654033994,44.99677034596602,161,35,0.7551127425275301,1.0,156.836916622968,35.0,0.014073984276609207,14.998881332749159,0.00014073984276609207,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
2108,65208.53178297996,54713.22821702005,98.36999999999999,0.0,55.003229654033994,44.99677034596602,164,35,0.7551127425275301,1.0,159.1022548505506,35.0,0.014073984276609207,14.998881332749159,0.00014073984276609207,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
2168,65223.862795156485,54697.897204843524,98.36999999999999,0.0,55.003229654033994,44.99677034596602,171,35,0.7551127425275301,1.0,164.3880440482433,35.0,0.014073984276609207,14.998881332749159,0.00014073984276609207,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
2229,65258.280403344994,54663.47959665501,98.36999999999999,0.0,55.003229654033994,44.99677034596602,186,35,0.7551127425275301,1.0,175.71473518615625,35.0,0.014073984276609207,14.998881332749159,0.00014073984276609207,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
2289,65326.21790611606,54595.54209388395,98.36999999999999,0.0,55.003229654033994,44.99677034596602,192,35,0.7551127425275301,1.0,180.24541164132143,35.0,0.014073984276609207,14.998881332749159,0.00014073984276609207,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
2349,65351.3908948302,54570.369105169804,98.36999999999999,0.0,55.003229654033994,44.99677034596602,197,35,0.7551127425275301,1.0,184.02097535395907,35.0,0.014073984276609207,14.998881332749159,0.00014073984276609207,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
2409,65371.57282657659,54550.18717342342,98.36999999999999,0.0,55.003229654033994,44.99677034596602,202,35,0.7551127425275301,1.0,187.79653906659672,35.0,0.014073984276609207,14.998881332749159,0.00014073984276609207,0.1499888133274916,0.014073951947385444,14.99892344865534,0,139.98881332749158,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
