timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
60,60000,60000,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,0,5,1.0,1.0,0.0,5.0,1.0,1.0,0.01,0.01,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
120,60000,60000,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,2,7,1.0,1.0,2.0,7.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
180,58131.907558484076,61789.85244151593,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,6,15,1.0,1.0,6.0,15.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
241,58589.05041562694,61332.70958437307,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,9,18,1.0,1.0,9.0,18.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
301,58931.90755848408,60989.852441515926,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,12,21,1.0,1.0,12.0,21.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
361,59150.0893766659,60771.6706233341,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,13,27,1.0,1.0,13.0,27.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
421,58871.90755848408,61049.85244151593,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,19,32,1.0,1.0,19.0,32.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
481,59214.26049966055,60707.49950033946,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,23,38,1.0,1.0,23.0,38.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
541,59246.661656844735,60675.098343155274,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,26,41,1.0,1.0,26.0,41.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
602,59325.937409230355,60595.822590769654,32.25,66.12,55.003229654033994,44.99677034596602,29,47,1.0,1.0,29.0,47.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
662,58895.75597953671,61026.00402046329,32.25,66.12,55.003229654033994,44.99677034596602,31,49,1.0,1.0,31.0,49.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
722,58938.38755848408,60983.37244151592,32.25,66.12,55.003229654033994,44.99677034596602,32,56,1.0,1.0,32.0,56.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
783,58766.569376665895,61155.19062333411,32.25,66.12,55.003229654033994,44.99677034596602,34,61,1.0,1.0,34.0,61.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
843,58725.22966374723,61196.53033625277,32.25,66.12,55.003229654033994,44.99677034596602,38,62,1.0,1.0,38.0,62.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
903,58884.38755848408,61037.37244151592,32.25,66.12,55.003229654033994,44.99677034596602,38,63,1.0,1.0,38.0,63.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
964,58857.29844957319,61064.461550426815,32.25,66.12,55.003229654033994,44.99677034596602,38,68,1.0,1.0,38.0,68.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1024,58729.51963395577,61192.24036604423,32.25,66.12,55.003229654033994,44.99677034596602,38,72,1.0,1.0,38.0,72.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1084,58635.6602857568,61286.0997142432,32.25,66.12,55.003229654033994,44.99677034596602,41,73,1.0,1.0,41.0,73.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1144,58737.8612426946,61183.898757305404,32.25,66.12,55.003229654033994,44.99677034596602,45,77,1.0,1.0,45.0,77.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1204,58804.125263402115,61117.63473659789,32.25,66.12,55.003229654033994,44.99677034596602,47,81,1.0,1.0,47.0,81.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1264,58792.137558484086,61129.62244151593,32.25,66.12,55.003229654033994,44.99677034596602,51,86,1.0,1.0,51.0,86.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1325,58828.679529286994,61093.08047071301,32.25,66.12,55.003229654033994,44.99677034596602,54,89,1.0,1.0,54.0,89.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1385,58867.268677365195,61054.49132263481,32.25,66.12,55.003229654033994,44.99677034596602,57,96,1.0,1.0,57.0,96.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1445,58830.74049966055,61091.019500339455,32.25,66.12,55.003229654033994,44.99677034596602,58,104,1.0,1.0,58.0,104.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1505,58726.16533626186,61195.59466373816,32.25,66.12,55.003229654033994,44.99677034596602,58,107,1.0,1.0,58.0,107.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1565,58679.296649393174,61242.46335060684,32.25,66.12,55.003229654033994,44.99677034596602,60,111,1.0,1.0,60.0,111.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1625,58674.703347957766,61247.05665204224,32.25,66.12,55.003229654033994,44.99677034596602,62,118,1.0,1.0,62.0,118.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1686,58628.387558484086,61293.372441515916,32.25,66.12,55.003229654033994,44.99677034596602,63,125,1.0,1.0,63.0,125.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1746,58561.15351593089,61360.606484069125,32.25,66.12,55.003229654033994,44.99677034596602,64,130,1.0,1.0,64.0,130.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
