timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
60,60000,60000,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,1,5,1.0,1.0,1.0,5.0,1.0,1.0,0.01,0.01,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
120,57731.90755848408,62189.852441515926,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,2,9,1.0,1.0,2.0,9.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
180,57840.99846757499,62080.76153242502,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,3,10,1.0,1.0,3.0,10.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
240,58193.446020022544,61728.313979977465,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,4,11,1.0,1.0,4.0,11.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
301,58451.90755848408,61469.852441515926,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,4,16,1.0,1.0,4.0,16.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
361,57971.90755848408,61949.852441515926,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,5,18,1.0,1.0,5.0,18.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
422,58097.124949788435,61824.635050211575,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,7,21,1.0,1.0,7.0,21.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
482,58331.90755848408,61589.852441515926,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,10,25,1.0,1.0,10.0,25.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
542,58589.05041562694,61332.70958437307,40.239999999999995,58.129999999999995,55.003229654033994,44.99677034596602,12,32,1.0,1.0,12.0,32.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.04556264881878231,0.02580237992199439,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
603,58495.54392212044,61426.216077879566,32.25,66.12,55.003229654033994,44.99677034596602,16,36,1.0,1.0,16.0,36.0,0.045562753480576985,0.025802307470753752,0.0004556275348057698,0.00025802307470753754,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
663,58363.7721738687,61557.98782613131,32.25,66.12,55.003229654033994,44.99677034596602,19,42,1.0,1.0,19.0,42.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
723,58391.01050930374,61530.74949069626,32.25,66.12,55.003229654033994,44.99677034596602,22,43,1.0,1.0,22.0,43.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
784,58585.31063540716,61336.44936459285,32.25,66.12,55.003229654033994,44.99677034596602,23,46,1.0,1.0,23.0,46.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
844,58548.38755848408,61373.37244151592,32.25,66.12,55.003229654033994,44.99677034596602,25,47,1.0,1.0,25.0,47.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
904,58648.38755848408,61273.37244151592,32.25,66.12,55.003229654033994,44.99677034596602,26,52,1.0,1.0,26.0,52.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
964,58548.38755848408,61373.37244151592,32.25,66.12,55.003229654033994,44.99677034596602,26,58,1.0,1.0,26.0,58.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1024,58376.95898705551,61544.801012944496,32.25,66.12,55.003229654033994,44.99677034596602,30,60,1.0,1.0,30.0,60.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1084,58548.38755848408,61373.37244151592,32.25,66.12,55.003229654033994,44.99677034596602,32,63,1.0,1.0,32.0,63.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1144,58573.65071637881,61348.10928362119,32.25,66.12,55.003229654033994,44.99677034596602,34,66,1.0,1.0,34.0,66.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1204,58596.38755848407,61325.37244151593,32.25,66.12,55.003229654033994,44.99677034596602,38,68,1.0,1.0,38.0,68.0,0.05685101395529976,0.022684333534103384,0.0005685101395529977,0.00022684333534103384,0.056850883363342625,0.022684397230271235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
