timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1771734303.6269073,foundryusa,v27,81552997.03207083,87621656.28022315,v26,True,6068659.248152316,6068659.248152316,Ideology: supporting v27 (loss 6.9% < tolerance 1000.0%)
1771734303.6269073,ocean,v26,4306629.07346748,4627101.224169463,v26,False,0,0.0,Forced switch: exceeded max loss $200,000
1771734303.6269073,braiinspool,v26,4154987.2046834156,4464175.124726877,v26,False,0,0.0,Forced switch: exceeded max loss $150,000
1771734303.6269073,antpool,v26,58382119.481865495,62726548.28539589,v26,False,0,0.0,Ideology and profit aligned
1771734303.6269073,viabtc,v26,34544017.70901029,37114565.45302126,v26,False,0,0.0,Ideology and profit aligned
1771734303.6269073,f2pool,v26,34119420.476414904,36658372.37458201,v26,False,0,0.0,Ideology and profit aligned
1771734303.6269073,binancepool,v26,30449687.251840495,32715560.768071406,v26,False,0,0.0,Ideology and profit aligned
1771734303.6269073,sbicrypto,v26,13860066.806863653,14891445.489052428,v26,False,0,0.0,Ideology and profit aligned
1771734303.6269073,marapool,v26,25020908.349370927,26882806.408026807,v26,False,0,0.0,Rational profit maximization
1771734303.6269073,luxor,v26,11949379.260184418,12838576.636075836,v26,False,0,0.0,Rational profit maximization
1771734903.9509404,foundryusa,v27,79385924.61577873,89789486.6440747,v26,True,10403562.028295964,16472221.27644828,Ideology: supporting v27 (loss 11.6% < tolerance 1000.0%)
1771734903.9509404,ocean,v26,4192190.8871106654,4741579.436020307,v26,False,0,0.0,Forced switch: exceeded max loss $200,000
1771734903.9509404,braiinspool,v26,4044578.531930713,4574622.413625227,v26,False,0,0.0,Forced switch: exceeded max loss $150,000
1771734903.9509404,antpool,v26,56830756.7442819,64278453.622106284,v26,False,0,0.0,Ideology and profit aligned
1771734903.9509404,viabtc,v26,33626094.5099933,38032809.70159951,v26,False,0,0.0,Ideology and profit aligned
1771734903.9509404,f2pool,v26,33212779.91548942,37565330.03889328,v26,False,0,0.0,Ideology and profit aligned
1771734903.9509404,binancepool,v26,29640560.92013456,33524970.096932314,v26,False,0,0.0,Ideology and profit aligned
1771734903.9509404,sbicrypto,v26,13491769.263447704,15259871.846910426,v26,False,0,0.0,Ideology and profit aligned
1771734903.9509404,marapool,v26,24356038.604692243,27547908.695188403,v26,False,0,0.0,Rational profit maximization
1771734903.9509404,luxor,v26,11631853.588180296,13156213.364732403,v26,False,0,0.0,Rational profit maximization
