timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1771700852.3134422,foundryusa,v27,248661678.10857016,155167888.8026691,v27,False,0,0.0,Ideology and profit aligned
1771700852.3134422,ocean,v27,13131260.056309765,8194064.786158053,v27,False,0,0.0,Ideology and profit aligned
1771700852.3134422,braiinspool,v27,12668891.744467871,7905541.378194744,v27,False,0,0.0,Ideology and profit aligned
1771700852.3134422,antpool,v27,178011800.05912888,111081512.06587505,v27,False,0,0.0,Forced switch: exceeded max loss $5,000,000
1771700852.3134422,viabtc,v27,105327501.43758327,65725632.33404243,v27,False,0,0.0,Forced switch: exceeded max loss $2,000,000
1771700852.3134422,f2pool,v27,104032870.16442594,64917766.791745156,v27,False,0,0.0,Forced switch: exceeded max loss $1,000,000
1771700852.3134422,binancepool,v27,92843557.01785213,57935500.31903301,v27,False,0,0.0,Forced switch: exceeded max loss $500,000
1771700852.3134422,sbicrypto,v27,42260463.70234904,26371039.487846702,v27,False,0,0.0,Forced switch: exceeded max loss $200,000
1771700852.3134422,marapool,v27,76290771.45391238,47606362.313946456,v27,False,0,0.0,Rational profit maximization
1771700852.3134422,luxor,v27,36434622.97314117,22735644.54750897,v27,False,0,0.0,Rational profit maximization
1771701452.5632288,foundryusa,v27,103687602.94337842,128339745.12918866,v26,True,24652142.185810238,24652142.185810238,Ideology: supporting v27 (loss 19.2% < tolerance 1000.0%)
1771701452.5632288,ocean,v26,5475507.481576696,6777331.278670426,v26,False,0,0.0,Forced switch: exceeded max loss $200,000
1771701452.5632288,braiinspool,v26,5282707.922366248,6538692.853365133,v26,False,0,0.0,Forced switch: exceeded max loss $150,000
1771701452.5632288,antpool,v26,74227830.2960221,91875793.74253926,v26,False,0,0.0,Ideology and profit aligned
1771701452.5632288,viabtc,v26,43919739.588139825,54361833.2845466,v26,False,0,0.0,Ideology and profit aligned
1771701452.5632288,f2pool,v26,43379900.82235058,53693645.693691775,v26,False,0,0.0,Ideology and profit aligned
1771701452.5632288,binancepool,v26,38714151.489457764,47918595.801303595,v26,False,0,0.0,Ideology and profit aligned
1771701452.5632288,sbicrypto,v26,17621879.71183486,21811552.072904125,v26,False,0,0.0,Ideology and profit aligned
1771701452.5632288,marapool,v26,31811927.26972376,39375340.17537397,v26,False,0,0.0,Rational profit maximization
1771701452.5632288,luxor,v26,15192605.265783226,18804707.91405738,v26,False,0,0.0,Rational profit maximization
