timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,35.775000000000006,62.595,55.003229654033994,44.99677034596602,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
60,60000,60000,35.775000000000006,62.595,55.003229654033994,44.99677034596602,19,28,1.0,1.0,19.0,28.0,1.0,1.0,0.01,0.01,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
120,59228.225856356425,60693.53414364359,35.775000000000006,62.595,55.003229654033994,44.99677034596602,43,65,1.0,1.0,43.0,65.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
180,59184.25422515074,60737.50577484926,35.775000000000006,62.595,55.003229654033994,44.99677034596602,60,104,1.0,1.0,60.0,104.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
240,58951.733899947496,60970.026100052506,35.775000000000006,62.595,55.003229654033994,44.99677034596602,80,148,1.0,0.6127659574468085,80.0,146.45106382978724,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.0014683009326122974,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
301,58861.183469488285,61060.576530511724,35.775000000000006,62.595,55.003229654033994,44.99677034596602,103,206,1.0,0.6127659574468085,103.0,181.9914893617023,0.005124934172071048,0.0014682968097281092,5.124934172071048e-05,1.4682968097281093e-05,0.005124922399630467,0.0014683009326122974,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
361,58919.770527740344,61001.98947225965,35.775000000000006,62.595,55.003229654033994,44.99677034596602,123,265,1.0,0.6127659574468085,123.0,218.14468085106415,0.005124934172071048,0.0014682968097281092,5.124934172071048e-05,1.4682968097281093e-05,0.005124922399630467,0.0014683009326122974,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
422,58913.55358026307,61008.20641973694,35.775000000000006,62.595,55.003229654033994,44.99677034596602,149,324,0.34615384615384615,0.5882553191489361,145.7307692307692,253.41548936170273,0.005124934172071048,0.0014682968097281092,5.124934172071048e-05,1.4682968097281093e-05,0.0017740115998720845,0.0014095688953078053,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
483,58946.352117524664,60975.40788247534,35.775000000000006,62.595,55.003229654033994,44.99677034596602,209,382,0.34615384615384615,0.5882553191489361,166.49999999999957,287.53429787233983,0.0017740156749476701,0.0014095649373389847,1.77401567494767e-05,1.4095649373389847e-05,0.0017740115998720845,0.0014095688953078053,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
544,58957.916726605785,60963.843273394225,35.775000000000006,62.595,55.003229654033994,44.99677034596602,265,440,0.34615384615384615,0.5647251063829787,185.8846153846146,321.46486468084936,0.0017740156749476701,0.0014095649373389847,1.77401567494767e-05,1.4095649373389847e-05,0.0017740115998720845,0.0013531861394954932,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
