timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,35.775000000000006,62.595,55.003229654033994,44.99677034596602,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
60,60000,60000,35.775000000000006,62.595,55.003229654033994,44.99677034596602,21,32,1.0,1.0,21.0,32.0,1.0,1.0,0.01,0.01,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
120,59170.41774716332,60751.34225283667,35.775000000000006,62.595,55.003229654033994,44.99677034596602,46,69,1.0,1.0,46.0,69.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
180,59197.58755848408,60724.17244151592,35.775000000000006,62.595,55.003229654033994,44.99677034596602,61,110,1.0,1.0,61.0,110.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
240,58886.00861111566,61035.75138888435,35.775000000000006,62.595,55.003229654033994,44.99677034596602,81,152,1.0,1.0,81.0,152.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
300,58820.59185032957,61101.16814967043,35.775000000000006,62.595,55.003229654033994,44.99677034596602,108,181,1.0,1.0,108.0,181.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
360,59008.24499793045,60913.515002069566,35.775000000000006,62.595,55.003229654033994,44.99677034596602,131,217,1.0,1.0,131.0,217.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
421,59027.932386070286,60893.82761392972,35.775000000000006,62.595,55.003229654033994,44.99677034596602,150,259,1.0,1.0,150.0,259.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
481,58958.1743555501,60963.585644449915,35.775000000000006,62.595,55.003229654033994,44.99677034596602,171,298,1.0,1.0,171.0,298.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
541,58942.74747319623,60979.012526803774,35.775000000000006,62.595,55.003229654033994,44.99677034596602,193,333,1.0,1.0,193.0,333.0,0.005124934172071048,0.0023961788214312894,5.124934172071048e-05,2.3961788214312897e-05,0.005124922399630467,0.002396185549749235,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
