scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,random_seed,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
baseline_0000,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5741587882484497,0.5,0.5614973262032086,7,0,1800,0.175,0.135,2,50.0,41.89,59206.22561797753,50.0,56.48,60715.534382022466,201,224,0.085,187,0.5,6,0.125,82,118440130146.43146,687125.0543180611,105,121459453276.36853,0,v27
baseline_0001,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.0,0.5,0.24431818181818182,2,0,1800,0.175,0.135,2,50.0,98.36999999999999,64121.76,50.0,0.0,55800.0,202,73,0.085,176,0.5,6,0.125,133,128273496922.8,160806.51036881283,43,111626086500.0,0,v26
baseline_0002,v26_dominant,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.2733556978753685,0.5,0.3411764705882353,1,0,1800,0.175,0.135,2,50.0,71.48,62130.44119760479,50.0,26.89,57791.31880239521,203,28,0.085,170,0.5,6,0.125,112,124289928376.46947,0,58,115609655046.33054,1100172.5123686977,v26
baseline_0003,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5375,0,0,1800,0.175,0.135,2,50.0,47.0,59503.05882352941,50.0,47.0,60208.94117647059,204,0,0.085,160,0.5,6,0.125,74,119033935327.05882,1183089.8458536542,86,120446030032.94118,0,v27
baseline_0004,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.487012987012987,0,0,1800,0.175,0.135,2,50.0,47.0,59954.6301369863,50.0,47.0,59757.3698630137,205,0,0.085,154,0.5,6,0.125,79,119937289063.56165,0,75,119542676296.43835,320432.49745376315,v26
baseline_0005,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.47191011235955055,0,0,1800,0.175,0.135,2,50.0,47.0,60062.89655172414,50.0,47.0,59649.103448275855,206,0,0.085,178,0.5,6,0.125,94,120153872507.58621,496621.56521739485,84,119326092852.41377,0,v26
baseline_0006,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4508670520231214,0,0,1800,0.175,0.135,2,50.0,47.0,60194.82352941176,50.0,47.0,59517.17647058824,207,0,0.085,173,0.5,6,0.125,95,120417788138.82352,0,78,119062177221.17648,449578.12881356245,v26
baseline_0007,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.436241610738255,0,0,1800,0.175,0.135,2,50.0,47.0,60312.33802816901,50.0,47.0,59399.66197183098,208,0,0.085,149,0.5,6,0.125,84,120652872074.3662,0,65,118827093285.63379,1037149.935483878,v26
baseline_0008,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.51875,0,0,1800,0.175,0.135,2,50.0,47.0,59719.29113924051,50.0,47.0,59992.70886075949,209,0,0.085,160,0.5,6,0.125,77,119466501047.08861,35583.476635519415,83,120013464312.91139,126914.40000000224,v27
baseline_0009,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4368421052631579,0,0,1800,0.175,0.135,2,50.0,47.0,60337.2834224599,50.0,47.0,59374.71657754011,210,0,0.085,190,0.5,6,0.125,107,120702774524.9198,0,83,118777190835.08022,2149016.9549407167,v26
baseline_0010,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5,0,0,1800,0.175,0.135,2,50.0,47.0,59815.550561797754,50.0,47.0,59896.44943820225,211,0,0.085,182,0.5,6,0.125,91,119659064893.48315,442473.3130739671,91,119820900466.51686,0,v27
baseline_0011,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5,0,0,1800,0.175,0.135,2,50.0,47.0,59901.0,50.0,47.0,59811.0,212,0,0.085,164,0.5,6,0.125,82,119830003717.5,937100.511627906,82,119649961642.5,0,v27
baseline_0012,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.46511627906976744,0,0,1800,0.175,0.135,2,50.0,47.0,60070.28571428572,50.0,47.0,59641.71428571429,213,0,0.085,172,0.5,6,0.125,92,120168654287.14287,0,80,119311311072.85715,522632.750442469,v26
baseline_0013,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5172413793103449,0,0,1800,0.175,0.135,2,50.0,47.0,59748.21556886227,50.0,47.0,59963.78443113773,214,0,0.085,174,0.5,6,0.125,84,119524363428.50299,601537.3801452792,90,119955601931.49701,0,v27
baseline_0014,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4782608695652174,0,0,1800,0.175,0.135,2,50.0,47.0,60016.0,50.0,47.0,59696.0,215,0,0.085,184,0.5,6,0.125,96,120060057480.0,598168.9126466736,88,119419907880.0,0,v26
baseline_0015,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5549132947976878,0,0,1800,0.175,0.135,2,50.0,47.0,59532.64670658683,50.0,47.0,60179.35329341318,216,0,0.085,173,0.5,6,0.125,77,119093124925.50899,1186572.0862688753,96,120386840434.49103,0,v27
baseline_0016,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.46938775510204084,0,0,1800,0.175,0.135,2,50.0,47.0,60076.40816326531,50.0,47.0,59635.5918367347,217,0,0.085,147,0.5,6,0.125,78,120180902047.34695,0,69,119299063312.65306,1481745.1793084973,v26
baseline_0017,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4967741935483871,0,0,1800,0.175,0.135,2,50.0,47.0,59832.158940397356,50.0,47.0,59879.84105960265,218,0,0.085,155,0.5,6,0.125,78,119692289415.09935,0,77,119787675944.90067,1232751.7471212381,v26
baseline_0018,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.49079754601226994,0,0,1800,0.175,0.135,2,50.0,47.0,59923.92452830189,50.0,47.0,59788.07547169812,219,0,0.085,163,0.5,6,0.125,83,119875863491.32076,74655.52941176388,80,119604101868.67926,240108.32432432286,v26
baseline_0019,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5064102564102564,0,0,1800,0.175,0.135,2,50.0,47.0,59856.0,50.0,47.0,59856.0,220,0,0.085,156,0.5,6,0.125,77,119739982680.0,1440979.9917525752,79,119739982680.0,0,v27
