timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1773618795.6433733,pool-foundryusa,v27,47737144.18205385,45666392.338118166,v27,False,0,0.0,Ideology and profit aligned
1773618795.6433733,pool-marapool,v26,7319695.441248257,7002180.158511452,v27,True,317515.28273680434,317515.28273680434,Ideology: supporting v26 (loss 4.3% < tolerance 13.3%)
1773618795.6433733,pool-luxor,v26,3659847.7206241284,3501090.079255726,v27,True,158757.64136840217,158757.64136840217,Ideology: supporting v26 (loss 4.3% < tolerance 13.3%)
1773618795.6433733,pool-ocean,v26,1909485.7672821544,1826655.6935247271,v27,True,82830.07375742728,82830.07375742728,Ideology: supporting v26 (loss 4.3% < tolerance 13.3%)
1773618795.6433733,pool-antpool,v26,26891924.555890337,25725401.017139904,v27,True,1166523.5387504324,1166523.5387504324,Ideology: supporting v26 (loss 4.3% < tolerance 13.3%)
1773618795.6433733,pool-f2pool,v26,17344495.71947956,16592122.549516268,v27,True,752373.1699632928,752373.1699632928,Ideology: supporting v26 (loss 4.3% < tolerance 13.3%)
1773618795.6433733,pool-viabtc,v27,17821867.161300104,17048786.47289745,v27,False,0,0.0,Rational profit maximization
1773618795.6433733,pool-spiderpool,v27,14798514.696436696,14156581.624816637,v27,False,0,0.0,Rational profit maximization
1773619396.2473223,pool-foundryusa,v27,49396824.357108325,44006573.241424516,v27,False,0,0.0,Ideology and profit aligned
1773619396.2473223,pool-marapool,v26,7574179.734756609,6747674.563685091,v27,True,826505.1710715182,1144020.4538083225,Ideology: supporting v26 (loss 10.9% < tolerance 13.3%)
1773619396.2473223,pool-luxor,v26,3787089.8673783047,3373837.2818425456,v27,True,413252.5855357591,572010.2269041613,Ideology: supporting v26 (loss 10.9% < tolerance 13.3%)
1773619396.2473223,pool-ocean,v26,1975872.9742843332,1760262.929656981,v27,True,215610.04462735215,298440.11838477943,Ideology: supporting v26 (loss 10.9% < tolerance 13.3%)
1773619396.2473223,pool-antpool,v26,27826877.72117102,24790369.592669144,v27,True,3036508.128501877,4203031.66725231,Ideology: supporting v26 (loss 10.9% < tolerance 13.3%)
1773619396.2473223,pool-f2pool,v26,17947512.849749357,15989054.94438424,v27,True,1958457.905365117,2710831.0753284097,Ideology: supporting v26 (loss 10.9% < tolerance 13.3%)
