scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.2,30.0,0.4,0.49,0.0,8.41902973496666e-05,0.3111111111111111,30.08,0.01,-30.07,False,no_switch,1105.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,99.99158097026503,86.4,68621.86539210749,0.00841902973496666,0.0,50725.334607892524,56,0.085,45,0.5,6,0.12,31,342304967530.72,0,14,21304640.53531486,0,v26
sweep_0001,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.3,30.0,0.4,0.49,0.0,0.0,0.1110056925996205,30.08,0.0,-30.08,False,no_switch,905.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,70506.48143712575,0.0,0.0,48840.71856287425,468,0.085,1054,0.5,6,0.12,937,351735569724.8893,0,117,0.0,0,v26
sweep_0002,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.38,30.0,0.4,0.49,0.0,0.0,0.0009161704076958314,30.08,0.0,-30.08,False,no_switch,1329.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71340.21908018945,0.0,0.0,48006.98091981056,9,0.085,4366,0.5,6,0.12,4362,355894835354.18616,1150.7841037660837,4,0.0,0,v26
sweep_0003,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.43,30.0,0.4,0.49,0.0,0.0,0.048426150121065374,30.08,0.0,-30.08,False,no_switch,964.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,70978.91355498722,0.0,0.0,48368.28644501279,160,0.085,826,0.5,6,0.12,786,354092391065.92474,0,40,0.0,0,v26
sweep_0004,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.47,30.0,0.4,0.49,0.0,0.0,0.006640106241699867,30.08,0.0,-30.08,False,no_switch,949.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71296.35254237289,0.0,0.0,48050.847457627126,20,0.085,753,0.5,6,0.12,748,355675998428.0445,0,5,0.0,0,v26
sweep_0005,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.52,30.0,0.4,0.49,0.0,0.0,0.04159323228762778,30.08,0.0,-30.08,False,no_switch,905.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71018.93396013543,0.0,0.0,48328.266039864575,468,0.085,2837,0.5,6,0.12,2719,354292040796.2546,0,118,0.0,0,v26
sweep_0006,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.58,30.0,0.4,0.49,0.0,0.0,0.05196733481811433,30.08,0.0,-30.08,False,no_switch,935.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,70957.71004636787,0.0,0.0,48389.48995363215,280,0.085,1347,0.5,6,0.12,1277,353986613156.8251,0,70,0.0,0,v26
sweep_0007,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.65,30.0,0.4,0.49,0.0,0.0,0.021176470588235293,30.08,0.0,-30.08,False,no_switch,1078.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71193.81654135339,0.0,0.0,48153.38345864662,72,0.085,850,0.5,6,0.12,832,355164477245.8668,0,18,0.0,0,v26
sweep_0008,v26_dominant,no_switch,0.35,0.25,0.51,0.16,0.26,0.75,30.0,0.4,0.49,0.0,0.0,0.022388059701492536,30.08,0.0,-30.08,False,no_switch,1013.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71195.03092324805,0.0,0.0,48152.169076751954,84,0.085,938,0.5,6,0.12,917,355170535430.8574,0,21,0.0,0,v26
sweep_0009,v26_dominant,no_switch,0.5,0.25,0.51,0.16,0.26,0.2,30.0,0.4,0.49,0.0,0.0,0.053743683968764354,50.12,0.0,-50.12,False,no_switch,3021.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,70952.5593883515,0.0,0.0,48394.64061164852,468,0.085,2177,0.5,6,0.12,2060,353960918077.5229,0,117,0.0,0,v26
