timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,None,None
96,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,4,10,1.0,1.0,4.0,10.0,1.0,1.0,0.01,0.01,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,24.0,9.6
156,55495.15877450205,63852.04122549795,38.1,48.3,30.076799311326575,69.92320068867342,8,14,1.0,1.0,8.0,14.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,15.0,15.0
263,56056.197735541005,63291.002264459,38.1,48.3,30.076799311326575,69.92320068867342,10,22,1.0,1.0,10.0,22.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,53.5,13.375
326,55688.01591735919,63659.18408264083,38.1,48.3,30.076799311326575,69.92320068867342,12,23,1.0,1.0,12.0,23.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,31.5,63.0
405,55906.58734593062,63440.61265406939,38.1,48.3,30.076799311326575,69.92320068867342,13,27,1.0,1.0,13.0,27.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,79.0,19.75
518,55778.01591735919,63569.18408264082,38.1,48.3,30.076799311326575,69.92320068867342,14,29,1.0,1.0,14.0,29.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,113.0,56.5
579,55782.201963870815,63564.99803612919,38.1,48.3,30.076799311326575,69.92320068867342,16,30,1.0,1.0,16.0,30.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,30.5,61.0
684,55942.36374344614,63404.83625655387,0.0,86.4,30.076799311326575,69.92320068867342,18,37,1.0,1.0,17.0,37.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,2.005119954088438,0.0053953086951136885,0,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,52.5,15.0
754,53875.88258402586,65471.31741597415,0.0,86.4,30.076799311326575,69.92320068867342,18,38,1.0,1.0,17.0,37.0,2.183317818620761,0.005189061166719797,0.02183317818620761,5.189061166719797e-05,2.005119954088438,0.0053953086951136885,11.833178186207611,0,32.74976727931142,67.25023272068857,4.845,15.129999999999999,None,70.0
