timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1774049479.6534271,pool-foundryusa,v27,48750225.59375256,44653476.360951796,v27,False,0,0.0,Ideology and profit aligned
1774049479.6534271,pool-marapool,v27,7475034.591042059,6846866.3753459435,v27,False,0,0.0,Ideology and profit aligned
1774049479.6534271,pool-luxor,v26,3737517.2955210293,3423433.1876729717,v27,True,314084.1078480575,314084.1078480575,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1774049479.6534271,pool-ocean,v26,1950009.0237501026,1786139.0544380723,v27,True,163869.96931203036,163869.96931203036,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1774049479.6534271,pool-antpool,v26,27462627.084480606,25154791.683336183,v27,True,2307835.4011444226,2307835.4011444226,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1774049479.6534271,pool-f2pool,v26,17712581.965730093,16224096.411145821,v27,True,1488485.5545842722,1488485.5545842722,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1774049479.6534271,pool-viabtc,v27,18200084.22166762,16670631.174755339,v27,False,0,0.0,Rational profit maximization
1774049479.6534271,pool-spiderpool,v27,15112569.934063297,13842577.67189506,v27,False,0,0.0,Rational profit maximization
1774050117.9467466,pool-foundryusa,v27,53734386.342154324,39668818.7488502,v27,False,0,0.0,Ideology and profit aligned
1774050117.9467466,pool-marapool,v27,8239272.572463661,6082552.208157029,v27,False,0,0.0,Ideology and profit aligned
1774050117.9467466,pool-luxor,v27,4119636.2862318307,3041276.1040785145,v27,False,0,314084.1078480575,Forced switch: loss 26.2% exceeds tolerance 13.3%
1774050117.9467466,pool-ocean,v27,2149375.453686173,1586752.749954008,v27,False,0,163869.96931203036,Forced switch: loss 26.2% exceeds tolerance 13.3%
1774050117.9467466,pool-antpool,v27,30270370.97274693,22346767.895185605,v27,False,0,2307835.4011444226,Forced switch: loss 26.2% exceeds tolerance 13.3%
1774050117.9467466,pool-f2pool,v27,19523493.704316065,14413004.145415567,v27,False,0,1488485.5545842722,Forced switch: loss 26.2% exceeds tolerance 13.3%
1774050117.9467466,pool-viabtc,v27,20060837.567737605,14809692.332904067,v27,False,0,0.0,Rational profit maximization
1774050117.9467466,pool-spiderpool,v27,16657659.76606784,12297333.81214356,v27,False,0,0.0,Rational profit maximization
1774050718.225406,pool-foundryusa,v27,64819176.47489789,28639914.956464022,v27,False,0,0.0,Ideology and profit aligned
1774050718.225406,pool-marapool,v27,9938940.392817676,4391453.6266578175,v27,False,0,0.0,Ideology and profit aligned
1774050718.225406,pool-luxor,v27,4969470.196408838,2195726.8133289088,v27,False,0,314084.1078480575,Forced switch: loss 55.8% exceeds tolerance 13.3%
1774050718.225406,pool-ocean,v27,2592767.0589959165,1145596.5982585615,v27,False,0,163869.96931203036,Forced switch: loss 55.8% exceeds tolerance 13.3%
1774050718.225406,pool-antpool,v27,36514802.74752581,16133818.758808069,v27,False,0,2307835.4011444226,Forced switch: loss 55.8% exceeds tolerance 13.3%
1774050718.225406,pool-f2pool,v27,23550967.45254623,10405835.76751526,v27,False,0,1488485.5545842722,Forced switch: loss 55.8% exceeds tolerance 13.3%
1774050718.225406,pool-viabtc,v27,24199159.21729521,10692234.917079903,v27,False,0,0.0,Rational profit maximization
1774050718.225406,pool-spiderpool,v27,20093944.707218353,8878373.63650385,v27,False,0,0.0,Rational profit maximization
1774051319.0826166,pool-foundryusa,v27,66017011.21101853,27384357.06122072,v27,False,0,0.0,Ideology and profit aligned
1774051319.0826166,pool-marapool,v27,10122608.385689508,4198934.749387177,v27,False,0,0.0,Ideology and profit aligned
1774051319.0826166,pool-luxor,v27,5061304.192844754,2099467.3746935884,v27,False,0,314084.1078480575,Forced switch: loss 58.5% exceeds tolerance 13.3%
1774051319.0826166,pool-ocean,v27,2640680.4484407417,1095374.2824488292,v27,False,0,163869.96931203036,Forced switch: loss 58.5% exceeds tolerance 13.3%
1774051319.0826166,pool-antpool,v27,37189582.982207105,15426521.144487672,v27,False,0,2307835.4011444226,Forced switch: loss 58.5% exceeds tolerance 13.3%
1774051319.0826166,pool-f2pool,v27,23986180.7400034,9949649.73224353,v27,False,0,1488485.5545842722,Forced switch: loss 58.5% exceeds tolerance 13.3%
1774051319.0826166,pool-viabtc,v27,24646350.85211358,10223493.302855738,v27,False,0,0.0,Rational profit maximization
1774051319.0826166,pool-spiderpool,v27,20465273.475415748,8489150.688978426,v27,False,0,0.0,Rational profit maximization
1774051919.7492545,pool-foundryusa,v27,66120278.6285899,27281092.187084556,v27,False,0,0.0,Ideology and profit aligned
1774051919.7492545,pool-marapool,v27,10138442.723050449,4183100.8020196315,v27,False,0,0.0,Ideology and profit aligned
1774051919.7492545,pool-luxor,v27,5069221.3615252245,2091550.4010098157,v27,False,0,314084.1078480575,Forced switch: loss 58.7% exceeds tolerance 13.3%
1774051919.7492545,pool-ocean,v27,2644811.1451435965,1091243.6874833824,v27,False,0,163869.96931203036,Forced switch: loss 58.7% exceeds tolerance 13.3%
1774051919.7492545,pool-antpool,v27,37247756.960772306,15368348.598724298,v27,False,0,2307835.4011444226,Forced switch: loss 58.7% exceeds tolerance 13.3%
1774051919.7492545,pool-f2pool,v27,24023701.23505433,9912130.161307387,v27,False,0,1488485.5545842722,Forced switch: loss 58.7% exceeds tolerance 13.3%
1774051919.7492545,pool-viabtc,v27,24684904.021340225,10184941.083178233,v27,False,0,0.0,Rational profit maximization
1774051919.7492545,pool-spiderpool,v27,20497286.37486287,8457138.577996213,v27,False,0,0.0,Rational profit maximization
1774052520.713403,pool-foundryusa,v27,66211361.982990935,27190011.076030046,v27,False,0,0.0,Ideology and profit aligned
1774052520.713403,pool-marapool,v27,10152408.837391943,4169135.03165794,v27,False,0,0.0,Ideology and profit aligned
1774052520.713403,pool-luxor,v27,5076204.418695971,2084567.51582897,v27,False,0,314084.1078480575,Forced switch: loss 58.9% exceeds tolerance 13.3%
