timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,56.737060138721,43.262939861279,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,None
60,60000,60000,38.1,48.3,56.737060138721,43.262939861279,9,17,1.0,1.0,9.0,17.0,1.0,1.0,0.01,0.01,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.666666666666667,3.5294117647058822
121,59129.55490895421,60217.64509104579,38.1,48.3,56.737060138721,43.262939861279,21,29,1.0,1.0,21.0,29.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.083333333333333,5.083333333333333
181,59661.247216646516,59685.95278335348,38.1,48.3,56.737060138721,43.262939861279,31,39,1.0,1.0,31.0,39.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.0,6.0
242,59825.81864521795,59521.38135478206,38.1,48.3,56.737060138721,43.262939861279,44,53,1.0,1.0,44.0,53.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.6923076923076925,4.357142857142857
302,59903.226598089816,59443.973401910174,38.1,48.3,56.737060138721,43.262939861279,54,68,1.0,1.0,54.0,68.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.0,4.0
363,59824.132462548165,59523.06753745185,38.1,48.3,56.737060138721,43.262939861279,66,78,1.0,1.0,66.0,78.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.083333333333333,6.1
423,59937.247216646516,59409.95278335348,38.1,48.3,56.737060138721,43.262939861279,79,95,1.0,1.0,79.0,95.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.615384615384615,3.5294117647058822
484,59906.2127338879,59440.987266112104,38.1,48.3,56.737060138721,43.262939861279,89,114,1.0,1.0,89.0,114.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.1,3.210526315789474
544,59793.897462951936,59553.30253704806,38.1,48.3,56.737060138721,43.262939861279,107,129,1.0,1.0,107.0,129.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.3333333333333335,4.0
605,59901.65399630754,59445.54600369246,50.5,35.9,56.737060138721,43.262939861279,117,142,1.0,1.0,117.0,142.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.1,4.6923076923076925
665,60484.95686915618,58862.24313084383,50.5,35.9,56.737060138721,43.262939861279,137,165,1.0,0.47058823529411764,137.0,153.88235294117644,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.003780692761922902,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.0,2.608695652173913
726,60623.508895109604,58723.691104890386,50.5,35.9,56.737060138721,43.262939861279,158,186,0.4090909090909091,0.47058823529411764,149.7272727272727,163.76470588235287,0.0074912067330782095,0.0037799210440270965,7.49120673307821e-05,3.7799210440270964e-05,0.0030641076582567594,0.003780692761922902,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.9047619047619047,2.9047619047619047
786,60671.2476874515,58675.95231254851,50.5,35.9,56.737060138721,43.262939861279,193,209,0.4090909090909091,0.47058823529411764,164.04545454545442,174.58823529411754,0.003064584572622904,0.0037799210440270965,3.064584572622904e-05,3.7799210440270964e-05,0.0030641076582567594,0.003780692761922902,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.7142857142857142,2.608695652173913
846,60720.36737393162,58626.83262606839,50.5,35.9,56.737060138721,43.262939861279,230,232,0.4090909090909091,0.47058823529411764,179.18181818181796,185.4117647058822,0.003064584572622904,0.0037799210440270965,3.064584572622904e-05,3.7799210440270964e-05,0.0030641076582567594,0.003780692761922902,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.6216216216216217,2.608695652173913
907,60770.93267404542,58576.26732595457,50.5,35.9,56.737060138721,43.262939861279,268,255,0.4090909090909091,0.47058823529411764,194.7272727272724,196.23529411764687,0.003064584572622904,0.0037799210440270965,3.064584572622904e-05,3.7799210440270964e-05,0.0030641076582567594,0.003780692761922902,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.605263157894737,2.652173913043478
967,60818.561291328515,58528.6387086715,50.5,35.9,56.737060138721,43.262939861279,304,276,0.5034965034965035,0.47058823529411764,210.96503496503465,206.1176470588233,0.003064584572622904,0.0037799210440270965,3.064584572622904e-05,3.7799210440270964e-05,0.003771209425546781,0.003780692761922902,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.6666666666666667,2.857142857142857
1027,60874.28687390029,58472.91312609972,50.5,35.9,56.737060138721,43.262939861279,334,310,0.5034965034965035,0.3585434173669467,226.06993006992985,219.6526610644255,0.003771796397074344,0.0037799210440270965,3.7717963970743437e-05,3.7799210440270964e-05,0.003771209425546781,0.002880527818607925,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.0,1.7647058823529411
1087,60884.27803895467,58462.92196104532,50.5,35.9,56.737060138721,43.262939861279,362,334,0.5034965034965035,0.3585434173669467,240.16783216783205,228.2577030812322,0.003771796397074344,0.002879939843068264,3.7717963970743437e-05,2.8799398430682642e-05,0.003771209425546781,0.002880527818607925,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.142857142857143,2.5
1148,60923.980366497024,58423.219633502966,50.5,35.9,56.737060138721,43.262939861279,395,362,0.5034965034965035,0.3585434173669467,256.78321678321674,238.29691876750667,0.003771796397074344,0.002879939843068264,3.7717963970743437e-05,2.8799398430682642e-05,0.003771209425546781,0.002880527818607925,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.8484848484848484,2.1785714285714284
1208,60966.871258488805,58380.32874151119,0.0,86.4,56.737060138721,43.262939861279,429,394,0.5034965034965035,0.3585434173669467,273.902097902097,249.77030812324892,0.003771796397074344,0.002879939843068264,3.7717963970743437e-05,2.8799398430682642e-05,1.9044607599011245,0.0011968859801854686,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.7647058823529411,1.875
1268,58574.34185269051,60772.858147309504,0.0,86.4,56.737060138721,43.262939861279,429,460,0.5034965034965035,0.4130420168067226,273.902097902097,274.9601344537816,1.9047571805225436,0.0011966416709045216,0.019047571805225438,1.1966416709045215e-05,1.9044607599011245,0.0013788126491736598,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,0.9090909090909091
1328,58401.507530580464,60945.69246941953,0.0,86.4,56.737060138721,43.262939861279,429,523,0.5034965034965035,0.4130420168067226,273.902097902097,300.98178151260635,1.9047571805225436,0.0013785312048820088,0.019047571805225438,1.3785312048820087e-05,1.9044607599011245,0.0013788126491736598,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,0.9523809523809523
1388,58238.87060389285,61108.32939610715,0.0,86.4,56.737060138721,43.262939861279,430,583,0.5034965034965035,0.8746772120612949,274.4055944055935,328.99574888779256,1.9047571805225436,0.0013785312048820088,0.019047571805225438,1.3785312048820087e-05,1.9044607599011245,0.0029198385511912794,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,60.0,1.0
1449,58082.752621630745,61264.44737836927,0.0,86.4,56.737060138721,43.262939861279,430,618,0.5034965034965035,0.8746772120612949,274.4055944055935,359.60945130993707,1.9047571805225436,0.002919242551514842,0.019047571805225438,2.919242551514842e-05,1.9044607599011245,0.0029198385511912794,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,1.7428571428571429
1509,57924.65130844458,61422.54869155542,0.0,86.4,56.737060138721,43.262939861279,430,647,0.5034965034965035,0.8746772120612949,274.4055944055935,384.97509045971395,1.9047571805225436,0.002919242551514842,0.019047571805225438,2.919242551514842e-05,1.9044607599011245,0.0029198385511912794,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,2.0689655172413794
1570,57804.77441437731,61542.425585622696,0.0,86.4,56.737060138721,43.262939861279,430,677,0.5034965034965035,0.8746772120612949,274.4055944055935,411.2154068215521,1.9047571805225436,0.002919242551514842,0.019047571805225438,2.919242551514842e-05,1.9044607599011245,0.0029198385511912794,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,2.033333333333333
1631,57690.09797732052,61657.102022679486,0.0,86.4,56.737060138721,43.262939861279,430,708,0.5034965034965035,0.8746772120612949,274.4055944055935,438.33040039545153,1.9047571805225436,0.002919242551514842,0.019047571805225438,2.919242551514842e-05,1.9044607599011245,0.0029198385511912794,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,1.967741935483871
1691,57580.469808646776,61766.73019135323,0.0,86.4,56.737060138721,43.262939861279,430,741,0.5034965034965035,0.906140421128248,274.4055944055935,467.8554757838805,1.9047571805225436,0.002919242551514842,0.019047571805225438,2.919242551514842e-05,1.9044607599011245,0.003024868714903196,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,1.8181818181818181
1752,57470.20648042677,61876.99351957323,0.0,86.4,56.737060138721,43.262939861279,430,772,0.5034965034965035,0.906140421128248,274.4055944055935,495.94582883885687,1.9047571805225436,0.0030242512763894768,0.019047571805225438,3.024251276389477e-05,1.9044607599011245,0.003024868714903196,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,1.967741935483871
1813,57373.14719655859,61974.05280344142,86.4,0.0,56.737060138721,43.262939861279,452,794,0.1676381422046162,0.906140421128248,278.7653502566789,515.8809181036788,1.9047571805225436,0.0030242512763894768,0.019047571805225438,3.024251276389477e-05,0.0007338962465900286,2.6134865696763616,9.047571805225436,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.772727272727273,2.772727272727273
1874,61481.438379033134,57865.76162096688,86.4,0.0,56.737060138721,43.262939861279,582,794,0.6705525688184648,0.906140421128248,303.57579530296283,515.8809181036788,0.0007340104741898047,2.612953102800508,7.340104741898048e-06,0.026129531028005082,0.0029355849863601144,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,0.46923076923076923,None
1934,61622.95799758424,57724.242002415755,86.4,0.0,56.737060138721,43.262939861279,621,794,0.6705525688184648,0.906140421128248,329.72734548688186,515.8809181036788,0.002936041896759219,2.612953102800508,2.936041896759219e-05,0.026129531028005082,0.0029355849863601144,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.5384615384615385,None
1995,61763.137386415074,57584.06261358494,86.4,0.0,56.737060138721,43.262939861279,658,794,0.6705525688184648,0.906140421128248,354.537790533164,515.8809181036788,0.002936041896759219,2.612953102800508,2.936041896759219e-05,0.026129531028005082,0.0029355849863601144,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.6486486486486487,None
2056,61888.34163889361,57458.8583611064,86.4,0.0,56.737060138721,43.262939861279,698,794,0.6705525688184648,0.906140421128248,381.3598932859015,515.8809181036788,0.002936041896759219,2.612953102800508,2.936041896759219e-05,0.026129531028005082,0.0029355849863601144,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.525,None
2117,62015.90840495115,57331.29159504885,86.4,0.0,56.737060138721,43.262939861279,738,794,0.858307288087635,0.906140421128248,411.5615809854847,515.8809181036788,0.002936041896759219,2.612953102800508,2.936041896759219e-05,0.026129531028005082,0.003757548782540947,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.525,None
2178,62150.71686894914,57196.48313105085,86.4,0.0,56.737060138721,43.262939861279,768,794,0.858307288087635,0.906140421128248,437.310799628114,515.8809181036788,0.0037581336278518004,2.612953102800508,3.7581336278518e-05,0.026129531028005082,0.003757548782540947,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.033333333333333,None
2239,62258.90478671321,57088.295213286794,86.4,0.0,56.737060138721,43.262939861279,799,794,0.858307288087635,0.906140421128248,463.918325558831,515.8809181036788,0.0037581336278518004,2.612953102800508,3.7581336278518e-05,0.026129531028005082,0.003757548782540947,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.967741935483871,None
2299,62364.725112581415,56982.4748874186,86.4,0.0,56.737060138721,43.262939861279,829,794,0.858307288087635,0.906140421128248,489.6675442014603,515.8809181036788,0.0037581336278518004,2.612953102800508,3.7581336278518e-05,0.026129531028005082,0.003757548782540947,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.0,None
2360,62461.79977956562,56885.40022043439,86.4,0.0,56.737060138721,43.262939861279,858,794,0.858307288087635,0.906140421128248,514.558455556002,515.8809181036788,0.0037581336278518004,2.612953102800508,3.7581336278518e-05,0.026129531028005082,0.003757548782540947,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.103448275862069,None
2421,62551.026988330974,56796.17301166903,86.4,0.0,56.737060138721,43.262939861279,892,794,0.8703961231311228,0.906140421128248,544.0793907322006,515.8809181036788,0.0037581336278518004,2.612953102800508,3.7581336278518e-05,0.026129531028005082,0.003810472004830256,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,1.7941176470588236,None
2482,62651.41920038633,56695.78079961367,86.4,0.0,56.737060138721,43.262939861279,919,794,0.8703961231311228,0.906140421128248,567.5800860567423,515.8809181036788,0.003811065087399009,2.612953102800508,3.811065087399009e-05,0.026129531028005082,0.003810472004830256,2.6134865696763616,0,16.129531028005083,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.259259259259259,None
