timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,26.89,71.48,50.0,50.0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.012396181975951404,0.004663309084126096,0,0,50.0,50.0,1.14,3.56
60,60000,60000,26.89,71.48,50.0,50.0,6,18,1.0,1.0,6.0,18.0,1.0,1.0,0.01,0.01,0.012396181975951404,0.004663309084126096,0,0,50.0,50.0,1.14,3.56
120,57090.72,62831.04000000001,26.89,71.48,50.0,50.0,13,45,1.0,1.0,13.0,45.0,0.012396181975951404,0.004663309084126096,0.00012396181975951403,4.663309084126096e-05,0.012396181975951404,0.004663309084126096,0,0,50.0,50.0,1.14,3.56
181,56904.51310344828,63017.24689655173,26.89,71.48,50.0,50.0,23,61,1.0,1.0,23.0,61.0,0.012396181975951404,0.004663309084126096,0.00012396181975951403,4.663309084126096e-05,0.012396181975951404,0.004663309084126096,0,0,50.0,50.0,1.14,3.56
241,57262.14857142857,62659.611428571436,26.89,71.48,50.0,50.0,28,85,1.0,1.0,28.0,85.0,0.012396181975951404,0.004663309084126096,0.00012396181975951403,4.663309084126096e-05,0.012396181975951404,0.004663309084126096,0,0,50.0,50.0,1.14,3.56
302,57074.790796460176,62846.96920353983,26.89,71.48,50.0,50.0,35,107,1.0,1.0,35.0,107.0,0.012396181975951404,0.004663309084126096,0.00012396181975951403,4.663309084126096e-05,0.012396181975951404,0.004663309084126096,0,0,50.0,50.0,1.14,3.56
362,57065.36788732394,62856.392112676054,26.89,71.48,50.0,50.0,40,129,1.0,1.0,40.0,129.0,0.012396181975951404,0.004663309084126096,0.00012396181975951403,4.663309084126096e-05,0.012396181975951404,0.004663309084126096,0,0,50.0,50.0,1.14,3.56
423,56994.86201183432,62926.89798816568,26.89,71.48,50.0,50.0,51,154,1.0,0.7272727272727273,51.0,151.2727272727272,0.012396181975951404,0.004663309084126096,0.00012396181975951403,4.663309084126096e-05,0.012396181975951404,0.0033914975157280703,0,0,50.0,50.0,1.14,3.56
483,57106.090786516856,62815.669213483154,26.89,71.48,50.0,50.0,60,184,1.0,0.7272727272727273,60.0,173.09090909090878,0.012396181975951404,0.0033914975157280703,0.00012396181975951403,3.3914975157280704e-05,0.012396181975951404,0.0033914975157280703,0,0,50.0,50.0,1.14,3.56
544,57144.07413416537,62777.685865834625,26.89,71.48,50.0,50.0,69,215,1.0,0.7272727272727273,69.0,195.6363636363631,0.012396181975951404,0.0033914975157280703,0.00012396181975951403,3.3914975157280704e-05,0.012396181975951404,0.0033914975157280703,0,0,50.0,50.0,1.14,3.56
