scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,no_switch,0.5,0.15,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7728141072740632,56.74,56.74,0.0,False,no_switch,None,None,8424.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55207.2681378345,56.73741253525133,86.4,64139.93186216552,8338,0.085,6805,0.5,6,0.12,1546,119150534385.79993,0,5259,181545407631.89542,76308168.33898783,v27
sweep_0001,v27_dominant,no_switch,0.6,0.15,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7727807172251616,56.74,56.74,0.0,False,no_switch,None,None,8420.0,None,16.17,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55209.00314249887,56.73741253525133,86.4,64138.196857501134,8338,0.085,6804,0.5,6,0.12,1546,119154278942.26675,0,5258,181540496773.40378,76302263.11623716,v27
sweep_0002,v27_dominant,no_switch,0.7,0.15,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7732004104969946,56.74,56.74,0.0,False,no_switch,None,None,8415.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55206.35386014764,56.73741253525133,86.4,64140.846139852365,8343,0.085,6821,0.5,6,0.12,1547,119148561155.12505,0,5274,181547995456.83582,76271608.13222131,v27
sweep_0003,v27_dominant,no_switch,0.5,0.25,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7730007336757153,56.74,56.74,0.0,False,no_switch,None,None,8418.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55207.17027605389,56.73741253525133,86.4,64140.029723946114,8343,0.085,6815,0.5,6,0.12,1547,119150323176.59055,0,5268,181545684625.59238,76271608.13222131,v27
sweep_0004,v27_dominant,no_switch,0.6,0.25,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7727205990309793,56.74,56.74,0.0,False,no_switch,None,None,8416.0,None,16.17,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55210.424003607666,56.73741253525133,86.4,64136.77599639234,8348,0.085,6811,0.5,6,0.12,1548,119157345501.5462,0,5263,181536475085.17157,76271608.13222131,v27
sweep_0005,v27_dominant,no_switch,0.7,0.25,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7729340965800675,56.74,56.74,0.0,False,no_switch,None,None,8415.0,None,16.17,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55208.77148005721,56.73741253525133,86.4,64138.428519942805,8343,0.085,6813,0.5,6,0.12,1547,119153778959.11867,0,5266,181541152484.30313,76271608.13222131,v27
sweep_0006,v27_dominant,no_switch,0.5,0.35,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7730007336757153,56.74,56.74,0.0,False,no_switch,None,None,8417.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55207.28143182993,56.73741253525133,86.4,64139.91856817008,8343,0.085,6815,0.5,6,0.12,1547,119150563077.43262,0,5268,181545370003.79462,76271608.13222131,v27
sweep_0007,v27_dominant,no_switch,0.6,0.35,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7730007336757153,56.74,56.74,0.0,False,no_switch,None,None,8417.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55207.28143182993,56.73741253525133,86.4,64139.91856817008,8345,0.085,6815,0.5,6,0.12,1547,119150563077.43262,0,5268,181545370003.79462,76271608.13222131,v27
sweep_0008,v27_dominant,no_switch,0.7,0.35,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7729674200176108,56.74,56.74,0.0,False,no_switch,None,None,8415.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55208.208661404,56.73741253525133,86.4,64138.99133859601,8345,0.085,6814,0.5,6,0.12,1547,119152564261.38858,0,5267,181542745519.0765,76271608.13222131,v27
sweep_0009,v27_dominant,no_switch,0.5,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7729007633587787,56.74,56.74,0.0,False,no_switch,None,None,8414.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55208.4971773168,56.73741253525133,86.4,64138.70282268321,8343,0.085,6812,0.5,6,0.12,1547,119153186947.97221,0,5265,181541928886.79337,76271608.13222131,v27
sweep_0010,v27_dominant,no_switch,0.6,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7726671565025717,56.74,56.74,0.0,False,no_switch,None,None,8416.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55208.43433291061,56.73741253525133,86.4,64138.76566708939,8343,0.085,6805,0.5,6,0.12,1547,119153051314.661,0,5258,181542106765.26947,76271608.13222131,v27
sweep_0011,v27_dominant,no_switch,0.7,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7675061425061425,56.74,56.74,0.0,False,no_switch,None,None,9079.0,None,15.86,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55288.04559710372,56.73741253525133,86.4,64059.15440289628,7988,0.085,6512,0.5,6,0.12,1514,119324871529.49313,0,4998,181316770395.3917,85628419.8621729,v27
sweep_0012,v27_dominant,no_switch,0.5,0.55,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7686209991026024,56.74,56.74,0.0,False,no_switch,None,None,8415.0,None,16.06,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55239.12854160182,56.73741253525133,86.4,64108.07145839818,8345,0.085,6686,0.5,6,0.12,1547,119219296783.62671,0,5139,181455228085.06198,76271608.13222131,v27
sweep_0013,v27_dominant,no_switch,0.6,0.55,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7626572568272476,56.74,56.74,0.0,False,no_switch,None,None,8415.0,None,15.86,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55290.244762878276,56.73741253525133,86.4,64056.95523712173,8343,0.085,6518,0.5,6,0.12,1547,119329617857.03441,0,4971,181310545748.1961,76271608.13222131,v27
sweep_0014,v27_dominant,no_switch,0.7,0.55,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7710986082321587,56.74,56.74,0.0,False,no_switch,None,None,8415.0,None,16.12,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55222.1119492776,56.73741253525133,86.4,64125.088050722414,8343,0.085,6754,0.5,6,0.12,1546,119182570893.40889,0,5208,181503392841.40515,76271608.13222131,v27
sweep_0015,v27_dominant,no_switch,0.5,0.65,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7645716024958149,56.74,56.74,0.0,False,no_switch,None,None,8416.0,None,15.9,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55278.54879745215,56.73741253525133,86.4,64068.65120254785,8343,0.085,6571,0.5,6,0.12,1547,119304375156.61313,0,5024,181343650691.54868,76271608.13222131,v27
sweep_0016,v27_dominant,no_switch,0.6,0.65,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5673741253525133,0.7692995529061103,56.74,56.74,0.0,False,no_switch,None,None,8415.0,None,16.06,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55237.56763750413,56.73741253525133,86.4,64109.63236249588,8350,0.085,6710,0.5,6,0.12,1548,119215927977.96692,0,5162,181459646159.1457,76271608.13222131,v27
