timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,None,None
115,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,3,7,1.0,1.0,3.0,7.0,1.0,1.0,0.01,0.01,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,38.333333333333336,16.428571428571427
213,59446.715224772524,59900.48477522749,38.1,48.3,62.14929353977099,37.850706460229006,4,7,1.0,1.0,3.0,7.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,98.0,None
275,59446.715224772524,59900.48477522749,38.1,48.3,62.14929353977099,37.850706460229006,4,7,1.0,1.0,3.0,7.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,None,None
339,59446.715224772524,59900.48477522749,38.1,48.3,62.14929353977099,37.850706460229006,8,12,1.0,1.0,7.0,12.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,16.0,12.8
415,59939.34680371989,59407.85319628012,38.1,48.3,62.14929353977099,37.850706460229006,8,15,1.0,1.0,7.0,15.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,None,25.333333333333332
484,59577.62431568161,59769.57568431839,38.1,48.3,62.14929353977099,37.850706460229006,13,18,1.0,1.0,12.0,17.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,13.8,23.0
545,60266.02556960011,59081.1744303999,38.1,48.3,62.14929353977099,37.850706460229006,14,21,1.0,1.0,13.0,19.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,61.0,20.333333333333332
670,60211.715224772524,59135.48477522748,38.1,48.3,62.14929353977099,37.850706460229006,16,23,1.0,1.0,13.0,21.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,62.5,62.5
760,60039.65640124311,59307.5435987569,50.5,35.9,62.14929353977099,37.850706460229006,19,25,1.0,1.0,16.0,23.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,30.0,45.0
839,60835.76137861867,58511.438621381334,50.5,35.9,62.14929353977099,37.850706460229006,20,25,1.0,1.0,16.0,23.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,79.0,None
931,60835.76137861867,58511.438621381334,50.5,35.9,62.14929353977099,37.850706460229006,21,26,1.0,1.0,17.0,23.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,92.0,92.0
995,60941.91522477252,58405.28477522748,50.5,35.9,62.14929353977099,37.850706460229006,21,26,1.0,1.0,17.0,23.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,None,None
1114,60941.91522477252,58405.28477522748,50.5,35.9,62.14929353977099,37.850706460229006,25,30,1.0,1.0,21.0,26.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,29.75,29.75
1194,61098.93650136827,58248.26349863174,50.5,35.9,62.14929353977099,37.850706460229006,28,30,1.0,1.0,24.0,26.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,26.666666666666668,None
1266,61337.91522477252,58009.284775227476,50.5,35.9,62.14929353977099,37.850706460229006,29,32,1.0,1.0,25.0,28.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,72.0,36.0
1334,61278.14163986685,58069.058360133145,50.5,35.9,62.14929353977099,37.850706460229006,31,32,1.0,1.0,27.0,28.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,34.0,None
1407,61416.46067931798,57930.73932068202,50.5,35.9,62.14929353977099,37.850706460229006,31,32,1.0,1.0,27.0,28.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,None,None
1478,61416.46067931798,57930.73932068202,50.5,35.9,62.14929353977099,37.850706460229006,31,32,1.0,1.0,27.0,28.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,None,None
1549,61416.46067931798,57930.73932068202,50.5,35.9,62.14929353977099,37.850706460229006,32,32,1.0,1.0,27.0,28.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999,71.0,None
1681,61416.46067931798,57930.73932068202,50.5,35.9,65.15608987368765,34.843910126312345,33,32,1.0,1.0,27.0,28.0,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008601464009727743,0.006470549698479545,0,0,69.04661322984546,30.953386770154527,4.845,15.129999999999999,132.0,None
1742,61777.276239387975,57569.92376061202,50.5,35.9,65.15608987368765,34.843910126312345,33,32,1.0,1.0,27.0,28.0,0.00911506445278488,0.005748075537633153,9.11506445278488e-05,5.748075537633154e-05,0.008601464009727743,0.006470549698479545,0,0,69.04661322984546,30.953386770154527,4.845,15.129999999999999,None,None
1833,61777.276239387975,57569.92376061202,50.5,35.9,65.15608987368765,34.843910126312345,34,35,1.0,1.0,28.0,31.0,0.00911506445278488,0.005748075537633153,9.11506445278488e-05,5.748075537633154e-05,0.008601464009727743,0.006470549698479545,0,0,69.04661322984546,30.953386770154527,4.845,15.129999999999999,91.0,30.333333333333332
1895,61659.6799373849,57687.52006261511,50.5,35.9,65.15608987368765,34.843910126312345,34,36,1.0,1.0,28.0,31.0,0.00911506445278488,0.005748075537633153,9.11506445278488e-05,5.748075537633154e-05,0.008601464009727743,0.006470549698479545,0,0,69.04661322984546,30.953386770154527,4.845,15.129999999999999,None,62.0
1965,61659.6799373849,57687.52006261511,86.4,0.0,65.15608987368765,34.843910126312345,39,36,1.0,1.0,33.0,31.0,0.00911506445278488,0.005748075537633153,9.11506445278488e-05,5.748075537633154e-05,0.00502747607050059,2.3229273417541565,0,0,69.04661322984546,30.953386770154527,4.845,15.129999999999999,14.0,None
2038,63678.43078484252,55668.76921515748,86.4,0.0,69.967310390892,30.032689609108022,51,36,1.0,1.0,45.0,31.0,0.005327670773907828,2.0635591180103017,5.327670773907828e-05,0.020635591180103018,0.0053987122215194425,2.002179307273868,0,10.635591180103017,71.3515257925688,28.648474207431203,5.015,14.959999999999999,6.083333333333333,None
2098,64806.43514164388,54540.764858356124,86.4,0.0,69.967310390892,30.032689609108022,72,36,1.0,1.0,66.0,31.0,0.0055055189654759865,1.9098982804954132,5.505518965475986e-05,0.01909898280495413,0.0053987122215194425,2.002179307273868,0,9.098982804954133,71.3515257925688,28.648474207431203,5.015,14.959999999999999,2.857142857142857,None
2167,65442.246319071994,53904.95368092801,86.4,0.0,69.967310390892,30.032689609108022,83,36,1.0,1.0,77.0,31.0,0.0055055189654759865,1.9098982804954132,5.505518965475986e-05,0.01909898280495413,0.0053987122215194425,2.002179307273868,0,9.098982804954133,71.3515257925688,28.648474207431203,5.015,14.959999999999999,6.2727272727272725,None
2228,65676.61058024036,53670.58941975963,86.4,0.0,69.967310390892,30.032689609108022,99,36,1.0,1.0,93.0,31.0,0.0055055189654759865,1.9098982804954132,5.505518965475986e-05,0.01909898280495413,0.0053987122215194425,2.002179307273868,0,9.098982804954133,71.3515257925688,28.648474207431203,5.015,14.959999999999999,3.8125,None
2288,65943.27724690703,53403.92275309297,86.4,0.0,86.91461679429095,13.08538320570906,126,36,1.0,1.0,120.0,31.0,0.0055055189654759865,1.9098982804954132,5.505518965475986e-05,0.01909898280495413,0.006706374752645906,0.872358880380604,0,9.098982804954133,88.42506657423232,11.574933425767679,5.015,14.959999999999999,2.2222222222222223,None
2362,68298.80831995068,51048.39168004933,86.4,0.0,86.91461679429095,13.08538320570906,135,36,1.0,1.0,129.0,31.0,0.006822921803567307,0.7716622283845119,6.822921803567308e-05,0.007716622283845119,0.006706374752645906,0.872358880380604,0,0,88.42506657423232,11.574933425767679,5.015,14.959999999999999,8.222222222222221,None
2442,68381.95401531493,50965.24598468509,86.4,0.0,86.91461679429095,13.08538320570906,136,36,1.0,1.0,130.0,31.0,0.006822921803567307,0.7716622283845119,6.822921803567308e-05,0.007716622283845119,0.006706374752645906,0.872358880380604,0,0,88.42506657423232,11.574933425767679,5.015,14.959999999999999,80.0,None
2503,68390.6186115882,50956.5813884118,86.4,0.0,86.91461679429095,13.08538320570906,136,36,1.0,1.0,130.0,31.0,0.006822921803567307,0.7716622283845119,6.822921803567308e-05,0.007716622283845119,0.006706374752645906,0.872358880380604,0,0,88.42506657423232,11.574933425767679,5.015,14.959999999999999,None,None
3036,68390.6186115882,50956.5813884118,86.4,0.0,99.96411889708193,0.03588110291807219,136,36,1.0,1.0,130.0,31.0,0.006822921803567307,0.7716622283845119,6.822921803567308e-05,0.007716622283845119,0.007713280779095826,0.0023920735278714794,0,0,99.98718766431641,0.012812335683584291,5.015,14.959999999999999,None,None
3103,69956.55886392313,49390.64113607688,86.4,0.0,99.96411889708193,0.03588110291807219,139,36,1.0,1.0,133.0,31.0,0.007715060776567623,0.0008541557122389527,7.715060776567624e-05,8.541557122389527e-06,0.007713280779095826,0.0023920735278714794,0,0,99.98718766431641,0.012812335683584291,5.015,14.959999999999999,22.333333333333332,None
3493,69981.91865789374,49365.28134210627,86.4,0.0,99.96411889708193,0.03588110291807219,141,36,1.0,1.0,134.0,31.0,0.007715060776567623,0.0008541557122389527,7.715060776567624e-05,8.541557122389527e-06,0.007713280779095826,0.0023920735278714794,0,0,99.98718766431641,0.012812335683584291,5.015,14.959999999999999,195.0,None
3614,69990.16699492256,49357.03300507744,86.4,0.0,99.96411889708193,0.03588110291807219,143,36,1.0,1.0,135.0,31.0,0.007715060776567623,0.0008541557122389527,7.715060776567624e-05,8.541557122389527e-06,0.007713280779095826,0.0023920735278714794,0,0,99.98718766431641,0.012812335683584291,5.015,14.959999999999999,60.5,None
3716,69998.31595439682,49348.88404560318,86.4,0.0,99.96411889708193,0.03588110291807219,145,36,1.0,1.0,137.0,31.0,0.007715060776567623,0.0008541557122389527,7.715060776567624e-05,8.541557122389527e-06,0.007713280779095826,0.0023920735278714794,0,0,99.98718766431641,0.012812335683584291,5.015,14.959999999999999,51.0,None
3820,70014.3228390784,49332.8771609216,86.4,0.0,99.99538957895466,0.0046104210453388845,146,36,1.0,1.0,138.0,31.0,0.007715060776567623,0.0008541557122389527,7.715060776567624e-05,8.541557122389527e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,104.0,None
3900,70025.93669030297,49321.26330969704,86.4,0.0,99.99538957895466,0.0046104210453388845,147,36,1.0,1.0,139.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,80.0,None
3999,70033.70557300397,49313.49442699603,86.4,0.0,99.99538957895466,0.0046104210453388845,152,36,1.0,1.0,144.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,19.8,None
4066,70071.218178046,49275.98182195401,86.4,0.0,99.99538957895466,0.0046104210453388845,152,36,1.0,1.0,144.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,None,None
4126,70071.218178046,49275.98182195401,86.4,0.0,99.99538957895466,0.0046104210453388845,155,36,1.0,1.0,147.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,20.0,None
4191,70092.7141652049,49254.48583479511,86.4,0.0,99.99538957895466,0.0046104210453388845,160,36,1.0,1.0,152.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,13.0,None
4258,70126.97461832702,49220.225381672986,86.4,0.0,99.99538957895466,0.0046104210453388845,161,36,1.0,1.0,153.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,67.0,None
4356,70133.60327121368,49213.59672878631,86.4,0.0,99.99538957895466,0.0046104210453388845,166,36,1.0,1.0,158.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,19.6,None
4422,70165.69436852218,49181.50563147783,86.4,0.0,99.99538957895466,0.0046104210453388845,166,36,1.0,1.0,158.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007715693640351439,0.0003073614030225923,0,0,99.9983537222306,0.001646277769399099,19.21,0.765,None,None
4502,70165.69436852218,49181.50563147783,86.4,0.0,100.0,0.0,167,36,1.0,1.0,158.0,31.0,0.007715922355110385,0.00010975185129327325,7.715922355110385e-05,1.0975185129327325e-06,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,80.0,None
4589,70166.24761904763,49180.95238095238,86.4,0.0,100.0,0.0,171,36,1.0,1.0,162.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,21.75,None
4767,70190.72331606218,49156.47668393783,86.4,0.0,100.0,0.0,174,36,1.0,1.0,164.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,59.333333333333336,None
4833,70202.58461538462,49144.61538461539,86.4,0.0,100.0,0.0,174,36,1.0,1.0,164.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,None,None
4899,70202.58461538462,49144.61538461539,86.4,0.0,100.0,0.0,174,36,1.0,1.0,164.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,None,None
4967,70202.58461538462,49144.61538461539,86.4,0.0,100.0,0.0,175,36,1.0,1.0,164.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,68.0,None
5048,70202.58461538462,49144.61538461539,86.4,0.0,100.0,0.0,178,36,1.0,1.0,167.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,27.0,None
5109,70219.92727272728,49127.27272727273,86.4,0.0,100.0,0.0,182,36,1.0,1.0,171.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,15.25,None
5192,70242.24950495051,49104.95049504951,86.4,0.0,100.0,0.0,193,36,1.0,1.0,182.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,7.545454545454546,None
5252,70299.31267605635,49047.887323943665,86.4,0.0,100.0,0.0,206,36,1.0,1.0,195.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,4.615384615384615,None
5439,70359.58938053098,48987.61061946903,86.4,0.0,100.0,0.0,215,36,1.0,1.0,203.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,20.77777777777778,None
5520,70393.35384615386,48953.846153846156,86.4,0.0,100.0,0.0,215,36,1.0,1.0,203.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,None,None
5624,70393.35384615386,48953.846153846156,86.4,0.0,100.0,0.0,226,36,1.0,1.0,214.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,9.454545454545455,None
5686,70436.17959183674,48911.02040816327,86.4,0.0,100.0,0.0,226,36,1.0,1.0,214.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,None,None
5747,70436.17959183674,48911.02040816327,86.4,0.0,100.0,0.0,226,36,1.0,1.0,214.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,None,None
5831,70436.17959183674,48911.02040816327,86.4,0.0,100.0,0.0,227,36,1.0,1.0,215.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,84.0,None
5896,70439.88292682928,48907.317073170736,86.4,0.0,100.0,0.0,230,36,1.0,1.0,218.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,21.666666666666668,None
5984,70450.81445783134,48896.385542168675,86.4,0.0,100.0,0.0,235,36,1.0,1.0,223.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,17.6,None
6045,70468.45984251969,48878.740157480315,86.4,0.0,100.0,0.0,236,36,1.0,1.0,224.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,61.0,None
6181,70471.90588235295,48875.29411764706,86.4,0.0,100.0,0.0,240,36,1.0,1.0,227.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,34.0,None
6280,70482.08372093024,48865.11627906977,86.4,0.0,100.0,0.0,241,36,1.0,1.0,228.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,99.0,None
6356,70485.42393822395,48861.776061776065,86.4,0.0,100.0,0.0,241,36,1.0,1.0,228.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,None,None
6426,70485.42393822395,48861.776061776065,86.4,0.0,100.0,0.0,242,36,1.0,1.0,228.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,70.0,None
6505,70485.42393822395,48861.776061776065,86.4,0.0,100.0,0.0,243,36,1.0,1.0,229.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,79.0,None
6596,70488.73846153847,48858.46153846154,86.4,0.0,100.0,0.0,246,36,1.0,1.0,232.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,30.333333333333332,None
6699,70498.5307984791,48848.66920152091,86.4,0.0,100.0,0.0,247,36,1.0,1.0,233.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,103.0,None
6769,70501.74545454547,48845.454545454544,86.4,0.0,100.0,0.0,248,36,1.0,1.0,234.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,70.0,None
6863,70504.93584905661,48842.264150943396,86.4,0.0,100.0,0.0,249,36,1.0,1.0,235.0,31.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0.0,0,0,100.0,0.0,19.975,0.0,94.0,None
