scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v26_dominant,no_switch,0.7393,0.25,0.3698,0.1614,0.1122,0.1778,30.0,0.4,0.49,0.0,0.5673664319629602,0.10710382513661203,56.74,56.74,-0.0,False,no_switch,None,None,1210.0,None,11.91,20,0,13000,0.05,0.1,2,43.26335680370397,86.4,63724.7056114431,56.73664319629601,0.0,55622.4943885569,9114,0.1166,6405,0.5,6,0.12,5719,137535654393.04236,1591462.1461877306,686,157435020567.25922,0,v26
sweep_0001,v27_dominant,full_switch,0.7355,0.25,0.561,0.0979,0.1636,0.4978,30.0,0.4,0.49,1.0,1.0,0.871264367816092,56.74,100.0,43.26,True,full_switch,6064.0,6064.0,1825.0,4239.0,43.17,16,0,13000,0.05,0.1,2,0.0,0.0,49079.48949097092,100.0,86.4,70267.7105090291,7965,0.1466,6090,0.5,6,0.12,784,0.0,0,5306,350544413582.70245,432853.62261248706,v27
sweep_0002,v27_dominant,full_switch,0.6283,0.25,0.7406,0.2715,0.1572,0.4681,30.0,0.4,0.49,1.0,1.0,0.8591974431818182,56.74,100.0,43.26,True,full_switch,6090.0,6090.0,1818.0,4272.0,42.82,16,0,13000,0.05,0.1,2,0.0,0.0,49150.3303845664,100.0,86.4,70196.8696154336,8200,0.0726,5632,0.5,6,0.12,793,0.0,0,4839,350191009731.58484,804812.0996526568,v27
sweep_0003,v27_dominant,full_switch,0.7891,0.25,0.6625,0.1877,0.1061,0.2489,30.0,0.4,0.49,1.0,1.0,0.9734876773711725,99.59,100.0,0.41,False,full_switch,None,0.0,611.0,None,46.85,4,0,13000,0.05,0.1,2,0.0,0.0,48347.70621619623,100.0,86.4,70999.49378380377,552,0.0209,5356,0.5,6,0.12,142,0.0,0,5214,354195059620.082,0,v27
sweep_0004,v27_dominant,full_switch,0.6624,0.25,0.3559,0.2382,0.1876,0.5807,30.0,0.4,0.49,1.0,1.0,0.8491221300405171,56.74,100.0,43.26,True,full_switch,6673.0,6673.0,1818.0,4855.0,42.4,16,0,13000,0.05,0.1,2,0.0,0.0,49235.90082016242,100.0,86.4,70111.2991798376,8536,0.02,5183,0.5,6,0.12,782,0.0,0,4401,349764124638.1512,794286.290652405,v27
sweep_0005,v26_dominant,no_switch,0.6241,0.25,0.7641,0.1177,0.1453,0.1882,30.0,0.4,0.49,0.0,0.5673664319629602,0.10426042604260426,56.74,56.74,-0.0,False,no_switch,None,None,1209.0,None,11.9,20,0,13000,0.05,0.1,2,43.26335680370397,86.4,63783.1218672552,56.73664319629601,0.0,55564.07813274481,9124,0.054,6666,0.5,6,0.12,5971,137661732935.00214,1546995.43127421,695,157269678028.48358,0,v26
sweep_0006,v27_dominant,full_switch,0.5341,0.25,0.7837,0.2132,0.2346,0.4907,30.0,0.4,0.49,1.0,1.0,0.94098955969133,99.59,100.0,0.41,False,full_switch,None,0.0,711.0,None,43.08,4,0,13000,0.05,0.1,2,0.0,0.0,49096.98059455505,100.0,86.4,70250.21940544496,516,0.0498,2203,0.5,6,0.12,130,0.0,0,2073,350457155742.5878,0,v27
sweep_0007,v27_dominant,full_switch,0.3588,0.25,0.443,0.0856,0.2205,0.4406,30.0,0.4,0.49,1.0,1.0,0.9682686383240912,56.74,100.0,43.26,True,full_switch,2264.0,2264.0,1284.0,980.0,46.14,10,0,13000,0.05,0.1,2,0.0,0.0,48488.15904211206,100.0,86.4,70859.04095788796,764,0.1093,3246,0.5,6,0.12,103,0.0,0,3143,353494382834.9693,533230.3892487055,v27
sweep_0008,v27_dominant,full_switch,0.5205,0.25,0.38,0.088,0.1808,0.6825,30.0,0.4,0.49,1.0,1.0,0.857516339869281,56.74,100.0,43.26,True,full_switch,5545.0,5545.0,1837.0,3708.0,43.29,16,0,13000,0.05,0.1,2,0.0,0.0,49055.96364976855,100.0,86.4,70291.23635023145,8972,0.0973,5355,0.5,6,0.12,763,0.0,0,4592,350661776908.59674,671360.3590898216,v27
sweep_0009,v26_dominant,no_switch,0.605,0.25,0.5367,0.1582,0.3156,0.4259,30.0,0.4,0.49,0.0,0.56737060138721,0.23244412400865178,56.74,56.74,0.0,False,no_switch,None,None,2427.0,None,10.74,40,0,13000,0.05,0.1,2,43.262939861279,86.4,62687.48326464364,56.737060138721,0.0,56659.716735356364,42147,0.121,6935,0.5,6,0.12,5323,135295735927.04028,12049892.656086426,1612,160371973964.19547,0,v26
