timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1774557814.7384403,pool-foundryusa,v27,47181994.16256292,46221535.32459101,v27,False,0,0.0,Ideology and profit aligned
1774557814.7384403,pool-marapool,v27,7234572.438259648,7087302.083103955,v27,False,0,0.0,Ideology and profit aligned
1774557814.7384403,pool-luxor,v27,3617286.219129824,3543651.0415519774,v27,False,0,0.0,Ideology and profit aligned
1774557814.7384403,pool-ocean,v27,1887279.7665025173,1848861.4129836406,v27,False,0,0.0,Ideology and profit aligned
1774557814.7384403,pool-antpool,v26,26579190.044910446,26038131.566186264,v27,True,541058.4787241817,541058.4787241817,Ideology: supporting v26 (loss 2.0% < tolerance 16.9%)
1774557814.7384403,pool-f2pool,v26,17142791.21239786,16793824.501268066,v27,True,348966.71112979203,348966.71112979203,Ideology: supporting v26 (loss 2.0% < tolerance 16.9%)
1774557814.7384403,pool-viabtc,v27,17614611.154023487,17256039.854513977,v27,False,0,0.0,Rational profit maximization
1774557814.7384403,pool-spiderpool,v27,14626418.19039451,14328675.950623214,v27,False,0,0.0,Rational profit maximization
1774558415.2762065,pool-foundryusa,v26,83026455.18510643,168003533.7186188,v26,False,0,0.0,Forced switch: loss 50.6% exceeds tolerance 16.9%
1774558415.2762065,pool-marapool,v26,12730723.128382985,25760541.83685489,v26,False,0,0.0,Forced switch: loss 50.6% exceeds tolerance 16.9%
1774558415.2762065,pool-luxor,v26,6365361.564191492,12880270.918427445,v26,False,0,0.0,Forced switch: loss 50.6% exceeds tolerance 16.9%
1774558415.2762065,pool-ocean,v26,3321058.207404256,6720141.348744754,v26,False,0,0.0,Forced switch: loss 50.6% exceeds tolerance 16.9%
1774558415.2762065,pool-antpool,v26,46771569.75427662,94641990.66148861,v26,False,0,541058.4787241817,Ideology and profit aligned
1774558415.2762065,pool-f2pool,v26,30166278.71725533,61041283.91776484,v26,False,0,348966.71112979203,Ideology and profit aligned
1774558415.2762065,pool-viabtc,v26,30996543.269106388,62721319.25495103,v26,False,0,0.0,Rational profit maximization
1774558415.2762065,pool-spiderpool,v26,25738201.10738299,52081095.45277184,v26,False,0,0.0,Rational profit maximization
1774559015.6850908,pool-foundryusa,v27,72666956.38695422,56083386.35683965,v27,False,0,0.0,Ideology and profit aligned
1774559015.6850908,pool-marapool,v27,11142266.645999648,8599452.574715413,v27,False,0,0.0,Ideology and profit aligned
1774559015.6850908,pool-luxor,v27,5571133.322999824,4299726.287357707,v27,False,0,0.0,Ideology and profit aligned
1774559015.6850908,pool-ocean,v27,2906678.255478169,2243335.454273586,v27,False,0,0.0,Ideology and profit aligned
