timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,50.12210820410434,49.87789179589566,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,None,None
105,60000,60000,38.1,48.3,50.12210820410434,49.87789179589566,5,10,1.0,1.0,5.0,10.0,1.0,1.0,0.01,0.01,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,21.0,10.5
175,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,6,10,1.0,1.0,5.0,10.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,70.0,None
236,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,6,10,1.0,1.0,5.0,10.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,None,None
298,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,6,10,1.0,1.0,5.0,10.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,None,None
373,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,6,10,1.0,1.0,5.0,10.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,None,None
487,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,6,10,1.0,1.0,5.0,10.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,None,None
548,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,6,10,1.0,1.0,5.0,10.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,None,None
658,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,6,13,1.0,1.0,5.0,13.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,6.099,19.046,None,36.666666666666664
719,57843.45298449252,61503.74701550749,0.0,86.4,50.12210820410434,49.87789179589566,6,13,1.0,1.0,5.0,13.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,3.3414738802736226,0.003848602762028985,0,0,54.58084204742991,45.41915795257009,6.099,19.046,None,None
821,56014.652984492524,63332.54701550748,0.0,86.4,50.12210820410434,49.87789179589566,6,20,1.0,1.0,5.0,19.0,3.638722803161994,0.0035045646568341113,0.036387228031619936,3.504564656834111e-05,3.3414738802736226,0.003848602762028985,26.387228031619937,0,54.58084204742991,45.41915795257009,6.099,19.046,None,14.571428571428571
887,55514.652984492524,63832.54701550748,0.0,86.4,50.12210820410434,49.87789179589566,6,21,1.0,1.0,5.0,19.0,3.638722803161994,0.0035045646568341113,0.036387228031619936,3.504564656834111e-05,3.3414738802736226,0.003848602762028985,26.387228031619937,0,54.58084204742991,45.41915795257009,6.099,19.046,None,66.0
957,55514.652984492524,63832.54701550748,0.0,86.4,50.12210820410434,49.87789179589566,6,22,1.0,1.0,5.0,19.0,3.638722803161994,0.0035045646568341113,0.036387228031619936,3.504564656834111e-05,3.3414738802736226,0.003848602762028985,26.387228031619937,0,54.58084204742991,45.41915795257009,6.099,19.046,None,70.0
1018,55514.652984492524,63832.54701550748,0.0,86.4,50.121691261679366,49.878308738320634,6,22,1.0,1.0,5.0,19.0,3.638722803161994,0.0035045646568341113,0.036387228031619936,3.504564656834111e-05,3.341446084111958,0.0038486349335123933,26.387228031619937,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1080,55514.60295140153,63832.59704859849,0.0,86.4,50.121691261679366,49.878308738320634,6,22,1.0,1.0,5.0,19.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1141,55514.60295140153,63832.59704859849,0.0,86.4,50.121691261679366,49.878308738320634,6,22,1.0,1.0,5.0,19.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1229,55514.60295140153,63832.59704859849,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,88.0
1291,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1352,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1413,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1474,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1541,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1619,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1682,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1743,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1805,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1866,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
1942,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2015,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2076,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2140,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2203,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2264,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,23,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2355,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,27,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,22.75
2425,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,27,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2507,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,27,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2569,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,27,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2631,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,27,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2724,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,27,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2793,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,28,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,69.0
2855,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,28,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2917,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,28,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
2993,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,28,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3054,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,28,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3124,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,35.0
3187,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3249,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3312,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3374,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3443,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3524,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3601,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3663,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3746,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,30,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
3845,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,35,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,19.8
3919,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,37,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,37.0
3995,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,37,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
4056,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,37,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
4119,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,37,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
4180,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,37,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
4251,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,37,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
4355,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,39,1.0,1.0,5.0,20.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,52.0
4446,55454.60295140153,63892.59704859848,0.0,86.4,50.121691261679366,49.878308738320634,6,47,1.0,1.0,5.0,28.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,11.375
4507,55105.51204231062,64241.687957689384,0.0,86.4,50.121691261679366,49.878308738320634,6,47,1.0,1.0,5.0,28.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
4574,55105.51204231062,64241.687957689384,0.0,86.4,50.121691261679366,49.878308738320634,6,47,1.0,1.0,5.0,28.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
4691,55105.51204231062,64241.687957689384,0.0,86.4,50.121691261679366,49.878308738320634,6,49,1.0,1.0,5.0,30.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,58.5
4758,55043.17437997295,64304.02562002705,0.0,86.4,50.121691261679366,49.878308738320634,6,49,1.0,1.0,5.0,30.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
4819,55043.17437997295,64304.02562002705,0.0,86.4,50.121691261679366,49.878308738320634,6,49,1.0,1.0,5.0,30.0,3.638712877777181,0.0035045761445480147,0.03638712877777181,3.504576144548015e-05,3.341446084111958,0.0038486349335123933,26.38712877777181,0,54.580693166657724,45.419306833342276,6.099,19.046,None,None
