timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1778274708.914643,pool-foundryusa,v26,49222281.339346364,44181754.761454225,v27,True,5040526.57789214,5040526.57789214,Ideology: supporting v26 (loss 10.2% < tolerance 17.0%)
1778274708.914643,pool-marapool,v26,7547416.472033108,6774535.730089648,v27,True,772880.74194346,772880.74194346,Ideology: supporting v26 (loss 10.2% < tolerance 17.0%)
1778274708.914643,pool-luxor,v26,3773708.236016554,3387267.865044824,v27,True,386440.37097173,386440.37097173,Ideology: supporting v26 (loss 10.2% < tolerance 17.0%)
1778274708.914643,pool-ocean,v26,1968891.2535738545,1767270.1904581697,v27,True,201621.06311568478,201621.06311568478,Ideology: supporting v26 (loss 10.2% < tolerance 17.0%)
1778274708.914643,pool-antpool,v26,27728551.821165115,24889055.182285883,v27,True,2839496.638879232,2839496.638879232,Ideology: supporting v26 (loss 10.2% < tolerance 17.0%)
1778274708.914643,pool-f2pool,v26,17884095.553295843,16052704.229995035,v27,True,1831391.3233008087,1831391.3233008087,Ideology: supporting v26 (loss 10.2% < tolerance 17.0%)
1778274708.914643,pool-viabtc,v27,18376318.366689306,16494521.777609576,v27,False,0,0.0,Rational profit maximization
1778274708.914643,pool-spiderpool,v27,15258907.215197373,13696343.976050813,v27,False,0,0.0,Rational profit maximization
1778275318.0325553,pool-foundryusa,v26,47260966.076564625,46147246.036399364,v27,True,1113720.0401652604,6154246.6180574,Ideology: supporting v26 (loss 2.4% < tolerance 17.0%)
1778275318.0325553,pool-marapool,v26,7246681.465073243,7075911.058914568,v27,True,170770.4061586745,943651.1481021345,Ideology: supporting v26 (loss 2.4% < tolerance 17.0%)
1778275318.0325553,pool-luxor,v26,3623340.7325366214,3537955.529457284,v27,True,85385.20307933725,471825.57405106723,Ideology: supporting v26 (loss 2.4% < tolerance 17.0%)
1778275318.0325553,pool-ocean,v26,1890438.6430625855,1845889.8414559746,v27,True,44548.80160661088,246169.86472229566,Ideology: supporting v26 (loss 2.4% < tolerance 17.0%)
