scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,full_switch,0.703,0.25,0.313,0.193,0.415,0.115,30.0,0.4,0.49,1.0,1.0,0.6967741935483871,70.17,100.0,29.83,True,full_switch,302.0,943.0,605.0,-303.0,37.01,4,0,13000,0.05,0.1,2,0.0,0.0,50355.4524361949,100.0,86.4,68991.74756380511,564,0.147,465,0.5,6,0.12,141,0.0,0,324,344179019304.9235,0,v27
sweep_0001,v27_dominant,full_switch,0.918,0.25,0.27,0.177,0.077,0.457,30.0,0.4,0.49,1.0,1.0,0.9455782312925171,91.62,100.0,8.38,True,full_switch,634.0,976.0,702.0,-68.0,46.05,4,0,13000,0.05,0.1,2,0.0,0.0,48505.26315789474,100.0,86.4,70841.93684210526,32,0.046,147,0.5,6,0.12,8,0.0,0,139,353409055560.2728,0,v27
sweep_0002,v27_dominant,full_switch,0.839,0.25,0.767,0.087,0.188,0.606,30.0,0.4,0.49,1.0,1.0,0.9467455621301775,84.8,100.0,15.2,True,full_switch,343.0,1015.0,701.0,-358.0,46.71,4,0,13000,0.05,0.1,2,0.0,0.0,48376.470588235294,100.0,86.4,70970.72941176471,72,0.01,338,0.5,6,0.12,18,0.0,0,320,354051562843.889,0,v27
sweep_0003,v27_dominant,full_switch,0.895,0.25,0.217,0.121,0.192,0.373,30.0,0.4,0.49,1.0,1.0,0.9573170731707317,88.61,100.0,11.39,True,full_switch,682.0,1020.0,682.0,0.0,46.93,4,0,13000,0.05,0.1,2,0.0,0.0,48332.3076923077,100.0,86.4,71014.89230769232,28,0.05,164,0.5,6,0.12,7,0.0,0,157,354271878211.25916,0,v27
sweep_0004,v26_dominant,no_switch,0.473,0.25,0.391,0.2,0.224,0.297,30.0,0.4,0.49,0.0,0.0,0.024390243902439025,50.12,0.0,-50.12,False,no_switch,1737.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71202.03870967744,0.0,0.0,48145.16129032258,28,0.036,287,0.5,6,0.12,280,355205495163.6651,0,7,0.0,0,v26
sweep_0005,v27_dominant,full_switch,0.797,0.25,0.477,0.173,0.124,0.409,30.0,0.4,0.49,1.0,1.0,0.9195402298850575,80.79,100.0,19.21,True,full_switch,967.0,1662.0,1330.0,-363.0,46.06,10,0,13000,0.05,0.1,2,0.0,0.0,48502.32558139535,100.0,86.4,70844.87441860467,83,0.142,174,0.5,6,0.12,14,0.0,0,160,353423710243.39655,4923.489019127097,v27
sweep_0006,v27_dominant,full_switch,0.919,0.25,0.708,0.132,0.4,0.616,30.0,0.4,0.49,1.0,1.0,0.8383233532934131,76.18,100.0,23.82,True,full_switch,1044.0,2485.0,2123.0,-1079.0,42.04,6,0,13000,0.05,0.1,2,0.0,0.0,49309.09090909091,100.0,86.4,70038.1090909091,109,0.15,167,0.5,6,0.12,27,0.0,0,140,349399001360.0815,11551259.762754653,v27
sweep_0007,v26_dominant,no_switch,0.383,0.25,0.426,0.132,0.365,0.476,30.0,0.4,0.49,0.0,0.0,0.01045751633986928,30.08,0.0,-30.08,False,no_switch,982.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71288.50434782609,0.0,0.0,48058.69565217391,32,0.037,765,0.5,6,0.12,757,355636846152.623,0,8,0.0,0,v26
sweep_0008,v27_dominant,full_switch,0.62,0.25,0.56,0.265,0.258,0.531,30.0,0.4,0.49,1.0,1.0,0.7841726618705036,62.15,100.0,37.85,True,full_switch,3232.0,4810.0,3785.0,-553.0,40.58,10,0,13000,0.05,0.1,2,0.0,0.0,49608.51063829788,100.0,86.4,69738.68936170213,648,0.052,417,0.5,6,0.12,90,0.0,0,327,347905286642.04663,28050169.772805266,v27
sweep_0009,v26_dominant,no_switch,0.44,0.25,0.632,0.182,0.27,0.109,30.0,0.4,0.49,0.0,0.0,0.0035419126328217238,50.12,0.0,-50.12,False,no_switch,1634.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71329.48782287823,0.0,0.0,48017.71217712178,12,0.145,847,0.5,6,0.12,844,355841300348.22235,0,3,0.0,0,v26
