scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v26_dominant,no_switch,0.3486,0.25,0.7152,0.16,0.1905,0.215,30.0,0.4,0.49,0.0,0.5673664319629602,0.031394422310756974,56.74,56.74,-0.0,False,no_switch,None,None,None,None,0.89,8,0,13000,0.05,0.1,2,43.26335680370397,86.4,64280.28713151452,56.73664319629601,0.0,55066.91286848548,1126,0.085,6275,0.5,6,0.12,6078,138734753976.14,1591462.1461877306,197,155862491521.21866,0,v26
sweep_0001,v27_dominant,no_switch,0.6977,0.25,0.5284,0.16,0.3354,0.5627,30.0,0.4,0.49,1.0,0.5673741253525133,0.8075208085612366,56.74,56.74,0.0,False,no_switch,None,None,7812.0,None,17.42,8,0,13000,0.05,0.1,2,43.26258746474866,0.0,54892.93166249067,56.73741253525133,86.4,64454.26833750933,5672,0.085,6728,0.5,6,0.12,1295,118472120831.25386,0,5433,182435123942.672,79989175.63595295,v27
sweep_0002,v27_dominant,full_switch,0.6037,0.25,0.4455,0.16,0.1097,0.4813,30.0,0.4,0.49,1.0,1.0,0.9577419869239355,56.74,100.0,43.26,True,full_switch,3026.0,3026.0,1208.0,1818.0,46.83,10,0,13000,0.05,0.1,2,0.0,0.0,48351.109316703776,100.0,86.4,70996.09068329625,1918,0.085,6271,0.5,6,0.12,265,0.0,0,6006,354178082578.0931,866972.550047644,v27
sweep_0003,v27_dominant,full_switch,0.4903,0.25,0.3356,0.16,0.2161,0.2804,30.0,0.4,0.49,1.0,1.0,0.9456656988801327,56.74,100.0,43.26,True,full_switch,3026.0,3026.0,1207.0,1819.0,46.23,10,0,13000,0.05,0.1,2,0.0,0.0,48470.31307590457,100.0,86.4,70876.88692409545,1918,0.085,4822,0.5,6,0.12,262,0.0,0,4560,353583410977.67816,866972.550047644,v27
sweep_0004,v27_dominant,no_switch,0.4597,0.25,0.692,0.16,0.3502,0.3213,30.0,0.4,0.49,1.0,0.5673741253525133,0.7578724098547888,56.74,56.74,0.0,False,no_switch,None,None,9638.0,None,15.42,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55401.88124757294,56.73741253525133,86.4,63945.31875242706,8004,0.085,6129,0.5,6,0.12,1484,119570556183.76183,0,4645,180994563324.57834,90663320.61511347,v27
sweep_0005,v26_dominant,no_switch,0.6456,0.25,0.7299,0.16,0.3724,0.1555,30.0,0.4,0.49,0.0,0.5673664319629602,0.030055955235811352,56.74,56.74,-0.0,False,no_switch,None,None,None,None,0.93,8,0,13000,0.05,0.1,2,43.26335680370397,86.4,64290.83440707994,56.73664319629601,0.0,55056.365592920054,1060,0.085,6255,0.5,6,0.12,6067,138757517932.9608,989043.1512484187,188,155832638301.5128,0,v26
sweep_0006,v27_dominant,no_switch,0.4502,0.25,0.3589,0.16,0.3998,0.2686,30.0,0.4,0.49,1.0,0.5673741253525133,0.7736764705882353,56.74,56.74,0.0,False,no_switch,None,None,8419.0,None,16.2,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55203.37725778553,56.73741253525133,86.4,64143.82274221448,8280,0.085,6800,0.5,6,0.12,1539,119142136932.84303,0,5261,181556420605.93558,76322557.1957752,v27
sweep_0007,v26_dominant,no_switch,0.4004,0.25,0.3879,0.16,0.2033,0.1785,30.0,0.4,0.49,0.0,0.5673664319629602,0.03228995057660626,56.74,56.74,-0.0,False,no_switch,None,None,None,None,0.89,8,0,13000,0.05,0.1,2,43.26335680370397,86.4,64275.41717810211,56.73664319629601,0.0,55071.7828218979,1126,0.085,6070,0.5,6,0.12,5874,138724243260.97842,1591462.1461877306,196,155876275534.75626,0,v26
sweep_0008,v27_dominant,full_switch,0.6334,0.25,0.4604,0.16,0.1694,0.2929,30.0,0.4,0.49,1.0,1.0,0.9526561043802423,56.74,100.0,43.26,True,full_switch,3025.0,3025.0,1208.0,1817.0,46.49,10,0,13000,0.05,0.1,2,0.0,0.0,48419.282384294274,100.0,86.4,70927.91761570572,1864,0.085,5365,0.5,6,0.12,254,0.0,0,5111,353837987706.24457,1066358.9512602673,v27
sweep_0009,v27_dominant,full_switch,0.6818,0.25,0.5014,0.16,0.2234,0.3436,30.0,0.4,0.49,1.0,1.0,0.8640658335873209,56.74,100.0,43.26,True,full_switch,9928.0,9928.0,4837.0,5091.0,42.7,10,0,13000,0.05,0.1,2,0.0,0.0,49173.95900373055,100.0,86.4,70173.24099626945,5028,0.085,6562,0.5,6,0.12,892,0.0,0,5670,350073133677.43896,35600861.55307867,v27
