scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,full_switch,0.7454,0.25,0.6915,0.16,0.316,0.4903,30.0,0.4,0.49,1.0,1.0,0.6832844574780058,76.18,100.0,23.82,True,full_switch,302.0,1250.0,749.0,-447.0,36.33,4,0,13000,0.05,0.1,2,0.0,0.0,50500.32154340837,100.0,86.4,68846.87845659164,432,0.085,341,0.5,6,0.12,108,0.0,0,233,343456311024.4556,0,v27
sweep_0001,v27_dominant,full_switch,0.7268,0.25,0.6982,0.16,0.1644,0.3717,30.0,0.4,0.49,1.0,1.0,0.972027972027972,76.18,100.0,23.82,True,full_switch,666.0,963.0,666.0,0.0,47.61,4,0,13000,0.05,0.1,2,0.0,0.0,48200.0,100.0,86.4,71147.20000000001,16,0.085,143,0.5,6,0.12,4,0.0,0,139,354931921381.5361,0,v27
sweep_0002,v26_dominant,no_switch,0.4186,0.25,0.6498,0.16,0.2942,0.3112,30.0,0.4,0.49,0.34722222222222227,0.5012210820410434,0.256,50.12,50.12,0.0,False,no_switch,None,None,None,None,0.0,3,0,13000,0.05,0.1,2,49.87789179589566,56.39999999999999,61979.50353724661,50.12210820410434,30.0,57367.696462753396,9,0.085,250,0.5,6,0.12,186,154220969481.19067,0,64,143444528837.48428,158910112.7190257,v26
sweep_0003,v27_dominant,full_switch,0.7547,0.25,0.5116,0.16,0.2374,0.2633,30.0,0.4,0.49,1.0,1.0,0.8521739130434782,62.15,100.0,37.85,True,full_switch,982.0,1654.0,1411.0,-429.0,42.13,10,0,13000,0.05,0.1,2,0.0,0.0,49289.55223880597,100.0,86.4,70057.64776119404,146,0.085,115,0.5,6,0.12,17,0.0,0,98,349496473892.87933,3286901.107276592,v27
sweep_0004,v26_dominant,no_switch,0.5238,0.25,0.5686,0.16,0.1715,0.4084,30.0,0.4,0.49,0.0,0.0,0.014248704663212436,50.12,0.0,-50.12,False,no_switch,1888.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71233.89527896997,0.0,0.0,48113.30472103004,29,0.085,772,0.5,6,0.12,761,355364417979.2871,3813285.3244739026,11,0.0,0,v26
sweep_0005,v26_dominant,no_switch,0.4737,0.25,0.4475,0.16,0.3542,0.3422,30.0,0.4,0.49,0.0,0.0,0.002366863905325444,50.12,0.0,-50.12,False,no_switch,963.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,100.0,86.4,71337.87357512953,0.0,0.0,48009.326424870465,8,0.085,845,0.5,6,0.12,843,355883134336.8935,0,2,0.0,0,v26
sweep_0006,v27_dominant,full_switch,0.5903,0.25,0.5241,0.16,0.3095,0.3011,30.0,0.4,0.49,1.0,1.0,0.8945147679324894,62.15,100.0,37.85,True,full_switch,1235.0,2170.0,1927.0,-692.0,44.77,10,0,13000,0.05,0.1,2,0.0,0.0,48759.63302752294,100.0,86.4,70587.56697247707,329,0.085,474,0.5,6,0.12,50,0.0,0,424,352140081003.73785,9894928.558938958,v27
sweep_0007,contested,partial_switch,0.6369,0.25,0.7159,0.16,0.2571,0.472,30.0,0.4,0.49,0.5844907407407407,0.6214929353977099,0.5,62.15,62.15,0.0,False,partial_switch,None,None,None,None,0.0,5,0,13000,0.05,0.1,2,37.850706460229006,35.9,60000,62.14929353977099,50.5,60000,0,0.085,0,0.5,6,0.12,0,113295454800.0,25602.710337040946,0,186026448000.00003,0,v27
sweep_0008,v27_dominant,full_switch,0.6546,0.25,0.647,0.16,0.1962,0.4816,30.0,0.4,0.49,1.0,1.0,0.9630434782608696,62.15,100.0,37.85,True,full_switch,1007.0,2193.0,1477.0,-470.0,47.67,10,0,13000,0.05,0.1,2,0.0,0.0,48188.12351543943,100.0,86.4,71159.07648456059,120,0.085,460,0.5,6,0.12,17,0.0,0,443,354991169580.8235,4902443.248584898,v27
sweep_0009,v27_dominant,full_switch,0.7631,0.25,0.4713,0.16,0.3365,0.4731,30.0,0.4,0.49,1.0,1.0,0.8685714285714285,76.18,100.0,23.82,True,full_switch,660.0,1020.0,834.0,-174.0,44.73,4,0,13000,0.05,0.1,2,0.0,0.0,48765.95744680851,100.0,86.4,70581.24255319149,92,0.085,175,0.5,6,0.12,23,0.0,0,152,352108530383.49347,0,v27
