scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,contested,no_switch,0.7454,0.25,0.6915,0.16,0.316,0.4903,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5779537149817296,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.01,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57933.462261587505,56.737060138721,50.5,61413.73773841251,633,0.085,3284,0.5,6,0.12,1386,125035334061.71518,128845883.17715499,1898,173827948975.3025,0,v27
sweep_0001,v27_dominant,full_switch,0.7268,0.25,0.6982,0.16,0.1644,0.3717,30.0,0.4,0.49,1.0,1.0,0.8330902608977475,56.74,100.0,43.26,True,full_switch,12398.0,12398.0,6049.0,6349.0,41.12,10,0,13000,0.05,0.1,2,0.0,0.0,49496.92146833577,100.0,86.4,69850.27853166424,5601,0.085,6171,0.5,6,0.12,1030,0.0,0,5141,348461971353.46216,49107992.33128536,v27
sweep_0002,v27_dominant,no_switch,0.4186,0.25,0.6498,0.16,0.2942,0.3112,30.0,0.4,0.49,1.0,0.5673741253525133,0.7546763780830988,56.74,56.74,0.0,False,no_switch,None,None,9690.0,None,15.28,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55439.07171061321,56.73741253525133,86.4,63908.12828938679,7908,0.085,6041,0.5,6,0.12,1482,119650822128.71385,0,4559,180889297266.80994,90251191.58125602,v27
sweep_0003,v27_dominant,no_switch,0.7547,0.25,0.5116,0.16,0.2374,0.2633,30.0,0.4,0.49,1.0,0.56737060138721,0.6378532415103301,56.74,56.74,0.0,False,no_switch,None,None,12715.0,None,12.7,10,0,13000,0.05,0.1,2,43.262939861279,0.0,56111.29246533882,56.737060138721,86.4,63235.90753466119,8136,0.085,4211,0.5,6,0.12,1525,121102622286.9144,0,2686,178985492711.13248,124967874.2140178,v27
sweep_0004,v27_dominant,full_switch,0.5238,0.25,0.5686,0.16,0.1715,0.4084,30.0,0.4,0.49,1.0,1.0,0.8863438045375218,56.74,100.0,43.26,True,full_switch,7001.0,7001.0,3088.0,3913.0,43.47,10,0,13000,0.05,0.1,2,0.0,0.0,49018.87519991278,100.0,86.4,70328.32480008724,3199,0.085,4584,0.5,6,0.12,521,0.0,0,4063,350846799998.309,16446249.052293,v27
sweep_0005,v27_dominant,no_switch,0.4737,0.25,0.4475,0.16,0.3542,0.3422,30.0,0.4,0.49,1.0,0.56737060138721,0.7257462686567164,56.74,56.74,0.0,False,no_switch,None,None,11464.0,None,14.11,10,0,13000,0.05,0.1,2,43.262939861279,0.0,55741.807262093964,56.737060138721,86.4,63605.39273790605,7897,0.085,5360,0.5,6,0.12,1470,120305178046.31335,0,3890,180031298705.393,109691198.76504254,v27
sweep_0006,v27_dominant,no_switch,0.5903,0.25,0.5241,0.16,0.3095,0.3011,30.0,0.4,0.49,1.0,0.5673741253525133,0.7372635883455444,56.74,56.74,0.0,False,no_switch,None,None,10865.0,None,14.51,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55637.043847286106,56.73741253525133,86.4,63710.1561527139,8325,0.085,5869,0.5,6,0.12,1542,120078093512.96677,0,4327,180328945373.55765,100836071.68805087,v27
sweep_0007,v27_dominant,no_switch,0.6369,0.25,0.7159,0.16,0.2571,0.472,30.0,0.4,0.49,1.0,0.5673741253525133,0.7454299255247122,56.74,56.74,0.0,False,no_switch,None,None,9634.0,None,14.99,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55514.124191028066,56.73741253525133,86.4,63833.07580897194,8114,0.085,5908,0.5,6,0.12,1504,119812803394.04442,0,4404,180676864344.67993,90016802.67971866,v27
sweep_0008,contested,no_switch,0.6546,0.25,0.647,0.16,0.1962,0.4816,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.584213797389683,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.15,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57897.094674399195,56.737060138721,50.5,61450.105325600816,454,0.085,3218,0.5,6,0.12,1338,124956843440.9997,132376784.27462664,1880,173930885277.87784,0,v27
sweep_0009,contested,no_switch,0.7631,0.25,0.4713,0.16,0.3365,0.4731,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5851094890510949,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.16,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57889.36065550501,56.737060138721,50.5,61457.839344495005,468,0.085,3425,0.5,6,0.12,1421,124940151436.09746,134786369.5122583,2004,173952775960.50394,0,v27
