timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1775377931.4748359,pool-foundryusa,v27,46958413.14752084,46445113.50715667,v27,False,0,0.0,Ideology and profit aligned
1775377931.4748359,pool-marapool,v26,7200290.015953196,7121584.071097355,v27,True,78705.94485584088,78705.94485584088,Ideology: supporting v26 (loss 1.1% < tolerance 15.1%)
1775377931.4748359,pool-luxor,v26,3600145.007976598,3560792.0355486777,v27,True,39352.97242792044,39352.97242792044,Ideology: supporting v26 (loss 1.1% < tolerance 15.1%)
1775377931.4748359,pool-ocean,v26,1878336.5259008342,1857804.5402862667,v27,True,20531.98561456753,20531.98561456753,Ideology: supporting v26 (loss 1.1% < tolerance 15.1%)
1775377931.4748359,pool-antpool,v26,26453239.40643674,26164080.609031588,v27,True,289158.7974051535,289158.7974051535,Ideology: supporting v26 (loss 1.1% < tolerance 15.1%)
1775377931.4748359,pool-f2pool,v26,17061556.776932575,16875057.907600254,v27,True,186498.869332321,186498.869332321,Ideology: supporting v26 (loss 1.1% < tolerance 15.1%)
1775377931.4748359,pool-viabtc,v27,17531140.90840778,17339509.04267182,v27,False,0,0.0,Rational profit maximization
1775377931.4748359,pool-spiderpool,v27,14557108.075731464,14397985.18721857,v27,False,0,0.0,Rational profit maximization
1775378532.3853564,pool-foundryusa,v27,48724270.091174364,44679128.67192659,v27,False,0,0.0,Ideology and profit aligned
1775378532.3853564,pool-marapool,v26,7471054.747313403,6850799.72969541,v27,True,620255.017617993,698960.9624738339,Ideology: supporting v26 (loss 8.3% < tolerance 15.1%)
1775378532.3853564,pool-luxor,v26,3735527.3736567013,3425399.864847705,v27,True,310127.5088089965,349480.48123691697,Ideology: supporting v26 (loss 8.3% < tolerance 15.1%)
1775378532.3853564,pool-ocean,v26,1948970.8036469752,1787165.146877064,v27,True,161805.6567699113,182337.64238447882,Ideology: supporting v26 (loss 8.3% < tolerance 15.1%)
1775378532.3853564,pool-antpool,v26,27448005.48469489,25169242.48518531,v27,True,2278762.9995095804,2567921.796914734,Ideology: supporting v26 (loss 8.3% < tolerance 15.1%)
1775378532.3853564,pool-f2pool,v26,17703151.46646002,16233416.750799991,v27,True,1469734.7156600282,1656233.5849923491,Ideology: supporting v26 (loss 8.3% < tolerance 15.1%)
1775378532.3853564,pool-viabtc,v27,18190394.16737176,16680208.037519258,v27,False,0,0.0,Rational profit maximization
1775378532.3853564,pool-spiderpool,v27,15104523.728264056,13850529.888297245,v27,False,0,0.0,Rational profit maximization
1775379133.4001284,pool-foundryusa,v27,48842558.92962846,44560839.62864828,v27,False,0,0.0,Ideology and profit aligned
1775379133.4001284,pool-marapool,v26,7489192.3692096975,6832662.076392736,v27,True,656530.2928169612,1355491.2552907951,Ideology: supporting v26 (loss 8.8% < tolerance 15.1%)
1775379133.4001284,pool-luxor,v26,3744596.1846048487,3416331.038196368,v27,True,328265.1464084806,677745.6276453976,Ideology: supporting v26 (loss 8.8% < tolerance 15.1%)
1775379133.4001284,pool-ocean,v26,1953702.3571851389,1782433.5851459317,v27,True,171268.77203920716,353606.414423686,Ideology: supporting v26 (loss 8.8% < tolerance 15.1%)
1775379133.4001284,pool-antpool,v26,27514641.53035737,25102606.32413853,v27,True,2412035.2062188387,4979957.003133573,Ideology: supporting v26 (loss 8.8% < tolerance 15.1%)
1775379133.4001284,pool-f2pool,v26,17746129.744431674,16190438.398408875,v27,True,1555691.3460227996,3211924.9310151488,Ideology: supporting v26 (loss 8.8% < tolerance 15.1%)
1775379133.4001284,pool-viabtc,v27,18234555.33372796,16636046.794695359,v27,False,0,0.0,Rational profit maximization
1775379133.4001284,pool-spiderpool,v27,15141193.268184826,13813860.28488097,v27,False,0,0.0,Rational profit maximization
1775379733.8997662,pool-foundryusa,v27,48980361.547756046,44423036.771907166,v27,False,0,0.0,Ideology and profit aligned
1775379733.8997662,pool-marapool,v26,7510322.103989258,6811532.305025766,v27,True,698789.7989634927,2054281.0542542879,Ideology: supporting v26 (loss 9.3% < tolerance 15.1%)
1775379733.8997662,pool-luxor,v26,3755161.051994629,3405766.152512883,v27,True,349394.89948174637,1027140.5271271439,Ideology: supporting v26 (loss 9.3% < tolerance 15.1%)
1775379733.8997662,pool-ocean,v26,1959214.4619102417,1776921.4708762867,v27,True,182292.991033955,535899.405457641,Ideology: supporting v26 (loss 9.3% < tolerance 15.1%)
1775379733.8997662,pool-antpool,v26,27592270.33856923,25024977.381507702,v27,True,2567292.957061529,7547249.960195102,Ideology: supporting v26 (loss 9.3% < tolerance 15.1%)
1775379733.8997662,pool-f2pool,v26,17796198.02901803,16140370.027126268,v27,True,1655828.001891762,4867752.932906911,Ideology: supporting v26 (loss 9.3% < tolerance 15.1%)
1775379733.8997662,pool-viabtc,v27,18286001.644495588,16584600.39484534,v27,False,0,0.0,Rational profit maximization
1775379733.8997662,pool-spiderpool,v27,15183912.079804376,13771141.399291225,v27,False,0,0.0,Rational profit maximization
1775380333.981526,pool-foundryusa,v27,49022536.06487006,44380862.18176545,v27,False,0,0.0,Ideology and profit aligned
1775380333.981526,pool-marapool,v26,7516788.8632800765,6805065.5345373675,v27,True,711723.328742709,2766004.382996997,Ideology: supporting v26 (loss 9.5% < tolerance 15.1%)
1775380333.981526,pool-luxor,v26,3758394.4316400383,3402532.7672686838,v27,True,355861.6643713545,1383002.1914984984,Ideology: supporting v26 (loss 9.5% < tolerance 15.1%)
1775380333.981526,pool-ocean,v26,1960901.442594803,1775234.4872706179,v27,True,185666.95532418508,721566.3607818261,Ideology: supporting v26 (loss 9.5% < tolerance 15.1%)
1775380333.981526,pool-antpool,v26,27616028.649876803,25001219.0290612,v27,True,2614809.620815605,10162059.581010707,Ideology: supporting v26 (loss 9.5% < tolerance 15.1%)
1775380333.981526,pool-f2pool,v26,17811521.43690279,16125046.59270811,v27,True,1686474.8441946805,6554227.777101591,Ideology: supporting v26 (loss 9.5% < tolerance 15.1%)
1775380333.981526,pool-viabtc,v27,18301746.797551487,16568855.214525763,v27,False,0,0.0,Rational profit maximization
1775380333.981526,pool-spiderpool,v27,15196986.180109724,13758067.27634729,v27,False,0,0.0,Rational profit maximization
1775380935.7754555,pool-foundryusa,v27,49148878.452241465,44254519.575624615,v27,False,0,0.0,Ideology and profit aligned
1775380935.7754555,pool-marapool,v26,7536161.362677025,6785693.001595773,v27,True,750468.3610812519,3516472.7440782487,Ideology: supporting v26 (loss 10.0% < tolerance 15.1%)
1775380935.7754555,pool-luxor,v26,3768080.6813385123,3392846.5007978864,v27,True,375234.18054062594,1758236.3720391244,Ideology: supporting v26 (loss 10.0% < tolerance 15.1%)
1775380935.7754555,pool-ocean,v26,1965955.1380896592,1770180.7830249844,v27,True,195774.35506467475,917340.7158465008,Ideology: supporting v26 (loss 10.0% < tolerance 15.1%)
1775380935.7754555,pool-antpool,v26,27687201.528096028,24930046.02760186,v27,True,2757155.500494167,12919215.081504874,Ideology: supporting v26 (loss 10.0% < tolerance 15.1%)
1775380935.7754555,pool-f2pool,v26,17857425.83764773,16079142.112476937,v27,True,1778283.7251707911,8332511.502272382,Ideology: supporting v26 (loss 10.0% < tolerance 15.1%)
1775380935.7754555,pool-viabtc,v27,18348914.622170147,16521687.308233183,v27,False,0,0.0,Rational profit maximization
1775380935.7754555,pool-spiderpool,v27,15236152.320194859,13718901.06844363,v27,False,0,0.0,Rational profit maximization
1775381536.3421443,pool-foundryusa,v27,49212331.287012696,44191066.63098101,v27,False,0,0.0,Ideology and profit aligned
