timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,54.33622415601456,45.66377584398544,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.009507650770956179,0.00630279859820365,0,0,62.55946624370227,37.440533756297725,0.0,19.975,None,None
97,60000,60000,38.1,48.3,54.33622415601456,45.66377584398544,3,2,1.0,1.0,3.0,2.0,1.0,1.0,0.01,0.01,0.009507650770956179,0.00630279859820365,0,0,62.55946624370227,37.440533756297725,0.0,19.975,32.333333333333336,48.5
159,60000,60000,38.1,48.3,54.33622415601456,45.66377584398544,3,2,1.0,1.0,3.0,2.0,0.010946538275363477,0.0051677755357208725,0.00010946538275363477,5.167775535720873e-05,0.009507650770956179,0.00630279859820365,0,0,62.55946624370227,37.440533756297725,0.0,19.975,None,None
222,60000,60000,38.1,48.3,54.33622415601456,45.66377584398544,3,2,1.0,1.0,3.0,2.0,0.010946538275363477,0.0051677755357208725,0.00010946538275363477,5.167775535720873e-05,0.009507650770956179,0.00630279859820365,0,0,62.55946624370227,37.440533756297725,0.0,19.975,None,None
426,60000,60000,38.1,48.3,54.33622415601456,45.66377584398544,4,4,1.0,1.0,3.0,3.0,0.010946538275363477,0.0051677755357208725,0.00010946538275363477,5.167775535720873e-05,0.009507650770956179,0.00630279859820365,0,0,62.55946624370227,37.440533756297725,0.0,19.975,204.0,102.0
493,59949.146898721745,59398.05310127826,38.1,48.3,54.33622415601456,45.66377584398544,4,4,1.0,1.0,3.0,3.0,0.010946538275363477,0.0051677755357208725,0.00010946538275363477,5.167775535720873e-05,0.009507650770956179,0.00630279859820365,0,0,62.55946624370227,37.440533756297725,0.0,19.975,None,None
567,59949.146898721745,59398.05310127826,38.1,48.3,54.33622415601456,45.66377584398544,5,5,1.0,1.0,4.0,3.0,0.010946538275363477,0.0051677755357208725,0.00010946538275363477,5.167775535720873e-05,0.009507650770956179,0.00630279859820365,0,0,62.55946624370227,37.440533756297725,0.0,19.975,74.0,74.0
651,60463.43261300747,58883.76738699254,38.1,48.3,54.33622415601456,45.66377584398544,6,7,1.0,1.0,5.0,5.0,0.010946538275363477,0.0051677755357208725,0.00010946538275363477,5.167775535720873e-05,0.009507650770956179,0.00630279859820365,0,0,62.55946624370227,37.440533756297725,0.0,19.975,84.0,42.0
752,59949.146898721745,59398.05310127826,50.5,35.9,54.33622415601456,45.66377584398544,8,8,1.0,1.0,7.0,6.0,0.010946538275363477,0.0051677755357208725,0.00010946538275363477,5.167775535720873e-05,0.00717309889848377,0.00847980981318207,0,0,62.55946624370227,37.440533756297725,0.0,19.975,50.5,101.0
836,60821.26997564482,58525.93002435518,50.5,35.9,54.33622415601456,45.66377584398544,10,8,1.0,1.0,9.0,6.0,0.008258675411709871,0.006952745358643961,8.258675411709872e-05,6.952745358643961e-05,0.00717309889848377,0.00847980981318207,0,0,62.55946624370227,37.440533756297725,0.0,19.975,42.0,None
902,61264.34689872174,58082.853101278255,50.5,35.9,54.33622415601456,45.66377584398544,11,10,1.0,1.0,10.0,6.0,0.008258675411709871,0.006952745358643961,8.258675411709872e-05,6.952745358643961e-05,0.00717309889848377,0.00847980981318207,0,0,62.55946624370227,37.440533756297725,0.0,19.975,66.0,33.0
977,61444.34689872175,57902.853101278255,50.5,35.9,54.33622415601456,45.66377584398544,12,10,1.0,1.0,11.0,6.0,0.008258675411709871,0.006952745358643961,8.258675411709872e-05,6.952745358643961e-05,0.00717309889848377,0.00847980981318207,0,0,62.55946624370227,37.440533756297725,0.0,19.975,75.0,None
1051,61603.17042813352,57744.02957186649,50.5,35.9,54.33622415601456,45.66377584398544,12,10,1.0,1.0,11.0,6.0,0.008258675411709871,0.006952745358643961,8.258675411709872e-05,6.952745358643961e-05,0.00717309889848377,0.00847980981318207,0,0,62.55946624370227,37.440533756297725,0.0,19.975,None,None
1117,61603.17042813352,57744.02957186649,50.5,35.9,56.01266731698078,43.98733268301922,12,11,1.0,1.0,11.0,6.0,0.008258675411709871,0.006952745358643961,8.258675411709872e-05,6.952745358643961e-05,0.007394411526994163,0.008168492605946003,0,0,63.62473620998076,36.37526379001924,0.0,19.975,None,66.0
1195,61804.34360744947,57542.856392550544,50.5,35.9,56.01266731698078,43.98733268301922,14,12,1.0,1.0,13.0,7.0,0.008399305110228484,0.0067549236378865824,8.399305110228485e-05,6.754923637886582e-05,0.007394411526994163,0.008168492605946003,0,0,63.62473620998076,36.37526379001924,0.0,19.975,39.0,78.0
1257,61825.5200780377,57521.679921962306,50.5,35.9,56.01266731698078,43.98733268301922,14,13,1.0,1.0,13.0,7.0,0.008399305110228484,0.0067549236378865824,8.399305110228485e-05,6.754923637886582e-05,0.007394411526994163,0.008168492605946003,0,0,63.62473620998076,36.37526379001924,0.0,19.975,None,62.0
1329,61825.5200780377,57521.679921962306,50.5,35.9,56.01266731698078,43.98733268301922,15,13,1.0,1.0,14.0,7.0,0.008399305110228484,0.0067549236378865824,8.399305110228485e-05,6.754923637886582e-05,0.007394411526994163,0.008168492605946003,0,0,63.62473620998076,36.37526379001924,0.0,19.975,72.0,None
1407,61945.520078037705,57401.679921962306,50.5,35.9,58.58321349712898,41.41678650287102,17,15,1.0,1.0,16.0,9.0,0.008399305110228484,0.0067549236378865824,8.399305110228485e-05,6.754923637886582e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,39.0,39.0
1510,62061.98561965548,57285.21438034452,50.5,35.9,58.58321349712898,41.41678650287102,18,15,1.0,1.0,17.0,9.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,103.0,None
1572,62161.67792734779,57185.52207265221,50.5,35.9,58.58321349712898,41.41678650287102,18,15,1.0,1.0,17.0,9.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
1660,62161.67792734779,57185.52207265221,50.5,35.9,58.58321349712898,41.41678650287102,18,18,1.0,1.0,17.0,12.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,29.333333333333332
1723,61674.67527482788,57672.52472517211,50.5,35.9,58.58321349712898,41.41678650287102,18,18,1.0,1.0,17.0,12.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
1792,61674.67527482788,57672.52472517211,50.5,35.9,58.58321349712898,41.41678650287102,18,18,1.0,1.0,17.0,12.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
1880,61674.67527482788,57672.52472517211,50.5,35.9,58.58321349712898,41.41678650287102,20,18,1.0,1.0,19.0,12.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,44.0,None
1943,61866.88884546192,57480.31115453807,50.5,35.9,58.58321349712898,41.41678650287102,24,18,1.0,1.0,23.0,12.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,15.75,None
2015,62185.41419108405,57161.78580891595,50.5,35.9,58.58321349712898,41.41678650287102,24,19,1.0,1.0,23.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,72.0
2175,62053.98561965548,57293.21438034452,50.5,35.9,58.58321349712898,41.41678650287102,26,19,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,80.0,None
2240,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,19,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
2311,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,19,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
2381,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,19,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
2478,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,21,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,48.5
2564,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,21,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
2625,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,21,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
2693,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,21,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
2754,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,21,1.0,1.0,24.0,13.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
2822,62124.255889925764,57222.944110074255,50.5,35.9,58.58321349712898,41.41678650287102,26,23,1.0,1.0,24.0,15.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,34.0
2939,61884.7548504247,57462.445149575295,50.5,35.9,58.58321349712898,41.41678650287102,33,23,1.0,1.0,31.0,15.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,16.714285714285715,None
3000,62306.159532698955,57041.04046730104,50.5,35.9,58.58321349712898,41.41678650287102,33,23,1.0,1.0,31.0,15.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
3075,62306.159532698955,57041.04046730104,50.5,35.9,58.58321349712898,41.41678650287102,33,23,1.0,1.0,31.0,15.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
3146,62306.159532698955,57041.04046730104,50.5,35.9,58.58321349712898,41.41678650287102,33,23,1.0,1.0,31.0,15.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.007733757557376764,0.007691139554850701,0,0,65.34441285711445,34.65558714288556,0.0,19.975,None,None
3207,62306.159532698955,57041.04046730104,86.4,0.0,58.58321349712898,41.41678650287102,49,23,1.0,1.0,47.0,15.0,0.008626325129652073,0.006435577928112454,8.626325129652073e-05,6.435577928112454e-05,0.004520309683420445,2.7611191001914013,0,0,65.34441285711445,34.65558714288556,0.0,19.975,3.8125,None
3267,64635.25013578452,54711.949864215494,86.4,0.0,58.58321349712898,41.41678650287102,74,23,1.0,1.0,72.0,15.0,0.005042007164900806,2.3103724761923705,5.042007164900806e-05,0.023103724761923704,0.004520309683420445,2.7611191001914013,0,13.103724761923704,65.34441285711445,34.65558714288556,0.0,19.975,2.4,None
3327,65135.806309310654,54211.39369068935,86.4,0.0,71.35156342543469,28.648436574565313,101,23,1.0,1.0,99.0,15.0,0.005042007164900806,2.3103724761923705,5.042007164900806e-05,0.023103724761923704,0.005505521869246503,1.9098957716376874,0,13.103724761923704,83.72819775357213,16.27180224642787,0.0,19.975,2.2222222222222223,None
3388,66962.01918999953,52385.18081000047,86.4,0.0,71.35156342543469,28.648436574565313,129,23,1.0,1.0,127.0,15.0,0.006460509085923775,1.0847868164285246,6.460509085923775e-05,0.010847868164285247,0.005505521869246503,1.9098957716376874,0,0.8478681642852459,83.72819775357213,16.27180224642787,0.0,19.975,2.1785714285714284,None
3503,67148.82423077048,52198.37576922953,86.4,0.0,71.35156342543469,28.648436574565313,155,23,1.0,1.0,153.0,15.0,0.006460509085923775,1.0847868164285246,6.460509085923775e-05,0.010847868164285247,0.005505521869246503,1.9098957716376874,0,0.8478681642852459,83.72819775357213,16.27180224642787,0.0,19.975,4.423076923076923,None
