timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1776214769.3146548,pool-foundryusa,v27,49899835.87556313,43503856.8747188,v27,False,0,0.0,Ideology and profit aligned
1776214769.3146548,pool-marapool,v26,7651308.167586345,6670591.387456883,v27,True,980716.7801294625,980716.7801294625,Ideology: supporting v26 (loss 12.8% < tolerance 17.4%)
1776214769.3146548,pool-luxor,v26,3825654.0837931726,3335295.6937284414,v27,True,490358.39006473124,490358.39006473124,Ideology: supporting v26 (loss 12.8% < tolerance 17.4%)
1776214769.3146548,pool-ocean,v26,1995993.435022525,1740154.2749887523,v27,True,255839.1600337727,255839.1600337727,Ideology: supporting v26 (loss 12.8% < tolerance 17.4%)
1776214769.3146548,pool-antpool,v26,28110240.876567222,24507172.70609159,v27,True,3603068.170475632,3603068.170475632,Ideology: supporting v26 (loss 12.8% < tolerance 17.4%)
1776214769.3146548,pool-f2pool,v26,18130273.701454602,15806401.331147827,v27,True,2323872.370306775,2323872.370306775,Ideology: supporting v26 (loss 12.8% < tolerance 17.4%)
1776214769.3146548,pool-viabtc,v27,18629272.06021023,16241439.899895016,v27,False,0,0.0,Rational profit maximization
1776214769.3146548,pool-spiderpool,v27,15468949.12142457,13486195.63116283,v27,False,0,0.0,Rational profit maximization
1776215373.969656,pool-foundryusa,v27,51941651.26111299,41461625.16545625,v27,False,0,0.0,Ideology and profit aligned
1776215373.969656,pool-marapool,v27,7964386.526703991,6357449.192036623,v27,False,0,980716.7801294625,Forced switch: loss 20.2% exceeds tolerance 17.4%
1776215373.969656,pool-luxor,v27,3982193.2633519955,3178724.5960183116,v27,False,0,490358.39006473124,Forced switch: loss 20.2% exceeds tolerance 17.4%
1776215373.969656,pool-ocean,v27,2077666.05044452,1658465.0066182502,v27,False,0,255839.1600337727,Forced switch: loss 20.2% exceeds tolerance 17.4%
1776215373.969656,pool-antpool,v27,29260463.543760315,23356715.50987368,v27,False,0,3603068.170475632,Forced switch: loss 20.2% exceeds tolerance 17.4%
1776215373.969656,pool-f2pool,v27,18872133.291537717,15064390.476782434,v27,False,0,2323872.370306775,Forced switch: loss 20.2% exceeds tolerance 17.4%
1776215373.969656,pool-viabtc,v27,19391549.80414885,15479006.728436995,v27,False,0,0.0,Rational profit maximization
1776215373.969656,pool-spiderpool,v27,16101911.890945032,12853103.80129144,v27,False,0,0.0,Rational profit maximization
1776215974.6773522,pool-foundryusa,v27,61100025.15433587,32439039.461020485,v27,False,0,0.0,Ideology and profit aligned
1776215974.6773522,pool-marapool,v27,9368670.523664832,4973986.050689807,v27,False,0,980716.7801294625,Forced switch: loss 46.9% exceeds tolerance 17.4%
