scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,contested,no_switch,0.55,0.25,0.51,0.16,0.26,0.3,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5890937019969278,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.32,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57854.682111975395,56.737060138721,50.5,61492.517888024624,435,0.085,2604,0.5,6,0.12,1070,124865306206.66132,136482951.39416856,1534,174050931524.99475,0,v27
sweep_0001,contested,no_switch,0.55,0.5,0.51,0.16,0.26,0.3,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5829918032786885,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.32,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57882.34586148667,56.737060138721,50.5,61464.85413851333,199,0.085,1952,0.5,6,0.12,814,124925011703.73523,132383179.77249426,1138,173972630919.697,0,v27
sweep_0002,contested,no_switch,0.55,0.25,0.51,0.16,0.26,0.4,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.576521204671174,56.74,56.74,0.0,False,no_switch,None,None,None,None,5.98,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57943.04062454455,56.737060138721,50.5,61404.15937545545,513,0.085,3254,0.5,6,0.12,1378,125056006636.1712,126667686.86172861,1876,173800837985.99164,0,v27
sweep_0003,contested,no_switch,0.55,0.5,0.51,0.16,0.26,0.4,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5798237022526934,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.16,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57903.500882694585,56.737060138721,50.5,61443.69911730543,281,0.085,2042,0.5,6,0.12,858,124970669688.61229,125203492.50600624,1184,173912752884.5453,0,v27
sweep_0004,contested,no_switch,0.65,0.25,0.51,0.16,0.26,0.3,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5802997858672377,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.07,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57938.81624743457,56.737060138721,50.5,61408.38375256544,409,0.085,2335,0.5,6,0.12,980,125046889342.25282,132781599.7604829,1355,173812794835.31833,0,v27
sweep_0005,contested,no_switch,0.65,0.5,0.51,0.16,0.26,0.3,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5888394385484423,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.34,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57848.178580856955,56.737060138721,50.5,61499.021419143064,327,0.085,2921,0.5,6,0.12,1201,124851269911.32817,137718434.1484741,1720,174069339384.81644,0,v27
sweep_0006,contested,no_switch,0.65,0.25,0.51,0.16,0.26,0.4,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5801980198019802,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.09,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57928.370940896864,56.737060138721,50.5,61418.82905910312,622,0.085,3030,0.5,6,0.12,1272,125024345680.2424,130918006.24241588,1758,173842359657.11108,0,v27
sweep_0007,contested,no_switch,0.65,0.5,0.51,0.16,0.26,0.4,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5839293226756416,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.28,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57889.934020027256,56.737060138721,50.5,61457.26597997275,262,0.085,2377,0.5,6,0.12,989,124941388904.4237,136311068.08858508,1388,173951153086.16687,0,v27
sweep_0008,contested,no_switch,0.75,0.25,0.51,0.16,0.26,0.3,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5766951942067149,56.74,56.74,0.0,False,no_switch,None,None,None,None,5.99,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57952.70702292279,56.737060138721,50.5,61394.49297707721,399,0.085,1519,0.5,6,0.12,643,125076869213.74236,121952123.46402812,876,173773477817.6328,0,v27
sweep_0009,contested,no_switch,0.75,0.5,0.51,0.16,0.26,0.3,30.0,0.4,0.49,0.5844907407407407,0.56737060138721,0.5748445719751315,56.74,56.74,0.0,False,no_switch,None,None,None,None,5.86,5,0,13000,0.05,0.1,2,43.262939861279,35.9,57975.36771746768,56.737060138721,50.5,61371.832282532305,605,0.085,2091,0.5,6,0.12,889,125125776829.51192,119264615.7830823,1202,173709338063.23657,0,v27
