timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1774623548.1779861,pool-foundryusa,v27,47224747.33400135,46178782.69477883,v27,False,0,0.0,Ideology and profit aligned
1774623548.1779861,pool-marapool,v26,7241127.924546871,7080746.679866087,v27,True,160381.24468078464,160381.24468078464,Ideology: supporting v26 (loss 2.2% < tolerance 13.3%)
1774623548.1779861,pool-luxor,v26,3620563.9622734357,3540373.3399330433,v27,True,80190.62234039232,80190.62234039232,Ideology: supporting v26 (loss 2.2% < tolerance 13.3%)
1774623548.1779861,pool-ocean,v26,1888989.8933600541,1847151.3077911534,v27,True,41838.585568900686,41838.585568900686,Ideology: supporting v26 (loss 2.2% < tolerance 13.3%)
1774623548.1779861,pool-antpool,v26,26603274.331487425,26014047.58472541,v27,True,589226.7467620149,589226.7467620149,Ideology: supporting v26 (loss 2.2% < tolerance 13.3%)
1774623548.1779861,pool-f2pool,v26,17158324.864687152,16778291.04576964,v27,True,380033.8189175129,380033.8189175129,Ideology: supporting v26 (loss 2.2% < tolerance 13.3%)
1774623548.1779861,pool-viabtc,v27,17630572.338027168,17240078.87271743,v27,False,0,0.0,Rational profit maximization
1774623548.1779861,pool-spiderpool,v27,14639671.67354042,14315422.635381442,v27,False,0,0.0,Rational profit maximization
1774624149.0455575,pool-foundryusa,v27,48922892.426210776,44480505.99296369,v27,False,0,0.0,Ideology and profit aligned
1774624149.0455575,pool-marapool,v26,7501510.172018986,6820344.25225443,v27,True,681165.919764556,841547.1644453406,Ideology: supporting v26 (loss 9.1% < tolerance 13.3%)
1774624149.0455575,pool-luxor,v26,3750755.086009493,3410172.126127215,v27,True,340582.959882278,420773.5822226703,Ideology: supporting v26 (loss 9.1% < tolerance 13.3%)
1774624149.0455575,pool-ocean,v26,1956915.6970484313,1779220.2397185476,v27,True,177695.4573298837,219534.0428987844,Ideology: supporting v26 (loss 9.1% < tolerance 13.3%)
1774624149.0455575,pool-antpool,v26,27559896.066765405,25057351.70936954,v27,True,2502544.357395865,3091771.10415788,Ideology: supporting v26 (loss 9.1% < tolerance 13.3%)
1774624149.0455575,pool-f2pool,v26,17775317.581523247,16161250.510776803,v27,True,1614067.0707464442,1994100.889663957,Ideology: supporting v26 (loss 9.1% < tolerance 13.3%)
1774624149.0455575,pool-viabtc,v27,18264546.505785357,16606055.570706438,v27,False,0,0.0,Rational profit maximization
1774624149.0455575,pool-spiderpool,v27,15166096.652125344,13788956.857818745,v27,False,0,0.0,Rational profit maximization
1774624749.556748,pool-foundryusa,v27,49095063.837283045,44308334.28376627,v27,False,0,0.0,Ideology and profit aligned
1774624749.556748,pool-marapool,v26,7527909.7883834,6793944.590177493,v27,True,733965.1982059069,1575512.3626512475,Ideology: supporting v26 (loss 9.7% < tolerance 13.3%)
1774624749.556748,pool-luxor,v26,3763954.8941917,3396972.2950887466,v27,True,366982.59910295345,787756.1813256238,Ideology: supporting v26 (loss 9.7% < tolerance 13.3%)
1774624749.556748,pool-ocean,v26,1963802.5534913223,1772333.3713506511,v27,True,191469.18214067118,411003.2250394556,Ideology: supporting v26 (loss 9.7% < tolerance 13.3%)
1774624749.556748,pool-antpool,v26,27656885.961669452,24960361.646521665,v27,True,2696524.3151477873,5788295.419305667,Ideology: supporting v26 (loss 9.7% < tolerance 13.3%)
1774624749.556748,pool-f2pool,v26,17837873.19421284,16098694.789768405,v27,True,1739178.4044444337,3733279.294108391,Ideology: supporting v26 (loss 9.7% < tolerance 13.3%)
1774624749.556748,pool-viabtc,v27,18328823.832585666,16541778.13260607,v27,False,0,0.0,Rational profit maximization
1774624749.556748,pool-spiderpool,v27,15219469.789557748,13735583.627967544,v27,False,0,0.0,Rational profit maximization
1774625350.451029,pool-foundryusa,v27,49183728.12484226,44219669.8426795,v27,False,0,0.0,Ideology and profit aligned
1774625350.451029,pool-marapool,v26,7541504.97914248,6780349.375877524,v27,True,761155.6032649558,2336667.9659162033,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1774625350.451029,pool-luxor,v26,3770752.48957124,3390174.687938762,v27,True,380577.8016324779,1168333.9829581017,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1774625350.451029,pool-ocean,v26,1967349.1249936908,1768786.7937071803,v27,True,198562.33128651045,609565.556325966,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1774625350.451029,pool-antpool,v26,27706833.51032781,24910414.01137612,v27,True,2796419.4989516884,8584714.918257356,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1774625350.451029,pool-f2pool,v26,17870087.885359354,16066480.04284022,v27,True,1803607.8425191343,5536887.136627525,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1774625350.451029,pool-viabtc,v27,18361925.16660778,16508676.741267014,v27,False,0,0.0,Rational profit maximization
1774625350.451029,pool-spiderpool,v27,15246955.718701106,13708097.651230648,v27,False,0,0.0,Rational profit maximization
1774626010.956103,pool-foundryusa,v27,49264730.066563055,44138667.760699004,v27,False,0,0.0,Ideology and profit aligned
1774626010.956103,pool-marapool,v26,7553925.276873002,6767929.056640513,v27,True,785996.2202324886,3122664.186148692,Ideology: supporting v26 (loss 10.4% < tolerance 13.3%)
1774626010.956103,pool-luxor,v26,3776962.638436501,3383964.5283202566,v27,True,392998.1101162443,1561332.093074346,Ideology: supporting v26 (loss 10.4% < tolerance 13.3%)
1774626010.956103,pool-ocean,v26,1970589.2026625224,1765546.7104279604,v27,True,205042.49223456206,814608.0485605281,Ideology: supporting v26 (loss 10.4% < tolerance 13.3%)
1774626010.956103,pool-antpool,v26,27752464.604163855,24864782.838527106,v27,True,2887681.7656367496,11472396.683894105,Ideology: supporting v26 (loss 10.4% < tolerance 13.3%)
1774626010.956103,pool-f2pool,v26,17899518.59085124,16037049.286387302,v27,True,1862469.3044639379,7399356.441091463,Ideology: supporting v26 (loss 10.4% < tolerance 13.3%)
1774626010.956103,pool-viabtc,v27,18392165.891516868,16478435.96399429,v27,False,0,0.0,Rational profit maximization
1774626010.956103,pool-spiderpool,v27,15272066.320634551,13682987.005816694,v27,False,0,0.0,Rational profit maximization
1774626611.7851338,pool-foundryusa,v27,49223809.396522775,44179588.501595885,v27,False,0,0.0,Ideology and profit aligned
1774626611.7851338,pool-marapool,v26,7547650.774133492,6774203.570244702,v27,True,773447.2038887907,3896111.3900374826,Ideology: supporting v26 (loss 10.2% < tolerance 13.3%)
1774626611.7851338,pool-luxor,v26,3773825.387066746,3387101.785122351,v27,True,386723.60194439534,1948055.6950187413,Ideology: supporting v26 (loss 10.2% < tolerance 13.3%)
1774626611.7851338,pool-ocean,v26,1968952.3758609113,1767183.5400638357,v27,True,201768.83579707565,1016376.8843576037,Ideology: supporting v26 (loss 10.2% < tolerance 13.3%)
1774626611.7851338,pool-antpool,v26,27729412.62670783,24887834.855899014,v27,True,2841577.770808816,14313974.454702921,Ideology: supporting v26 (loss 10.2% < tolerance 13.3%)
1774626611.7851338,pool-f2pool,v26,17884650.74740327,16051917.155579835,v27,True,1832733.5918234363,9232090.0329149,Ideology: supporting v26 (loss 10.2% < tolerance 13.3%)
1774626611.7851338,pool-viabtc,v27,18376888.8413685,16493713.040595796,v27,False,0,0.0,Rational profit maximization
1774626611.7851338,pool-spiderpool,v27,15259380.912922062,13695672.435494728,v27,False,0,0.0,Rational profit maximization
1774627212.5504062,pool-foundryusa,v27,49352937.70248598,44050459.97203924,v27,False,0,0.0,Ideology and profit aligned
1774627212.5504062,pool-marapool,v26,7567450.447714517,6754403.86237935,v27,True,813046.5853351671,4709157.97537265,Ideology: supporting v26 (loss 10.7% < tolerance 13.3%)
1774627212.5504062,pool-luxor,v26,3783725.2238572584,3377201.931189675,v27,True,406523.29266758356,2354578.987686325,Ideology: supporting v26 (loss 10.7% < tolerance 13.3%)
1774627212.5504062,pool-ocean,v26,1974117.5080994396,1762018.39888157,v27,True,212099.10921786958,1228475.9935754733,Ideology: supporting v26 (loss 10.7% < tolerance 13.3%)
1774627212.5504062,pool-antpool,v26,27802154.90573377,24815092.45091544,v27,True,2987062.4548183307,17301036.909521252,Ideology: supporting v26 (loss 10.7% < tolerance 13.3%)
1774627212.5504062,pool-f2pool,v26,17931567.365236573,16005000.456507593,v27,True,1926566.9087289795,11158656.941643879,Ideology: supporting v26 (loss 10.7% < tolerance 13.3%)
1774627212.5504062,pool-viabtc,v27,18425096.74226143,16445505.056227986,v27,False,0,0.0,Rational profit maximization
1774627212.5504062,pool-spiderpool,v27,15299410.687770657,13655642.591332167,v27,False,0,0.0,Rational profit maximization
1774627868.640582,pool-foundryusa,v27,49429809.50405897,43973588.037358105,v27,False,0,0.0,Ideology and profit aligned
1774627868.640582,pool-marapool,v26,7579237.457289042,6742616.832394909,v27,True,836620.6248941328,5545778.600266783,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1774627868.640582,pool-luxor,v26,3789618.728644521,3371308.4161974546,v27,True,418310.3124470664,2772889.3001333913,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1774627868.640582,pool-ocean,v26,1977192.3801623592,1758943.5214943243,v27,True,218248.8586680349,1446724.8522435082,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1774627868.640582,pool-antpool,v26,27845459.35395322,24771787.927711733,v27,True,3073671.4262414873,20374708.33576274,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1774627868.640582,pool-f2pool,v26,17959497.45314142,15977070.32024011,v27,True,1982427.132901311,13141084.07454519,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1774627868.640582,pool-viabtc,v27,18453795.548182014,16416806.200613689,v27,False,0,0.0,Rational profit maximization
1774627868.640582,pool-spiderpool,v27,15323240.946258284,13631812.291581016,v27,False,0,0.0,Rational profit maximization
1774628469.2200704,pool-foundryusa,v27,49471305.37019771,43932092.099366784,v27,False,0,0.0,Ideology and profit aligned
1774628469.2200704,pool-marapool,v26,7585600.156763649,6736254.121902907,v27,True,849346.0348607413,6395124.635127524,Ideology: supporting v26 (loss 11.2% < tolerance 13.3%)
1774628469.2200704,pool-luxor,v26,3792800.0783818243,3368127.0609514536,v27,True,424673.0174303707,3197562.317563762,Ideology: supporting v26 (loss 11.2% < tolerance 13.3%)
1774628469.2200704,pool-ocean,v26,1978852.214807909,1757283.6839746716,v27,True,221568.53083323734,1668293.3830767456,Ideology: supporting v26 (loss 11.2% < tolerance 13.3%)
1774628469.2200704,pool-antpool,v26,27868835.358544707,24748411.88264329,v27,True,3120423.4759014174,23495131.811664157,Ideology: supporting v26 (loss 11.2% < tolerance 13.3%)
1774628469.2200704,pool-f2pool,v26,17974574.284505166,15961993.462769933,v27,True,2012580.821735233,15153664.896280423,Ideology: supporting v26 (loss 11.2% < tolerance 13.3%)
1774628469.2200704,pool-viabtc,v27,18469287.338207144,16401314.3837636,v27,False,0,0.0,Rational profit maximization
1774628469.2200704,pool-spiderpool,v27,15336104.664761294,13618948.550803706,v27,False,0,0.0,Rational profit maximization
1774629130.384827,pool-foundryusa,v27,49575762.97152385,43827634.31716603,v27,False,0,0.0,Ideology and profit aligned
1774629130.384827,pool-marapool,v26,7601616.98896699,6720237.261965457,v27,True,881379.7270015329,7276504.362129057,Ideology: supporting v26 (loss 11.6% < tolerance 13.3%)
