scenario_id,outcome,econ_outcome,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,total_blocks,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,no_switch,1.0,0.5673741253525133,0.7728674203494348,56.74,56.74,0.0,False,no_switch,None,None,8417.0,None,16.17,10,0,13000,43.26258746474866,0.0,55208.899503957524,56.73741253525133,86.4,64138.30049604249,8343,6811,1547,119154055265.42128,0,5264,181540790117.98163,76276617.41126646,v27
sweep_0001,v27_dominant,no_switch,1.0,0.5673741253525133,0.7729809104258444,56.74,56.74,0.0,False,no_switch,None,None,8419.0,None,16.18,10,0,13000,43.26258746474866,0.0,55207.21022544624,56.73741253525133,86.4,64139.989774553775,8338,6810,1546,119150409396.96709,0,5264,181545571550.50006,76276617.41126646,v27
sweep_0002,contested,no_switch,0.5844907407407407,0.56737060138721,0.5838926174496645,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.2,5,0,13000,43.262939861279,35.9,57900.40242782665,56.737060138721,50.5,61446.79757217336,334,3129,1302,124963982424.90727,133056021.79212049,1827,173921522877.62045,0,v27
sweep_0003,contested,no_switch,0.5844907407407407,0.56737060138721,0.5806988352745425,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.14,5,0,13000,43.262939861279,35.9,57904.212242812944,56.737060138721,50.5,61442.98775718707,511,3005,1260,124972204986.97984,129002684.77794766,1745,173910739421.84277,0,v27
sweep_0004,contested,no_switch,0.5844907407407407,0.56737060138721,0.5885082084225554,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.23,5,0,13000,43.262939861279,35.9,57870.404957266524,56.737060138721,50.5,61476.79504273349,391,2802,1153,124899240156.69006,136597084.10112658,1649,174006428942.1906,0,v27
sweep_0005,contested,no_switch,0.5844907407407407,0.56737060138721,0.5808429118773947,56.74,56.74,0.0,False,no_switch,None,None,None,None,6.11,5,0,13000,43.262939861279,35.9,57913.82110633485,56.737060138721,50.5,61433.37889366515,545,2610,1094,124992943389.51118,128848508.47502345,1516,173883542102.4887,0,v27
sweep_0006,v27_dominant,no_switch,1.0,0.56737060138721,0.6856165847403292,56.74,56.74,0.0,False,no_switch,None,None,12119.0,None,13.42,10,0,13000,43.262939861279,0.0,55920.66184453437,56.737060138721,86.4,63426.53815546564,7711,4679,1471,120691192304.58308,0,3208,179525061397.98672,121477750.0804915,v27
sweep_0007,v27_dominant,no_switch,1.0,0.56737060138721,0.6761107533805538,56.74,56.74,0.0,False,no_switch,None,None,12155.0,None,13.18,10,0,13000,43.262939861279,0.0,55983.401924531674,56.737060138721,86.4,63363.79807546833,8083,4659,1509,120826601557.80708,0,3150,179347479315.76706,112664788.95620808,v27
sweep_0008,v27_dominant,no_switch,1.0,0.5673741253525133,0.7729340965800675,56.74,56.74,0.0,False,no_switch,None,None,8417.0,None,16.17,10,0,13000,43.26258746474866,0.0,55208.82257312393,56.73741253525133,86.4,64138.37742687608,8343,6813,1547,119153889230.219,0,5266,181541007867.50427,76276617.41126646,v27
sweep_0009,v27_dominant,no_switch,1.0,0.5673741253525133,0.7732805396685731,56.74,56.74,0.0,False,no_switch,None,None,8417.0,None,16.19,10,0,13000,43.26258746474866,0.0,55205.87234442199,56.73741253525133,86.4,64141.32765557802,8338,6819,1546,119147521928.6253,0,5273,181549358367.05658,76277946.26951227,v27
sweep_0010,v27_dominant,no_switch,1.0,0.5673741253525133,0.7727339503452328,56.74,56.74,0.0,False,no_switch,None,None,8419.0,None,16.17,10,0,13000,43.26258746474866,0.0,55209.36465974915,56.73741253525133,86.4,64137.83534025086,8345,6807,1547,119155059183.25702,0,5260,181539473513.87323,76271608.13222131,v27
sweep_0011,v27_dominant,no_switch,1.0,0.5673741253525133,0.7729809104258444,56.74,56.74,0.0,False,no_switch,None,None,8420.0,None,16.17,10,0,13000,43.26258746474866,0.0,55210.35942046228,56.73741253525133,86.4,64136.84057953773,8338,6810,1546,119157206115.61852,0,5264,181536657885.07666,76277946.26951227,v27
