scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v27_blocks,winning_fork
sweep_0000,v27_dominant,0.524,0.606,0.514,0.171,0.435,0.826,34.287,0.221,0.71,1.0,0.5500340053519982,0.8713450292397661,7,22,1800,0.087,0.242,2,44.99659946480019,0.0,54377.3697135538,55.00340053519982,98.36999999999999,65544.3902864462,106,0.128,171,0.562,3,0.062,22,149,v27
sweep_0001,v26_dominant,0.742,0.274,0.873,0.064,0.096,0.702,43.623,0.552,0.77,0.0,0.5500340053519982,0.06451612903225806,1,12,1800,0.233,0.076,1,44.99659946480019,98.36999999999999,64829.23389634511,55.00340053519982,0.0,55092.5261036549,12,0.02,186,0.351,5,0.086,174,12,v26
sweep_0002,v26_dominant,0.103,0.358,0.676,0.289,0.029,0.388,39.482,0.098,0.607,0.0,0.5500340053519982,0.06451612903225806,1,12,1800,0.114,0.073,2,44.99659946480019,98.36999999999999,64829.23389634511,55.00340053519982,0.0,55092.5261036549,12,0.062,186,0.874,2,0.144,174,12,v26
sweep_0003,v26_dominant,0.039,0.194,0.296,0.214,0.077,0.878,17.074,0.455,0.3,0.0,0.5500340053519982,0.06451612903225806,1,12,1800,0.062,0.175,2,44.99659946480019,98.36999999999999,64829.20003704185,55.00340053519982,0.0,55092.559962958156,12,0.041,186,0.666,5,0.17,174,12,v26
sweep_0004,v26_dominant,0.885,0.128,0.209,0.216,0.034,0.138,20.445,0.599,0.162,0.0,0.5500340053519982,0.0,0,0,1800,0.19,0.112,3,44.99659946480019,98.36999999999999,65321.35193577602,55.00340053519982,0.0,54600.40806422398,0,0.112,189,0.564,6,0.103,189,0,v26
sweep_0005,v26_dominant,0.789,0.241,0.413,0.03,0.375,0.531,15.105,0.662,0.349,0.0,0.5500340053519982,0.06451612903225806,1,12,1800,0.071,0.129,1,44.99659946480019,98.36999999999999,64829.267792834406,55.00340053519982,0.0,55092.492207165604,12,0.122,186,0.784,7,0.141,174,12,v26
sweep_0006,v26_dominant,0.926,0.159,0.269,0.117,0.232,0.596,12.248,0.308,0.484,0.0,0.5500340053519982,0.06451612903225806,1,12,1800,0.128,0.214,3,44.99659946480019,98.36999999999999,64829.301726571,55.00340053519982,0.0,55092.458273429,12,0.048,186,0.51,10,0.054,174,12,v26
sweep_0007,v27_dominant,0.072,0.903,0.796,0.092,0.123,0.731,10.021,0.15,0.475,1.0,0.5500340053519982,0.9629629629629629,3,7,1800,0.26,0.04,2,44.99659946480019,0.0,53680.43681386778,55.00340053519982,98.36999999999999,66241.32318613221,21,0.107,189,0.832,4,0.11,7,182,v27
sweep_0008,v27_dominant,0.774,0.886,0.34,0.05,0.467,0.414,34.891,0.003,0.584,1.0,0.5500340053519982,0.9476439790575916,4,10,1800,0.266,0.182,1,44.99659946480019,0.0,53796.775704251246,55.00340053519982,98.36999999999999,66124.98429574877,40,0.138,191,0.604,2,0.194,10,181,v27
sweep_0009,v26_dominant,0.699,0.309,0.562,0.079,0.247,0.575,19.132,0.193,0.823,0.0,0.5500340053519982,0.06451612903225806,1,12,1800,0.242,0.057,2,44.99659946480019,98.36999999999999,64829.267792834406,55.00340053519982,0.0,55092.492207165604,12,0.053,186,0.457,8,0.069,174,12,v26
sweep_0010,v27_dominant,0.913,0.974,0.498,0.076,0.473,0.984,27.798,0.27,0.197,1.0,0.5500340053519982,0.9947089947089947,1,1,1800,0.118,0.186,1,44.99659946480019,0.0,53439.26543365299,55.00340053519982,98.36999999999999,66482.49456634701,1,0.078,189,0.734,10,0.114,1,188,v27
sweep_0011,v27_dominant,0.083,0.532,0.247,0.152,0.346,0.037,38.416,0.234,0.33,1.0,0.5500340053519982,0.9190751445086706,7,14,1800,0.294,0.089,2,44.99659946480019,0.0,54017.78602036596,55.00340053519982,98.36999999999999,65903.97397963404,98,0.055,173,0.179,5,0.092,14,159,v27
sweep_0012,v26_dominant,0.369,0.177,0.456,0.135,0.189,0.108,16.376,0.426,0.543,0.0,0.5500340053519982,0.06451612903225806,1,12,1800,0.275,0.067,3,44.99659946480019,98.36999999999999,64829.23389634511,55.00340053519982,0.0,55092.5261036549,12,0.131,186,0.698,9,0.076,174,12,v26
sweep_0013,v27_dominant,0.423,0.664,0.122,0.3,0.498,0.898,30.763,0.187,0.22,1.0,0.5500340053519982,0.9456521739130435,6,10,1800,0.069,0.223,3,44.99659946480019,0.0,53814.473527165006,55.00340053519982,98.36999999999999,66107.286472835,60,0.024,184,0.532,5,0.148,10,174,v27
sweep_0014,v27_dominant,0.726,0.423,0.756,0.248,0.114,0.934,24.844,0.738,0.815,1.0,0.5500340053519982,0.7942857142857143,8,36,1800,0.162,0.181,3,44.99659946480019,0.0,54951.68774415926,55.00340053519982,98.36999999999999,64970.07225584075,232,0.084,175,0.147,6,0.081,36,139,v27
sweep_0015,v27_dominant,0.055,0.718,0.348,0.041,0.448,0.265,48.412,0.017,0.841,1.0,0.5500340053519982,0.9456521739130435,6,10,1800,0.298,0.035,3,44.99659946480019,0.0,53814.473527165006,55.00340053519982,98.36999999999999,66107.286472835,60,0.118,184,0.627,10,0.135,10,174,v27
sweep_0016,v27_dominant,0.386,0.391,0.388,0.058,0.424,0.37,41.901,0.481,0.794,0.6885229236555861,0.5500340053519982,0.6104651162790697,8,32,1800,0.188,0.023,3,44.99659946480019,30.64,57586.479600446684,55.00340053519982,67.73,62335.280399553325,220,0.089,172,0.361,9,0.133,67,105,v27
