timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,26.89,71.48,0.008835972159936437,99.99116402784006,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
60,60000,60000,26.89,71.48,0.008835972159936437,99.99116402784006,6,20,1.0,1.0,6.0,20.0,1.0,1.0,0.01,0.01,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
120,50953.31877819766,68968.44122180235,26.89,71.48,0.008835972159936437,99.99116402784006,13,45,1.0,1.0,13.0,45.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
181,50905.57342010747,69016.18657989254,26.89,71.48,0.008835972159936437,99.99116402784006,24,61,1.0,1.0,24.0,61.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
242,51324.721493129786,68597.03850687023,26.89,71.48,0.008835972159936437,99.99116402784006,30,87,1.0,1.0,30.0,87.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
302,51137.93416281304,68783.82583718697,26.89,71.48,0.008835972159936437,99.99116402784006,36,107,1.0,1.0,36.0,107.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
363,51104.36772924661,68817.3922707534,26.89,71.48,0.008835972159936437,99.99116402784006,41,130,1.0,1.0,41.0,130.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
424,51018.096106132885,68903.66389386714,26.89,71.48,0.008835972159936437,99.99116402784006,54,156,1.0,1.0,54.0,156.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
484,51143.20888808776,68778.55111191224,26.89,71.48,0.008835972159936437,99.99116402784006,64,178,1.0,1.0,64.0,178.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
545,51195.91254806415,68725.84745193586,26.89,71.48,0.008835972159936437,99.99116402784006,75,200,1.0,1.0,75.0,200.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,2.1906463765802493e-06,0.00932579407086738,0,0,0.003155127133700534,99.99684487286629,3.534,11.036000000000001
606,51255.416680295566,68666.34331970445,0.0,98.36999999999999,0.0,100.0,83,226,1.0,1.0,83.0,226.0,7.822306021322755e-07,0.009326323901591707,7.822306021322755e-09,9.326323901591706e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
666,49933.98058252427,69987.77941747573,0.0,98.36999999999999,0.0,100.0,83,253,1.0,1.0,83.0,253.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
727,49778.571428571435,70143.18857142857,0.0,98.36999999999999,0.0,100.0,83,285,1.0,1.0,83.0,285.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
787,49623.913043478264,70297.84695652175,0.0,98.36999999999999,0.0,100.0,83,310,1.0,1.0,83.0,310.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
848,49520.6106870229,70401.14931297711,0.0,98.36999999999999,0.0,100.0,83,335,1.0,1.0,83.0,335.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
908,49429.66507177034,70492.09492822966,0.0,98.36999999999999,0.0,100.0,83,361,1.0,1.0,83.0,361.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
969,49345.94594594595,70575.81405405406,0.0,98.36999999999999,0.0,100.0,83,388,1.0,1.0,83.0,388.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1029,49268.7898089172,70652.9701910828,0.0,98.36999999999999,0.0,100.0,83,414,1.0,1.0,83.0,414.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1090,49202.41448692153,70719.34551307849,0.0,98.36999999999999,0.0,100.0,83,446,1.0,1.0,83.0,446.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1150,49129.6786389414,70792.0813610586,0.0,98.36999999999999,0.0,100.0,83,478,1.0,1.0,83.0,478.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1211,49065.24064171123,70856.51935828877,0.0,98.36999999999999,0.0,100.0,83,508,1.0,1.0,83.0,508.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1271,49011.16751269036,70910.59248730965,0.0,98.36999999999999,0.0,100.0,83,538,1.0,1.0,83.0,538.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1332,48962.31884057971,70959.4411594203,0.0,98.36999999999999,0.0,100.0,83,573,1.0,1.0,83.0,573.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1392,48910.975609756104,71010.7843902439,0.0,98.36999999999999,0.0,100.0,84,594,1.0,1.0,84.0,594.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1453,48892.035398230095,71029.7246017699,0.0,98.36999999999999,0.0,100.0,84,625,1.0,1.0,84.0,625.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1514,48853.03244005641,71068.7275599436,0.0,98.36999999999999,0.0,100.0,84,663,1.0,1.0,84.0,663.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1574,48809.63855421687,71112.12144578314,0.0,98.36999999999999,0.0,100.0,84,697,1.0,1.0,84.0,697.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
1635,48774.391805377716,71147.3681946223,0.0,98.36999999999999,0.0,100.0,84,726,1.0,1.0,84.0,726.0,0.0,0.006777133950052523,0.0,6.777133950052523e-05,0.0,0.006777133950052523,0,0,0.0,100.0,0.0,14.57
