timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1772148504.7015269,foundryusa,v27,41875642.18368814,42715628.84502252,v26,True,839986.6613343805,839986.6613343805,Ideology: supporting v27 (loss 2.0% < tolerance 13.9%)
1772148504.7015269,antpool,v27,29977914.170174666,30579243.40895067,v26,True,601329.2387760058,601329.2387760058,Ideology: supporting v27 (loss 2.0% < tolerance 13.9%)
1772148504.7015269,viabtc,v26,17737581.423287764,18093380.90534796,v26,False,0,0.0,Ideology and profit aligned
1772148504.7015269,f2pool,v26,17519560.22932286,17870986.407828316,v26,False,0,0.0,Ideology and profit aligned
1772148504.7015269,binancepool,v26,15635234.195769016,15948862.536408555,v26,False,0,0.0,Ideology and profit aligned
1772148504.7015269,marapool,v26,12847677.501503427,13105390.032407433,v26,False,0,0.0,Rational profit maximization
1772148504.7015269,sbicrypto,v26,7116834.688711596,7259591.811891147,v26,False,0,0.0,Rational profit maximization
1772148504.7015269,luxor,v26,6135739.315869516,6258816.573052762,v26,False,0,0.0,Rational profit maximization
1772148504.7015269,ocean,v26,2211357.824501196,2255715.617699218,v26,False,0,0.0,Rational profit maximization
1772148504.7015269,braiinspool,v26,2133493.112370872,2176289.011442204,v26,False,0,0.0,Rational profit maximization
1772149105.050217,foundryusa,v27,44390245.48725984,40199043.46905973,v27,False,0,839986.6613343805,Ideology and profit aligned
1772149105.050217,antpool,v27,31778067.148744963,28777671.50537002,v27,False,0,601329.2387760058,Ideology and profit aligned
1772149105.050217,viabtc,v26,18802710.899958707,17027411.867333226,v27,True,1775299.0326254815,1775299.0326254815,Ideology: supporting v26 (loss 9.4% < tolerance 13.9%)
1772149105.050217,f2pool,v26,18571597.68433147,16818119.710930534,v27,True,1753477.9734009355,1753477.9734009355,Ideology: supporting v26 (loss 9.4% < tolerance 13.9%)
1772149105.050217,binancepool,v26,16574119.177838925,15009237.502021559,v27,True,1564881.6758173667,1564881.6758173667,Ideology: supporting v26 (loss 9.4% < tolerance 13.9%)
1772149105.050217,marapool,v27,13619171.635176413,12333287.788015723,v27,False,0,0.0,Rational profit maximization
1772149105.050217,sbicrypto,v27,7544195.681546207,6831893.962573559,v27,False,0,0.0,Rational profit maximization
1772149105.050217,luxor,v27,6504186.211223645,5890079.258761449,v27,False,0,0.0,Rational profit maximization
1772149105.050217,ocean,v27,2344148.3299333947,2122820.4435130097,v27,False,0,0.0,Rational profit maximization
1772149105.050217,braiinspool,v27,2261607.89578081,2048073.2447977625,v27,False,0,0.0,Rational profit maximization
