scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v27_blocks,winning_fork
sweep_0000,v27_dominant,0.524,0.606,0.514,0.171,0.435,0.826,34.287,0.221,0.71,0.8856358645928637,0.5015834170355274,0.7776497695852534,6,0,1800,0.087,0.242,2,49.841658296447264,11.25,56156.975326934626,50.15834170355274,87.11999999999999,63764.78467306539,762,0.128,868,0.562,3,0.062,193,675,v27
sweep_0001,v27_dominant,0.742,0.274,0.873,0.064,0.096,0.702,43.623,0.552,0.77,1.0,0.7621724326416383,0.7074829931972789,9,238,1800,0.233,0.076,1,23.782756735836173,0.0,53013.93080830035,76.21724326416383,98.36999999999999,66907.82919169967,2033,0.02,882,0.351,5,0.086,258,624,v27
sweep_0002,v26_dominant,0.103,0.358,0.676,0.289,0.029,0.388,39.482,0.098,0.607,0.0,0.0,0.09497206703910614,1,74,1800,0.114,0.073,2,100.0,98.36999999999999,71218.31172413794,0.0,0.0,48703.44827586207,84,0.062,895,0.874,2,0.144,810,85,v26
sweep_0003,v26_dominant,0.039,0.194,0.296,0.214,0.077,0.878,17.074,0.455,0.3,0.0,0.0,0.09497206703910614,1,76,1800,0.062,0.175,2,100.0,98.36999999999999,71218.31172413794,0.0,0.0,48703.44827586207,84,0.041,895,0.666,5,0.17,810,85,v26
sweep_0004,v26_dominant,0.885,0.128,0.209,0.216,0.034,0.138,20.445,0.599,0.162,0.0,0.8860910127823763,0.0011614401858304297,0,0,1800,0.19,0.112,3,11.39089872176237,98.36999999999999,61280.065696073856,88.60910127823763,0.0,58641.69430392615,0,0.112,861,0.564,6,0.103,860,1,v26
sweep_0005,v27_dominant,0.789,0.241,0.413,0.03,0.375,0.531,15.105,0.662,0.349,1.0,0.999637665005516,0.6061269146608315,9,248,1800,0.071,0.129,1,0.03623349944840722,0.0,50910.177616346366,99.96376650055159,98.36999999999999,69011.58238365363,2541,0.122,914,0.784,7,0.141,360,554,v27
sweep_0006,v27_dominant,0.926,0.159,0.269,0.117,0.232,0.596,12.248,0.308,0.484,1.0,0.916521311116027,0.750281214848144,9,190,1800,0.128,0.214,3,8.347868888397297,0.0,50847.47174928666,91.6521311116027,98.36999999999999,69074.28825071333,1989,0.048,889,0.51,10,0.054,222,667,v27
sweep_0007,v26_dominant,0.072,0.903,0.796,0.092,0.123,0.731,10.021,0.15,0.475,0.0,8.835972159936437e-05,0.5196408529741863,7,437,1800,0.26,0.04,2,99.99116402784006,98.36999999999999,68084.56619657441,0.008835972159936437,0.0,51837.193803425595,2652,0.107,891,0.832,4,0.11,428,463,v27
sweep_0008,v27_dominant,0.774,0.886,0.34,0.05,0.467,0.414,34.891,0.003,0.584,1.0,0.7621724326416383,0.967741935483871,4,0,1800,0.266,0.182,1,23.782756735836173,0.0,51092.22868064077,76.21724326416383,98.36999999999999,68829.53131935923,108,0.138,868,0.604,2,0.194,28,840,v27
sweep_0009,v27_dominant,0.699,0.309,0.562,0.079,0.247,0.575,19.132,0.193,0.823,0.6677848937684253,0.7016741709688209,0.4845814977973568,6,168,1800,0.242,0.057,2,29.832582903117906,32.68,56928.549948374144,70.16741709688209,65.69,62993.21005162585,2107,0.053,908,0.457,8,0.069,468,440,v26
