timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,26.89,71.48,80.7914308100543,19.208569189945692,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
60,60000,60000,26.89,71.48,80.7914308100543,19.208569189945692,6,19,1.0,1.0,6.0,19.0,1.0,1.0,0.01,0.01,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
120,60713.69169720651,59208.06830279348,26.89,71.48,80.7914308100543,19.208569189945692,13,45,1.0,1.0,13.0,45.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
181,60599.4848006548,59322.27519934521,26.89,71.48,80.7914308100543,19.208569189945692,24,61,1.0,1.0,24.0,61.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
241,61018.632873677096,58903.12712632291,26.89,71.48,80.7914308100543,19.208569189945692,29,85,1.0,1.0,29.0,85.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
302,60817.270644574935,59104.48935542507,26.89,71.48,80.7914308100543,19.208569189945692,36,107,1.0,1.0,36.0,107.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
362,60798.27910979392,59123.480890206076,26.89,71.48,80.7914308100543,19.208569189945692,41,129,1.0,1.0,41.0,129.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
423,60722.16228544182,59199.59771455819,26.89,71.48,80.7914308100543,19.208569189945692,54,155,1.0,1.0,54.0,155.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
484,60845.97877854623,59075.78122145377,26.89,71.48,80.7914308100543,19.208569189945692,64,177,1.0,1.0,64.0,177.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
544,60897.72489222727,59024.03510777275,26.89,71.48,80.7914308100543,19.208569189945692,75,199,1.0,1.0,75.0,199.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.0200301055683784,0.0017915099039307679,0,0,84.66716476065113,15.33283523934888,6.954,21.716
605,60956.49461691455,58965.265383085454,57.44,40.93,80.7914308100543,19.208569189945692,85,223,1.0,1.0,85.0,223.0,0.02099099163521783,0.001430034997141287,0.00020990991635217829,1.430034997141287e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
666,62439.1046842195,57482.655315780496,57.44,40.93,80.7914308100543,19.208569189945692,101,237,1.0,1.0,101.0,237.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
726,62603.57098714735,57318.18901285265,57.44,40.93,80.7914308100543,19.208569189945692,112,252,1.0,1.0,112.0,252.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
787,62667.476312591134,57254.28368740887,57.44,40.93,80.7914308100543,19.208569189945692,132,265,1.0,1.0,132.0,265.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
848,62846.046357156134,57075.71364284387,57.44,40.93,80.7914308100543,19.208569189945692,149,275,1.0,1.0,149.0,275.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
909,62982.280376451796,56939.479623548206,57.44,40.93,80.7914308100543,19.208569189945692,174,289,1.0,1.0,174.0,289.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
969,63157.92323068384,56763.83676931616,57.44,40.93,80.7914308100543,19.208569189945692,185,300,1.0,1.0,185.0,300.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
1030,63198.48344978384,56723.276550216164,57.44,40.93,80.7914308100543,19.208569189945692,203,315,1.0,1.0,203.0,315.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
1090,63273.71331882813,56648.04668117186,57.44,40.93,80.7914308100543,19.208569189945692,222,330,1.0,1.0,222.0,330.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
1151,63347.74387111955,56574.01612888044,57.44,40.93,80.7914308100543,19.208569189945692,238,347,1.0,1.0,238.0,347.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.009376907011380489,0.0031286862431705665,0,0,84.66716476065113,15.33283523934888,6.954,21.716
1212,63381.32246643729,56540.43753356271,98.36999999999999,0.0,80.7914308100543,19.208569189945692,255,359,1.0,1.0,255.0,359.0,0.009826736857085787,0.002497407808347403,9.826736857085787e-05,2.4974078083474028e-05,0.005475343486161384,1.2805712793297128,0,0,84.66716476065113,15.33283523934888,6.954,21.716
1272,65406.95971023583,54514.80028976417,98.36999999999999,0.0,80.7914308100543,19.208569189945692,284,359,1.0,1.0,284.0,359.0,0.005738007167540994,1.0221890159565918,5.7380071675409934e-05,0.010221890159565919,0.005475343486161384,1.2805712793297128,0,0.2218901595659184,84.66716476065113,15.33283523934888,6.954,21.716
1333,65596.82500980372,54324.934990196285,98.36999999999999,0.0,80.7914308100543,19.208569189945692,319,359,1.0,1.0,319.0,359.0,0.005738007167540994,1.0221890159565918,5.7380071675409934e-05,0.010221890159565919,0.005475343486161384,1.2805712793297128,0,0.2218901595659184,84.66716476065113,15.33283523934888,6.954,21.716
1394,65804.34231667554,54117.41768332446,98.36999999999999,0.0,80.7914308100543,19.208569189945692,340,360,1.0,1.0,340.0,360.0,0.005738007167540994,1.0221890159565918,5.7380071675409934e-05,0.010221890159565919,0.005475343486161384,1.2805712793297128,0,0.2218901595659184,84.66716476065113,15.33283523934888,6.954,21.716
1455,65913.87455434937,54007.88544565063,98.36999999999999,0.0,80.7914308100543,19.208569189945692,374,360,1.0,1.0,374.0,360.0,0.005738007167540994,1.0221890159565918,5.7380071675409934e-05,0.010221890159565919,0.005475343486161384,1.2805712793297128,0,0.2218901595659184,84.66716476065113,15.33283523934888,6.954,21.716
1516,66085.39654734275,53836.36345265724,98.36999999999999,0.0,99.96376650055159,0.03623349944840722,409,360,1.0,1.0,409.0,360.0,0.005738007167540994,1.0221890159565918,5.7380071675409934e-05,0.010221890159565919,0.006774678357260113,0.0024155666298938147,0,0.2218901595659184,99.98706183143298,0.012938168567001841,6.954,21.716
1576,68546.80079671119,51374.959203288825,98.36999999999999,0.0,99.96376650055159,0.03623349944840722,443,360,1.0,1.0,443.0,360.0,0.006776257113038052,0.000862544571133456,6.776257113038052e-05,8.62544571133456e-06,0.006774678357260113,0.0024155666298938147,0,0,99.98706183143298,0.012938168567001841,6.954,21.716
1636,68689.51658778725,51232.24341221277,98.36999999999999,0.0,99.96376650055159,0.03623349944840722,472,360,1.0,1.0,472.0,360.0,0.006776257113038052,0.000862544571133456,6.776257113038052e-05,8.62544571133456e-06,0.006774678357260113,0.0024155666298938147,0,0,99.98706183143298,0.012938168567001841,6.954,21.716
1697,68802.02736468158,51119.73263531843,98.36999999999999,0.0,99.96376650055159,0.03623349944840722,502,360,1.0,1.0,502.0,360.0,0.006776257113038052,0.000862544571133456,6.776257113038052e-05,8.62544571133456e-06,0.006774678357260113,0.0024155666298938147,0,0,99.98706183143298,0.012938168567001841,6.954,21.716
1758,68910.45142322165,51011.30857677836,98.36999999999999,0.0,99.96376650055159,0.03623349944840722,532,360,1.0,1.0,532.0,360.0,0.006776257113038052,0.000862544571133456,6.776257113038052e-05,8.62544571133456e-06,0.006774678357260113,0.0024155666298938147,0,0,99.98706183143298,0.012938168567001841,6.954,21.716
1800,69011.58238365363,50910.177616346366,98.36999999999999,0.0,99.96376650055159,0.03623349944840722,554,360,1.0,1.0,554.0,360.0,0.006776257113038052,0.000862544571133456,6.776257113038052e-05,8.62544571133456e-06,0.006774678357260113,0.0024155666298938147,0,0,99.98706183143298,0.012938168567001841,6.954,21.716
