timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1773292540.150392,pool-foundryusa,v27,47082412.49489461,46321115.730691016,v27,False,0,0.0,Ideology and profit aligned
1773292540.150392,pool-marapool,v26,7219303.249217173,7102571.078705955,v27,True,116732.17051121779,116732.17051121779,Ideology: supporting v26 (loss 1.6% < tolerance 13.3%)
1773292540.150392,pool-luxor,v26,3609651.6246085865,3551285.5393529776,v27,True,58366.085255608894,58366.085255608894,Ideology: supporting v26 (loss 1.6% < tolerance 13.3%)
1773292540.150392,pool-ocean,v26,1883296.4997957847,1852844.629227641,v27,True,30451.87056814367,30451.87056814367,Ideology: supporting v26 (loss 1.6% < tolerance 13.3%)
1773292540.150392,pool-antpool,v26,26523092.372123957,26094228.528289273,v27,True,428863.8438346833,428863.8438346833,Ideology: supporting v26 (loss 1.6% < tolerance 13.3%)
1773292540.150392,pool-f2pool,v26,17106609.873145036,16830005.382151067,v27,True,276604.49099396914,276604.49099396914,Ideology: supporting v26 (loss 1.6% < tolerance 13.3%)
1773292540.150392,pool-viabtc,v27,17577433.99809398,17293216.539457973,v27,False,0,0.0,Rational profit maximization
1773292540.150392,pool-spiderpool,v27,14595547.873417329,14359545.876514219,v27,False,0,0.0,Rational profit maximization
1773293140.3452349,pool-foundryusa,v27,48742097.77791548,44661300.95431577,v27,False,0,0.0,Ideology and profit aligned
1773293140.3452349,pool-marapool,v26,7473788.325947041,6848066.146328418,v27,True,625722.1796186231,742454.3501298409,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1773293140.3452349,pool-luxor,v26,3736894.1629735203,3424033.073164209,v27,True,312861.08980931155,371227.17506492045,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1773293140.3452349,pool-ocean,v26,1949683.9111166196,1786452.038172631,v27,True,163231.87294398854,193683.7435121322,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1773293140.3452349,pool-antpool,v26,27458048.41489239,25159199.53759788,v27,True,2298848.8772945106,2727712.721129194,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1773293140.3452349,pool-f2pool,v26,17709628.859309293,16226939.346734725,v27,True,1482689.5125745684,1759294.0035685375,Ideology: supporting v26 (loss 8.4% < tolerance 13.3%)
1773293140.3452349,pool-viabtc,v27,18197049.837088447,16673552.356277887,v27,False,0,0.0,Rational profit maximization
1773293140.3452349,pool-spiderpool,v27,15110050.311153803,13845003.29583789,v27,False,0,0.0,Rational profit maximization
1773293740.5144455,pool-foundryusa,v27,48899575.03673132,44503823.422818586,v27,False,0,0.0,Ideology and profit aligned
1773293740.5144455,pool-marapool,v26,7497934.83896547,6823919.591498848,v27,True,674015.2474666219,1416469.5975964628,Ideology: supporting v26 (loss 9.0% < tolerance 13.3%)
1773293740.5144455,pool-luxor,v26,3748967.419482735,3411959.795749424,v27,True,337007.62373331096,708234.7987982314,Ideology: supporting v26 (loss 9.0% < tolerance 13.3%)
1773293740.5144455,pool-ocean,v26,1955983.001469253,1780152.9369127434,v27,True,175830.06455650972,369513.8080686419,Ideology: supporting v26 (loss 9.0% < tolerance 13.3%)
1773293740.5144455,pool-antpool,v26,27546760.60402531,25070487.194854468,v27,True,2476273.4091708437,5203986.130300038,Ideology: supporting v26 (loss 9.0% < tolerance 13.3%)
1773293740.5144455,pool-f2pool,v26,17766845.596679047,16169722.51029075,v27,True,1597123.0863882974,3356417.089956835,Ideology: supporting v26 (loss 9.0% < tolerance 13.3%)
1773293740.5144455,pool-viabtc,v27,18255841.347046357,16614760.744518932,v27,False,0,0.0,Rational profit maximization
1773293740.5144455,pool-spiderpool,v27,15158868.261386715,13796185.261073764,v27,False,0,0.0,Rational profit maximization
1773294340.993104,pool-foundryusa,v27,49018831.314910695,44384566.938139826,v27,False,0,0.0,Ideology and profit aligned
1773294340.993104,pool-marapool,v26,7516220.80161964,6805633.597181439,v27,True,710587.2044382002,2127056.802034663,Ideology: supporting v26 (loss 9.5% < tolerance 13.3%)
1773294340.993104,pool-luxor,v26,3758110.40080982,3402816.7985907197,v27,True,355293.6022191001,1063528.4010173315,Ideology: supporting v26 (loss 9.5% < tolerance 13.3%)
1773294340.993104,pool-ocean,v26,1960753.2525964282,1775382.6775255934,v27,True,185370.57507083472,554884.3831394766,Ideology: supporting v26 (loss 9.5% < tolerance 13.3%)
1773294340.993104,pool-antpool,v26,27613941.640733026,25003306.041818768,v27,True,2610635.598914258,7814621.729214296,Ideology: supporting v26 (loss 9.5% < tolerance 13.3%)
1773294340.993104,pool-f2pool,v26,17810175.37775088,16126392.654190801,v27,True,1683782.72356008,5040199.813516915,Ideology: supporting v26 (loss 9.5% < tolerance 13.3%)
1773294340.993104,pool-viabtc,v27,18300363.690899987,16570238.3235722,v27,False,0,0.0,Rational profit maximization
1773294340.993104,pool-spiderpool,v27,15195837.70762232,13759215.750823349,v27,False,0,0.0,Rational profit maximization
1773294941.7840781,pool-foundryusa,v27,49197334.66658689,44206063.27737436,v27,False,0,0.0,Ideology and profit aligned
1773294941.7840781,pool-marapool,v26,7543591.315543324,6778263.035864068,v27,True,765328.2796792556,2892385.0817139186,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1773294941.7840781,pool-luxor,v26,3771795.657771662,3389131.517932034,v27,True,382664.1398396278,1446192.5408569593,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1773294941.7840781,pool-ocean,v26,1967893.386663476,1768242.5310949748,v27,True,199650.85556850117,754535.2387079778,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1773294941.7840781,pool-antpool,v26,27714498.528843947,24902748.979587555,v27,True,2811749.549256392,10626371.278470688,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1773294941.7840781,pool-f2pool,v26,17875031.59552657,16061536.324112684,v27,True,1813495.271413885,6853695.0849308,Ideology: supporting v26 (loss 10.1% < tolerance 13.3%)
1773294941.7840781,pool-viabtc,v27,18367004.94219244,16503596.95688643,v27,False,0,0.0,Rational profit maximization
1773294941.7840781,pool-spiderpool,v27,15251173.746641941,13703879.615986057,v27,False,0,0.0,Rational profit maximization
1773295542.1147008,pool-foundryusa,v27,49355916.46294464,44047481.20642269,v27,False,0,0.0,Ideology and profit aligned
1773295542.1147008,pool-marapool,v26,7567907.190984843,6753947.118318144,v27,True,813960.0726666991,3706345.1543806177,Ideology: supporting v26 (loss 10.8% < tolerance 13.3%)
1773295542.1147008,pool-luxor,v26,3783953.5954924216,3376973.559159072,v27,True,406980.03633334953,1853172.5771903088,Ideology: supporting v26 (loss 10.8% < tolerance 13.3%)
1773295542.1147008,pool-ocean,v26,1974236.6585177858,1761899.2482569078,v27,True,212337.41026087804,966872.6489688559,Ideology: supporting v26 (loss 10.8% < tolerance 13.3%)
1773295542.1147008,pool-antpool,v26,27803832.940792143,24813414.412951447,v27,True,2990418.5278406963,13616789.806311384,Ideology: supporting v26 (loss 10.8% < tolerance 13.3%)
1773295542.1147008,pool-f2pool,v26,17932649.648203216,16003918.171666905,v27,True,1928731.4765363112,8782426.561467111,Ideology: supporting v26 (loss 10.8% < tolerance 13.3%)
1773295542.1147008,pool-viabtc,v27,18426208.812832665,16444392.983731132,v27,False,0,0.0,Rational profit maximization
1773295542.1147008,pool-spiderpool,v27,15300334.103512842,13654719.173991036,v27,False,0,0.0,Rational profit maximization
1773296142.473902,pool-foundryusa,v27,49414074.580914795,43989322.987748265,v27,False,0,0.0,Ideology and profit aligned
1773296142.473902,pool-marapool,v26,7576824.769073602,6745029.524788067,v27,True,831795.2442855351,4538140.398666153,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1773296142.473902,pool-luxor,v26,3788412.384536801,3372514.7623940334,v27,True,415897.62214276753,2269070.1993330764,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1773296142.473902,pool-ocean,v26,1976562.9832365923,1759572.919509931,v27,True,216990.06372666126,1183862.712695517,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1773296142.473902,pool-antpool,v26,27836595.347248666,24780651.949764855,v27,True,3055943.397483811,16672733.203795195,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1773296142.473902,pool-f2pool,v26,17953780.43106571,15982787.3522152,v27,True,1970993.0788505077,10753419.640317619,Ideology: supporting v26 (loss 11.0% < tolerance 13.3%)
1773296142.473902,pool-viabtc,v27,18447921.176874857,16422680.582092684,v27,False,0,0.0,Rational profit maximization
1773296142.473902,pool-spiderpool,v27,15318363.12008359,13636690.126201965,v27,False,0,0.0,Rational profit maximization
1773296743.4262512,pool-foundryusa,v27,49492697.22081655,43910700.2117067,v27,False,0,0.0,Ideology and profit aligned
1773296743.4262512,pool-marapool,v26,7588880.240525205,6732974.0324616935,v27,True,855906.2080635112,5394046.606729664,Ideology: supporting v26 (loss 11.3% < tolerance 13.3%)
1773296743.4262512,pool-luxor,v26,3794440.1202626023,3366487.0162308468,v27,True,427953.1040317556,2697023.303364832,Ideology: supporting v26 (loss 11.3% < tolerance 13.3%)
1773296743.4262512,pool-ocean,v26,1979707.8888326623,1756428.0084682684,v27,True,223279.88036439382,1407142.593059911,Ideology: supporting v26 (loss 11.3% < tolerance 13.3%)
1773296743.4262512,pool-antpool,v26,27880886.10105999,24736361.119261436,v27,True,3144524.981798552,19817258.185593747,Ideology: supporting v26 (loss 11.3% < tolerance 13.3%)
1773296743.4262512,pool-f2pool,v26,17982346.65689668,15954221.0769201,v27,True,2028125.579976581,12781545.2202942,Ideology: supporting v26 (loss 11.3% < tolerance 13.3%)
1773296743.4262512,pool-viabtc,v27,18477273.62910484,16393328.079037163,v27,False,0,0.0,Rational profit maximization
1773296743.4262512,pool-spiderpool,v27,15342736.138453133,13612317.06562908,v27,False,0,0.0,Rational profit maximization
1773297343.748622,pool-foundryusa,v27,49526598.87641926,43876798.49740119,v27,False,0,0.0,Ideology and profit aligned
1773297343.748622,pool-marapool,v26,7594078.494384287,6727775.769601515,v27,True,866302.7247827724,6260349.331512436,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297343.748622,pool-luxor,v26,3797039.2471921435,3363887.8848007573,v27,True,433151.3623913862,3130174.665756218,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297343.748622,pool-ocean,v26,1981063.9550567707,1755071.939896048,v27,True,225992.01516072266,1633134.6082206336,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297343.748622,pool-antpool,v26,27899984.03371618,24717263.153536,v27,True,3182720.88018018,22999979.065773927,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297343.748622,pool-f2pool,v26,17994664.25843233,15941903.454055764,v27,True,2052760.804376565,14834306.024670765,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297343.748622,pool-viabtc,v27,18489930.24719652,16380671.43902978,v27,False,0,0.0,Rational profit maximization
1773297343.748622,pool-spiderpool,v27,15353245.651689973,13601807.534194373,v27,False,0,0.0,Rational profit maximization
1773297943.9506226,pool-foundryusa,v27,49537226.88992472,43866170.465492725,v27,False,0,0.0,Ideology and profit aligned
1773297943.9506226,pool-marapool,v26,7595708.123121789,6726146.138042217,v27,True,869561.9850795716,7129911.316592008,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297943.9506226,pool-luxor,v26,3797854.0615608944,3363073.0690211086,v27,True,434780.9925397858,3564955.658296004,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297943.9506226,pool-ocean,v26,1981489.0755969891,1754646.818619709,v27,True,226842.25697728014,1859976.8651979137,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297943.9506226,pool-antpool,v26,27905971.14799092,24711276.02889423,v27,True,3194695.119096689,26194674.184870616,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297943.9506226,pool-f2pool,v26,17998525.77000598,15938041.935795687,v27,True,2060483.8342102915,16894789.858881056,Ideology: supporting v26 (loss 11.4% < tolerance 13.3%)
1773297943.9506226,pool-viabtc,v27,18493898.038905222,16376703.640450615,v27,False,0,0.0,Rational profit maximization
1773297943.9506226,pool-spiderpool,v27,15356540.335876666,13598512.844302747,v27,False,0,0.0,Rational profit maximization
