timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,0.008835972159936437,99.99116402784006,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,None,None
60,60000,60000,38.1,48.3,0.008835972159936437,99.99116402784006,9,16,1.0,1.0,9.0,16.0,1.0,1.0,0.01,0.01,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,6.666666666666667,3.75
120,52990.197956489974,66357.00204351003,38.1,48.3,0.008835972159936437,99.99116402784006,21,29,1.0,1.0,21.0,29.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,5.0,4.615384615384615
181,53422.19795648998,65925.00204351002,38.1,48.3,0.008835972159936437,99.99116402784006,31,39,1.0,1.0,31.0,39.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,6.1,6.1
241,53586.76938506141,65760.4306149386,38.1,48.3,0.008835972159936437,99.99116402784006,43,53,1.0,1.0,43.0,53.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,5.0,4.285714285714286
301,53623.197956489974,65724.00204351003,38.1,48.3,0.008835972159936437,99.99116402784006,54,67,1.0,1.0,54.0,67.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,5.454545454545454,4.285714285714286
362,53611.42109698585,65735.77890301417,38.1,48.3,0.008835972159936437,99.99116402784006,66,78,1.0,1.0,66.0,78.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,5.083333333333333,5.545454545454546
422,53698.197956489974,65649.00204351003,38.1,48.3,0.008835972159936437,99.99116402784006,79,94,1.0,1.0,79.0,94.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,4.615384615384615,3.75
483,53686.05922816628,65661.14077183373,38.1,48.3,0.008835972159936437,99.99116402784006,89,114,1.0,1.0,89.0,114.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,6.1,3.05
544,53554.848202795394,65792.35179720462,38.1,48.3,0.008835972159936437,99.99116402784006,107,129,1.0,1.0,107.0,129.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,1.5461018652557197e-06,0.013801402902393383,0,0,0.004175467829153285,99.99582453217084,4.845,15.129999999999999,3.388888888888889,4.066666666666666
607,53662.60473615099,65684.59526384901,0.0,86.4,0.00841902973496666,99.99158097026503,117,141,1.0,1.0,117.0,141.0,7.3061554315893e-07,0.013802046174212676,7.3061554315893e-09,0.00013802046174212675,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,6.3,5.25
668,51834.5006672364,67512.6993327636,0.0,86.4,0.00841902973496666,99.99158097026503,117,164,1.0,1.0,117.0,164.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,2.652173913043478
728,51567.24915684991,67779.95084315012,0.0,86.4,0.00841902973496666,99.99158097026503,117,184,1.0,1.0,117.0,184.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,3.0
789,51368.055484512144,67979.14451548786,0.0,86.4,0.00841902973496666,99.99158097026503,117,207,1.0,1.0,117.0,207.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,2.652173913043478
849,51169.38438816663,68177.81561183337,0.0,86.4,0.00841902973496666,99.99158097026503,117,233,1.0,1.0,117.0,233.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,2.3076923076923075
910,50976.24153102377,68370.95846897624,0.0,86.4,0.00841902973496666,99.99158097026503,117,256,1.0,1.0,117.0,256.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,2.652173913043478
970,50827.829428381105,68519.3705716189,0.0,86.4,0.00841902973496666,99.99158097026503,117,279,1.0,1.0,117.0,279.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,2.608695652173913
1031,50696.65711543936,68650.54288456067,0.0,86.4,0.00841902973496666,99.99158097026503,117,306,1.0,1.0,117.0,306.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,2.259259259259259
1091,50560.873749868755,68786.32625013124,0.0,86.4,0.00841902973496666,99.99158097026503,117,330,1.0,1.0,117.0,330.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,2.5
1152,50453.94814655589,68893.25185344412,0.0,86.4,0.00841902973496666,99.99158097026503,117,360,1.0,1.0,117.0,360.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0005612686489977774,0.007715399766224153,0,0,0.003978440309084345,99.99602155969092,4.845,15.129999999999999,None,2.033333333333333
1212,50335.422124015684,69011.77787598432,0.0,86.4,0.0,100.0,117,383,1.0,1.0,117.0,383.0,0.0002652293539389563,0.007715742404297138,2.652293539389563e-06,7.715742404297138e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,2.608695652173913
1273,50253.910478130805,69093.2895218692,0.0,86.4,0.0,100.0,117,411,1.0,1.0,117.0,411.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,2.1785714285714284
1334,50164.56502358535,69182.63497641466,0.0,86.4,0.0,100.0,117,441,1.0,1.0,117.0,441.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,2.033333333333333
1394,50078.78789748564,69268.41210251437,0.0,86.4,0.0,100.0,117,462,1.0,1.0,117.0,462.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,2.857142857142857
1455,50024.032757923545,69323.16724207647,0.0,86.4,0.0,100.0,117,482,1.0,1.0,117.0,482.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,3.05
1515,49975.454384641656,69371.74561535835,0.0,86.4,0.0,100.0,117,514,1.0,1.0,117.0,514.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,1.875
1576,49904.13424992161,69443.0657500784,0.0,86.4,0.0,100.0,117,547,1.0,1.0,117.0,547.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,1.8484848484848484
1637,49837.78517692599,69509.41482307402,0.0,86.4,0.0,100.0,117,574,1.0,1.0,117.0,574.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,2.259259259259259
1697,49788.21322776901,69558.986772231,0.0,86.4,0.0,100.0,117,603,1.0,1.0,117.0,603.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,2.0689655172413794
1758,49739.1104781308,69608.0895218692,0.0,86.4,0.0,100.0,117,629,1.0,1.0,117.0,629.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,2.3461538461538463
1819,49698.332998238046,69648.86700176197,0.0,86.4,0.0,100.0,117,660,1.0,1.0,117.0,660.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,1.967741935483871
1879,49653.28036230069,69693.91963769932,0.0,86.4,0.0,100.0,117,684,1.0,1.0,117.0,684.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,19.975,None,2.5
