timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,55.915,42.455000000000005,69.99988038297951,30.000119617020477,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
60,60000,60000,55.915,42.455000000000005,69.99988038297951,30.000119617020477,3,1,1.0,1.0,3.0,1.0,1.0,1.0,0.01,0.01,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
120,60000,60000,55.915,42.455000000000005,69.99988038297951,30.000119617020477,8,2,1.0,1.0,8.0,2.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
180,64843.90564595755,55077.85435404246,55.915,42.455000000000005,69.99988038297951,30.000119617020477,11,4,1.0,1.0,11.0,4.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
240,64363.90564595754,55557.854354042465,55.915,42.455000000000005,69.99988038297951,30.000119617020477,11,4,1.0,1.0,11.0,4.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
301,64363.90564595754,55557.854354042465,55.915,42.455000000000005,69.99988038297951,30.000119617020477,14,6,1.0,1.0,14.0,6.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
362,64123.90564595755,55797.854354042465,55.915,42.455000000000005,69.99988038297951,30.000119617020477,19,7,1.0,1.0,19.0,7.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
422,64345.44410749601,55576.315892504004,55.915,42.455000000000005,69.99988038297951,30.000119617020477,19,11,1.0,1.0,19.0,11.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
483,63643.90564595755,56277.854354042465,55.915,42.455000000000005,69.99988038297951,30.000119617020477,22,13,1.0,1.0,22.0,13.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
543,63609.61993167182,56312.140068328175,55.915,42.455000000000005,69.99988038297951,30.000119617020477,23,16,1.0,1.0,23.0,16.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.04172993554679991,0.023554445583182565,0,0,69.99996078125972,30.000039218740287,0.0,0.0
603,63330.05949211139,56591.700507888614,65.69,32.68,69.99988038297951,30.000119617020477,29,17,1.0,1.0,29.0,17.0,0.04172998347566826,0.0235543824588704,0.0004172998347566826,0.00023554382458870396,0.03552031277362334,0.030599877210343206,0,0,69.99996078125972,30.000039218740287,0.0,0.0
663,64092.23608074016,55829.523919259846,65.69,32.68,69.99988038297951,30.000119617020477,40,20,1.0,1.0,40.0,20.0,0.035520353570436765,0.030599795204753456,0.0003552035357043677,0.0003059979520475346,0.03552031277362334,0.030599877210343206,0,0,69.99996078125972,30.000039218740287,0.0,0.0
724,64353.10564595755,55568.65435404246,65.69,32.68,69.99988038297951,30.000119617020477,42,22,1.0,1.0,42.0,22.0,0.035520353570436765,0.030599795204753456,0.0003552035357043677,0.0003059979520475346,0.03552031277362334,0.030599877210343206,0,0,69.99996078125972,30.000039218740287,0.0,0.0
784,64278.105645957534,55643.65435404246,65.69,32.68,69.99988038297951,30.000119617020477,45,23,1.0,1.0,45.0,23.0,0.035520353570436765,0.030599795204753456,0.0003552035357043677,0.0003059979520475346,0.03552031277362334,0.030599877210343206,0,0,69.99996078125972,30.000039218740287,0.0,0.0
844,64317.811528310485,55603.94847168951,65.69,32.68,69.99988038297951,30.000119617020477,48,24,1.0,1.0,48.0,24.0,0.035520353570436765,0.030599795204753456,0.0003552035357043677,0.0003059979520475346,0.03552031277362334,0.030599877210343206,0,0,69.99996078125972,30.000039218740287,0.0,0.0
900,64353.10564595755,55568.65435404246,65.69,32.68,69.99988038297951,30.000119617020477,53,26,1.0,1.0,53.0,26.0,0.035520353570436765,0.030599795204753456,0.0003552035357043677,0.0003059979520475346,0.03552031277362334,0.030599877210343206,0,0,69.99996078125972,30.000039218740287,0.0,0.0
