timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,38.1,48.3,99.59393055147984,0.4060694485201569,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
60,60000,60000,38.1,48.3,99.59393055147984,0.4060694485201569,9,17,1.0,1.0,9.0,17.0,1.0,1.0,0.01,0.01,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
121,64272.379358485276,55074.82064151473,38.1,48.3,99.59393055147984,0.4060694485201569,21,29,1.0,1.0,21.0,29.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
181,64804.07166617758,54543.128333822424,38.1,48.3,99.59393055147984,0.4060694485201569,31,39,1.0,1.0,31.0,39.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
241,64968.643094749015,54378.556905250996,38.1,48.3,99.59393055147984,0.4060694485201569,44,53,1.0,1.0,44.0,53.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
302,65046.05104762088,54301.14895237912,38.1,48.3,99.59393055147984,0.4060694485201569,54,68,1.0,1.0,54.0,68.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
362,64966.95691207923,54380.24308792078,38.1,48.3,99.59393055147984,0.4060694485201569,66,78,1.0,1.0,66.0,78.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
423,65080.07166617758,54267.128333822424,38.1,48.3,99.59393055147984,0.4060694485201569,79,95,1.0,1.0,79.0,95.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
483,65049.037183418965,54298.16281658104,38.1,48.3,99.59393055147984,0.4060694485201569,89,114,1.0,1.0,89.0,114.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
544,64936.72191248301,54410.478087517,38.1,48.3,99.59393055147984,0.4060694485201569,107,129,1.0,1.0,107.0,129.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.01742675950157128,5.6048233060063066e-05,0,0,99.6129538349895,0.3870461650105026,4.845,15.129999999999999
604,65044.478445838606,54302.7215541614,86.4,0.0,99.63016405092824,0.36983594907174966,118,141,1.0,1.0,118.0,141.0,0.01743008816010315,5.342252105044894e-05,0.0001743008816010315,5.342252105044894e-07,0.007687512658250634,0.024655729938116645,0,0,99.6300760948321,0.36992390516789614,19.975,0.0
665,67383.12856642026,51964.07143357973,86.4,0.0,99.63016405092824,0.36983594907174966,141,141,1.0,1.0,141.0,141.0,0.007687505871514822,0.02466159367785974,7.687505871514822e-05,0.0002466159367785974,0.007687512658250634,0.024655729938116645,0,0,99.6300760948321,0.36992390516789614,19.975,0.0
725,67702.8196861114,51644.380313888614,86.4,0.0,99.63016405092824,0.36983594907174966,195,141,0.42857142857142855,1.0,165.85714285714224,141.0,0.007687505871514822,0.02466159367785974,7.687505871514822e-05,0.0002466159367785974,0.0032946482821074145,0.024655729938116645,0,0,99.6300760948321,0.36992390516789614,19.975,0.0
785,67994.43979784322,51352.76020215678,86.4,0.0,99.63016405092824,0.36983594907174966,254,141,0.42857142857142855,1.0,191.1428571428558,141.0,0.0032946453735063523,0.02466159367785974,3.2946453735063525e-05,0.0002466159367785974,0.0032946482821074145,0.024655729938116645,0,0,99.6300760948321,0.36992390516789614,19.975,0.0
845,68246.30355707913,51100.89644292088,86.4,0.0,99.63016405092824,0.36983594907174966,301,141,0.8454011741682974,1.0,216.70450097847188,141.0,0.0032946453735063523,0.02466159367785974,3.2946453735063525e-05,0.0002466159367785974,0.0064990322277187354,0.024655729938116645,0,0,99.6300760948321,0.36992390516789614,19.975,0.0
906,68464.72288491654,50882.47711508346,86.4,0.0,100.0,0.0,327,141,0.8454011741682974,1.0,238.68493150684773,141.0,0.006499026490204311,0.02466159367785974,6.49902649020431e-05,0.0002466159367785974,0.006523157208088714,0.0,0,0,100.0,0.0,19.975,0.0
966,68673.4041346466,50673.79586535341,86.4,0.0,100.0,0.0,355,141,0.8454011741682974,1.0,262.35616438356,141.0,0.006523157208088714,0.0,6.523157208088714e-05,0.0,0.006523157208088714,0.0,0,0,100.0,0.0,19.975,0.0
1027,68830.31767702496,50516.882322975056,86.4,0.0,100.0,0.0,381,141,0.8454011741682974,1.0,284.3365949119351,141.0,0.006523157208088714,0.0,6.523157208088714e-05,0.0,0.006523157208088714,0.0,0,0,100.0,0.0,19.975,0.0
1088,68960.3844469903,50386.81555300973,86.4,0.0,100.0,0.0,416,141,0.8454011741682974,1.0,313.92563600782466,141.0,0.006523157208088714,0.0,6.523157208088714e-05,0.0,0.006523157208088714,0.0,0,0,100.0,0.0,19.975,0.0
1149,69115.62648633998,50231.57351366003,86.4,0.0,100.0,0.0,447,141,0.8035496308926391,1.0,339.50529925790653,141.0,0.006523157208088714,0.0,6.523157208088714e-05,0.0,0.006200228633430856,0.0,0,0,100.0,0.0,19.975,0.0
1210,69234.42413349473,50112.77586650528,86.4,0.0,100.0,0.0,483,141,0.8035496308926391,1.0,368.4330859700413,141.0,0.006200228633430856,0.0,6.200228633430855e-05,0.0,0.006200228633430856,0.0,0,0,100.0,0.0,19.975,0.0
1270,69354.3965721133,49992.803427886705,86.4,0.0,100.0,0.0,522,141,0.8035496308926391,1.0,399.771521574854,141.0,0.006200228633430856,0.0,6.200228633430855e-05,0.0,0.006200228633430856,0.0,0,0,100.0,0.0,19.975,0.0
1331,69469.88220589077,49877.317794109236,86.4,0.0,100.0,0.0,554,141,0.8035496308926391,1.0,425.4851097634182,141.0,0.006200228633430856,0.0,6.200228633430855e-05,0.0,0.006200228633430856,0.0,0,0,100.0,0.0,19.975,0.0
1391,69555.09640803802,49792.10359196199,86.4,0.0,100.0,0.0,578,142,0.8765995973374244,1.0,444.916400837731,142.0,0.006200228633430856,0.0,6.200228633430855e-05,0.0,0.006763885781924571,0.0,0,0,100.0,0.0,19.975,0.0
1452,69605.21426141665,49741.98573858335,86.4,0.0,100.0,0.0,614,142,0.8765995973374244,1.0,476.473986341878,142.0,0.006763885781924571,0.0,6.763885781924571e-05,0.0,0.006763885781924571,0.0,0,0,100.0,0.0,19.975,0.0
1513,69694.0989438873,49653.10105611272,86.4,0.0,100.0,0.0,650,142,0.8765995973374244,1.0,508.03157184602503,142.0,0.006763885781924571,0.0,6.763885781924571e-05,0.0,0.006763885781924571,0.0,0,0,100.0,0.0,19.975,0.0
1574,69774.35331949726,49572.84668050274,86.4,0.0,100.0,0.0,681,142,0.8765995973374244,1.0,535.206159363485,142.0,0.006763885781924571,0.0,6.763885781924571e-05,0.0,0.006763885781924571,0.0,0,0,100.0,0.0,19.975,0.0
1634,69837.46771853203,49509.73228146798,86.4,0.0,100.0,0.0,711,142,0.8765995973374244,1.0,561.5041472836075,142.0,0.006763885781924571,0.0,6.763885781924571e-05,0.0,0.006763885781924571,0.0,0,0,100.0,0.0,19.975,0.0
