timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1772603182.520739,pool-foundryusa,v27,48179050.10328065,45224638.36058436,v27,False,0,0.0,Ideology and profit aligned
1772603182.520739,pool-marapool,v27,7387454.3491696995,6934444.548622934,v27,False,0,0.0,Ideology and profit aligned
1772603182.520739,pool-luxor,v27,3693727.1745848497,3467222.274311467,v27,False,0,0.0,Ideology and profit aligned
1772603182.520739,pool-ocean,v27,1927162.0041312263,1808985.5344233746,v27,False,0,0.0,Ideology and profit aligned
1772603182.520739,pool-antpool,v26,27140864.891514763,25476546.276462518,v27,True,1664318.6150522456,1664318.6150522456,Ideology: supporting v26 (loss 6.1% < tolerance 13.3%)
1772603182.520739,pool-f2pool,v26,17505054.870858632,16431618.60434565,v27,True,1073436.2665129825,1073436.2665129825,Ideology: supporting v26 (loss 6.1% < tolerance 13.3%)
1772603182.520739,pool-viabtc,v27,17986845.371891443,16883864.98795149,v27,False,0,0.0,Rational profit maximization
1772603182.520739,pool-spiderpool,v27,14935505.532017004,14019637.891781155,v27,False,0,0.0,Rational profit maximization
1772603782.860413,pool-foundryusa,v26,85575619.10615303,157315985.69983137,v26,False,0,0.0,Forced switch: loss 45.6% exceeds tolerance 13.3%
1772603782.860413,pool-marapool,v26,13121594.929610133,24121784.473974146,v26,False,0,0.0,Forced switch: loss 45.6% exceeds tolerance 13.3%
1772603782.860413,pool-luxor,v26,6560797.464805067,12060892.236987073,v26,False,0,0.0,Forced switch: loss 45.6% exceeds tolerance 13.3%
1772603782.860413,pool-ocean,v26,3423024.7642461215,6292639.427993256,v26,False,0,0.0,Forced switch: loss 45.6% exceeds tolerance 13.3%
1772603782.860413,pool-antpool,v26,48207598.76313287,88621338.61090502,v26,False,0,1664318.6150522456,Ideology and profit aligned
1772603782.860413,pool-f2pool,v26,31092474.941902265,57158141.47093874,v26,False,0,1073436.2665129825,Ideology and profit aligned
1772603782.860413,pool-viabtc,v26,31948231.13296379,58731301.32793707,v26,False,0,0.0,Rational profit maximization
1772603782.860413,pool-spiderpool,v26,26528441.922907438,48767955.56694774,v26,False,0,0.0,Rational profit maximization
