scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v26_dominant,0.78,0.25,0.2,0.16,0.05,0.35,30.0,0.4,0.49,0.0,0.43037278192793843,0.1267605633802817,4,0,1800,0.17,0.14,2,56.96272180720615,86.4,65047.34464057531,43.03727819279384,0.0,54299.85535942469,464,0.085,923,0.5,6,0.12,806,184844933888.42456,0,117,116581789456.68481,0,v26
sweep_0001,v26_dominant,0.78,0.25,0.2,0.16,0.15,0.35,30.0,0.4,0.49,0.0,0.43037278192793843,0.12689804772234273,4,0,1800,0.17,0.14,2,56.96272180720615,86.4,65046.96403258307,43.03727819279384,0.0,54300.235967416935,464,0.085,922,0.5,6,0.12,805,184843852315.3096,0,117,116582606622.04416,0,v26
sweep_0002,v26_dominant,0.78,0.25,0.2,0.16,0.25,0.35,30.0,0.4,0.49,0.0,0.43037278192793843,0.12689804772234273,4,0,1800,0.17,0.14,2,56.96272180720615,86.4,65045.742890337686,43.03727819279384,0.0,54301.457109662326,464,0.085,922,0.5,6,0.12,805,184840382197.36914,0,117,116585228414.445,0,v26
sweep_0003,v26_dominant,0.78,0.25,0.2,0.16,0.35,0.35,30.0,0.4,0.49,0.0,0.43037278192793843,0.1270358306188925,4,0,1800,0.17,0.14,2,56.96272180720615,86.4,65044.55712865611,43.03727819279384,0.0,54302.6428713439,464,0.085,921,0.5,6,0.12,804,184837012620.31955,0,117,116587774244.77536,0,v26
sweep_0004,v26_dominant,0.78,0.25,0.2,0.16,0.45,0.35,30.0,0.4,0.49,0.0,0.43037278192793843,0.12689804772234273,4,0,1800,0.17,0.14,2,56.96272180720615,86.4,65046.8205410534,43.03727819279384,0.0,54300.379458946605,464,0.085,922,0.5,6,0.12,805,184843444555.6622,0,117,116582914698.35837,0,v26
sweep_0005,v26_dominant,0.78,0.25,0.4,0.16,0.05,0.35,30.0,0.4,0.49,0.0,0.43037278192793843,0.12689804772234273,4,0,1800,0.17,0.14,2,56.96272180720615,86.4,65044.2915759069,43.03727819279384,0.0,54302.90842409309,464,0.085,922,0.5,6,0.12,805,184836257999.50232,0,117,116588344386.52786,0,v26
sweep_0006,v26_dominant,0.78,0.25,0.4,0.16,0.15,0.35,30.0,0.4,0.49,0.0,0.43037278192793843,0.12689804772234273,4,0,1800,0.17,0.14,2,56.96272180720615,86.4,65047.15071565993,43.03727819279384,0.0,54300.04928434006,464,0.085,922,0.5,6,0.12,805,184844382812.3067,0,117,116582205813.4781,0,v26
sweep_0007,v26_dominant,0.78,0.25,0.4,0.16,0.25,0.35,30.0,0.4,0.49,0.0,0.43037278192793843,0.12689804772234273,4,0,1800,0.17,0.14,2,56.96272180720615,86.4,65046.8205410534,43.03727819279384,0.0,54300.379458946605,464,0.085,922,0.5,6,0.12,805,184843444555.6622,0,117,116582914698.35837,0,v26
sweep_0008,v27_dominant,0.78,0.25,0.4,0.16,0.35,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6099410278011794,10,0,1800,0.17,0.14,2,56.9538858350462,0.0,57801.53109695948,43.046114164953785,86.4,61545.668903040525,3575,0.085,1187,0.5,6,0.12,463,164229038364.84183,0,724,132165680465.68048,4969170.8142437935,v27
sweep_0009,v27_dominant,0.78,0.25,0.4,0.16,0.45,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6134239592183517,10,0,1800,0.17,0.14,2,56.9538858350462,0.0,57749.833360321194,43.046114164953785,86.4,61597.36663967881,3519,0.085,1177,0.5,6,0.12,455,164082151778.74948,0,722,132276698294.6052,4969170.8142437935,v27
