timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1772714370.6683464,pool-foundryusa,v27,44217096.0690411,49186266.8832849,v26,True,4969170.8142437935,4969170.8142437935,Ideology: supporting v27 (loss 10.1% < tolerance 20.0%)
1772714370.6683464,pool-marapool,v26,6779954.730586302,7541894.2554370165,v26,False,0,0.0,Ideology and profit aligned
1772714370.6683464,pool-luxor,v26,3389977.365293151,3770947.1277185082,v26,False,0,0.0,Ideology and profit aligned
1772714370.6683464,pool-ocean,v26,1768683.8427616442,1967450.675331396,v26,False,0,0.0,Ideology and profit aligned
1772714370.6683464,pool-antpool,v26,24908964.118893154,27708263.67758382,v26,False,0,0.0,Ideology and profit aligned
1772714370.6683464,pool-f2pool,v26,16065544.90508493,17871010.30092684,v26,False,0,0.0,Ideology and profit aligned
1772714370.6683464,pool-viabtc,v26,16507715.865775343,18362872.96975969,v26,False,0,0.0,Rational profit maximization
1772714370.6683464,pool-spiderpool,v26,13707299.781402744,15247742.733818322,v26,False,0,0.0,Rational profit maximization
1772714970.8156323,pool-foundryusa,v27,152971493.58337632,95133685.60477947,v27,False,0,4969170.8142437935,Ideology and profit aligned
1772714970.8156323,pool-marapool,v27,23455629.016117703,14587165.12606619,v27,False,0,0.0,Forced switch: loss 37.8% exceeds tolerance 20.0%
1772714970.8156323,pool-luxor,v27,11727814.508058852,7293582.563033095,v27,False,0,0.0,Forced switch: loss 37.8% exceeds tolerance 20.0%
1772714970.8156323,pool-ocean,v27,6118859.743335053,3805347.424191179,v27,False,0,0.0,Forced switch: loss 37.8% exceeds tolerance 20.0%
1772714970.8156323,pool-antpool,v27,86173941.38530198,53591976.22402576,v27,False,0,0.0,Forced switch: loss 37.8% exceeds tolerance 20.0%
1772714970.8156323,pool-f2pool,v27,55579642.668626726,34565239.10306989,v27,False,0,0.0,Forced switch: loss 37.8% exceeds tolerance 20.0%
1772714970.8156323,pool-viabtc,v27,57109357.60446048,35516575.959117666,v27,False,0,0.0,Rational profit maximization
1772714970.8156323,pool-spiderpool,v27,47421163.01084666,29491442.537481647,v27,False,0,0.0,Rational profit maximization
