scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6091370558375635,10,0,1800,0.05,0.05,2,56.9538858350462,0.0,57806.4760783568,43.046114164953785,86.4,61540.723921643206,3568,0.085,1182,0.5,6,0.12,462,164243088330.71994,0,720,132155061410.87263,4969170.8142437935,v27
sweep_0001,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6141396933560477,10,0,1800,0.05,0.12,2,56.9538858350462,0.0,57743.8199666655,43.046114164953785,86.4,61603.38003333451,3505,0.085,1174,0.5,6,0.12,453,164065066178.4437,0,721,132289611701.48792,4969170.8142437935,v27
sweep_0002,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6136170212765958,10,0,1800,0.05,0.2,2,56.9538858350462,0.0,57734.563639496955,43.046114164953785,86.4,61612.63636050305,3512,0.085,1175,0.5,6,0.12,454,164038766568.7131,0,721,132309489116.10777,4921697.799481213,v27
sweep_0003,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6137521222410866,10,0,1800,0.05,0.28,2,56.9538858350462,0.0,57750.574883647685,43.046114164953785,86.4,61596.625116352305,3519,0.085,1178,0.5,6,0.12,455,164084258637.5216,0,723,132275105917.1597,4969170.8142437935,v27
sweep_0004,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6099830795262268,10,0,1800,0.15,0.05,2,56.9538858350462,0.0,57799.10040148151,43.046114164953785,86.4,61548.099598518485,3561,0.085,1182,0.5,6,0.12,461,164222132132.89038,0,721,132170900240.32224,4921697.799481213,v27
sweep_0005,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6141396933560477,10,0,1800,0.15,0.12,2,56.9538858350462,0.0,57741.49823526452,43.046114164953785,86.4,61605.70176473549,3505,0.085,1174,0.5,6,0.12,453,164058469541.50192,0,721,132294597482.225,4969170.8142437935,v27
sweep_0006,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6141396933560477,10,0,1800,0.15,0.2,2,56.9538858350462,0.0,57742.97175861438,43.046114164953785,86.4,61604.22824138563,3505,0.085,1174,0.5,6,0.12,453,164062656200.88904,0,721,132291433178.06377,4969170.8142437935,v27
sweep_0007,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6141396933560477,10,0,1800,0.15,0.28,2,56.9538858350462,0.0,57744.34274320371,43.046114164953785,86.4,61602.85725679629,3505,0.085,1174,0.5,6,0.12,453,164066551521.24554,0,721,132288489069.82045,4969170.8142437935,v27
sweep_0008,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6141396933560477,10,0,1800,0.25,0.05,2,56.9538858350462,0.0,57738.49450405457,43.046114164953785,86.4,61608.70549594543,3505,0.085,1174,0.5,6,0.12,453,164049935167.4334,0,721,132301047817.17747,4969170.8142437935,v27
sweep_0009,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6097972972972973,10,0,1800,0.25,0.12,2,56.9538858350462,0.0,57809.145059711474,43.046114164953785,86.4,61538.05494028854,3568,0.085,1184,0.5,6,0.12,462,164250671594.2248,0,722,132149329931.41719,4969170.8142437935,v27
sweep_0010,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6138107416879796,10,0,1800,0.25,0.2,2,56.9538858350462,0.0,57749.526851844304,43.046114164953785,86.4,61597.6731481557,3505,0.085,1173,0.5,6,0.12,453,164081280909.2162,0,720,132277356503.41402,4969170.8142437935,v27
sweep_0011,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6141396933560477,10,0,1800,0.25,0.28,2,56.9538858350462,0.0,57739.586401878674,43.046114164953785,86.4,61607.61359812133,3505,0.085,1174,0.5,6,0.12,453,164053037530.4027,0,721,132298703031.24057,4969170.8142437935,v27
sweep_0012,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6141396933560477,10,0,1800,0.35,0.05,2,56.9538858350462,0.0,57740.44316904015,43.046114164953785,86.4,61606.75683095986,3505,0.085,1174,0.5,6,0.12,453,164055471826.59454,0,721,132296863174.48192,4969170.8142437935,v27
sweep_0013,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6141396933560477,10,0,1800,0.35,0.12,2,56.9538858350462,0.0,57739.05035683991,43.046114164953785,86.4,61608.14964316008,3505,0.085,1174,0.5,6,0.12,453,164051514488.3731,0,721,132299854156.22742,4969170.8142437935,v27
sweep_0014,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6091370558375635,10,0,1800,0.35,0.2,2,56.9538858350462,0.0,57812.95947599797,43.046114164953785,86.4,61534.24052400204,3568,0.085,1182,0.5,6,0.12,462,164261509333.41205,0,720,132141138698.25537,4969170.8142437935,v27
sweep_0015,v27_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.4304611416495379,0.6132879045996593,10,0,1800,0.35,0.28,2,56.9538858350462,0.0,57735.76612535428,43.046114164953785,86.4,61611.43387464572,3512,0.085,1174,0.5,6,0.12,454,164042183140.77008,0,720,132306906848.91632,4969170.8142437935,v27
