timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,38.1,48.3,43.046114164953785,56.9538858350462,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
60,60000,60000,38.1,48.3,43.046114164953785,56.9538858350462,9,15,1.0,1.0,9.0,15.0,1.0,1.0,0.01,0.01,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
120,57694.33369979446,61652.86630020555,38.1,48.3,43.046114164953785,56.9538858350462,20,29,1.0,1.0,20.0,29.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
180,57933.10920999853,61414.09079000146,38.1,48.3,43.046114164953785,56.9538858350462,30,39,1.0,1.0,30.0,39.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
241,58124.76848240315,61222.43151759684,38.1,48.3,43.046114164953785,56.9538858350462,41,52,1.0,1.0,41.0,52.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
302,58168.527248181555,61178.672751818456,38.1,48.3,43.046114164953785,56.9538858350462,53,66,1.0,1.0,53.0,66.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
362,58201.056388870085,61146.14361112991,38.1,48.3,43.046114164953785,56.9538858350462,64,77,1.0,1.0,64.0,77.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
423,58262.41880617743,61084.78119382258,38.1,48.3,43.046114164953785,56.9538858350462,77,92,1.0,1.0,77.0,92.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
483,58274.807072575524,61072.39292742448,38.1,48.3,43.046114164953785,56.9538858350462,88,110,1.0,1.0,88.0,110.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
544,58194.33369979446,61152.86630020555,38.1,48.3,43.046114164953785,56.9538858350462,102,127,1.0,1.0,102.0,127.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,14.5
605,58201.32059935777,61145.87940064221,30.0,56.39999999999999,43.046114164953785,56.9538858350462,116,141,1.0,1.0,116.0,141.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.009565803147767508,0.006732137805561018,0,0,43.05168898519897,56.948311014801035,2.85,14.5
665,57855.33914726528,61491.860852734724,30.0,56.39999999999999,43.046114164953785,56.9538858350462,125,173,1.0,0.4675324675324675,125.0,157.55844155844147,0.009567041996710882,0.006731478843357097,9.567041996710883e-05,6.731478843357097e-05,0.009565803147767508,0.0031474930000025543,0,0,43.05168898519897,56.948311014801035,2.85,14.5
725,57790.715480370825,61556.48451962918,30.0,56.39999999999999,43.046114164953785,56.9538858350462,133,206,1.0,0.4675324675324675,133.0,172.9870129870128,0.009567041996710882,0.003147184913777344,9.567041996710883e-05,3.1471849137773446e-05,0.009565803147767508,0.0031474930000025543,0,0,43.05168898519897,56.948311014801035,2.85,14.5
786,57735.07828618723,61612.12171381277,30.0,56.39999999999999,43.046114164953785,56.9538858350462,146,238,0.3687580025608195,0.4675324675324675,144.73751600512162,187.94805194805167,0.009567041996710882,0.003147184913777344,9.567041996710883e-05,3.1471849137773446e-05,0.003527466461660746,0.0031474930000025543,0,0,43.05168898519897,56.948311014801035,2.85,14.5
846,57737.9512604611,61609.2487395389,30.0,56.39999999999999,43.046114164953785,56.9538858350462,168,273,0.3687580025608195,0.4675324675324675,152.85019206145944,204.31168831168793,0.0035279232971225792,0.003147184913777344,3.527923297122579e-05,3.1471849137773446e-05,0.003527466461660746,0.0031474930000025543,0,0,43.05168898519897,56.948311014801035,2.85,14.5
906,57686.82944639746,61660.37055360254,30.0,56.39999999999999,43.046114164953785,56.9538858350462,195,303,0.3687580025608195,0.5322108721318207,162.8066581306013,219.3078384066523,0.0035279232971225792,0.003147184913777344,3.527923297122579e-05,3.1471849137773446e-05,0.003527466461660746,0.0035829169328092307,0,0,43.05168898519897,56.948311014801035,2.85,14.5
967,57673.22139330768,61673.97860669233,30.0,56.39999999999999,43.046114164953785,56.9538858350462,220,340,0.3687580025608195,0.5322108721318207,172.02560819462155,238.99964067552992,0.0035279232971225792,0.00358256622595998,3.527923297122579e-05,3.58256622595998e-05,0.003527466461660746,0.0035829169328092307,0,0,43.05168898519897,56.948311014801035,2.85,14.5
1028,57618.93587497948,61728.264125020534,30.0,56.39999999999999,43.046114164953785,56.9538858350462,244,371,0.3687580025608195,0.5322108721318207,180.875800256081,255.49817771161656,0.0035279232971225792,0.00358256622595998,3.527923297122579e-05,3.58256622595998e-05,0.003527466461660746,0.0035829169328092307,0,0,43.05168898519897,56.948311014801035,2.85,14.5
1088,57589.91367567878,61757.28632432123,30.0,56.39999999999999,43.046114164953785,56.9538858350462,268,401,0.3687580025608195,0.5322108721318207,189.72599231754043,271.4645038755714,0.0035279232971225792,0.00358256622595998,3.527923297122579e-05,3.58256622595998e-05,0.003527466461660746,0.0035829169328092307,0,0,43.05168898519897,56.948311014801035,2.85,14.5
1148,57567.49227431439,61779.707725685614,30.0,56.39999999999999,43.046114164953785,56.9538858350462,284,426,0.3687580025608195,0.5322108721318207,195.6261203585134,284.76977567886706,0.0035279232971225792,0.00358256622595998,3.527923297122579e-05,3.58256622595998e-05,0.003527466461660746,0.0035829169328092307,0,0,43.05168898519897,56.948311014801035,2.85,14.5
1209,57537.50726201593,61809.69273798406,86.4,0.0,43.046114164953785,56.9538858350462,332,451,0.2817037260942069,0.528540452324015,209.49611631690175,298.00530950581447,0.0035279232971225792,0.00358256622595998,3.527923297122579e-05,3.58256622595998e-05,0.000935667496461736,2.006828838724376,0,0,43.05168898519897,56.948311014801035,2.85,14.5
1270,60284.8869997314,59062.3130002686,86.4,0.0,43.046114164953785,56.9538858350462,420,451,0.2817037260942069,0.528540452324015,234.28604421319199,298.00530950581447,0.0009357886729768111,2.0066324041901087,9.357886729768111e-06,0.020066324041901087,0.000935667496461736,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1330,60481.78671286569,58865.41328713432,86.4,0.0,43.046114164953785,56.9538858350462,458,452,0.6650055173371442,0.528540452324015,254.956632377088,298.5338499581385,0.0009357886729768111,2.0066324041901087,9.357886729768111e-06,0.020066324041901087,0.0022087888441063934,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1390,60629.29976859134,58717.90023140867,86.4,0.0,43.046114164953785,56.9538858350462,503,452,0.6650055173371442,0.528540452324015,284.8818806572591,298.5338499581385,0.0022090749001419806,2.0066324041901087,2.2090749001419803e-05,0.020066324041901087,0.0022087888441063934,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1451,60828.49344553987,58518.70655446013,86.4,0.0,43.046114164953785,56.9538858350462,541,453,0.6650055173371442,0.528540452324015,310.15209031607026,299.0623904104625,0.0022090749001419806,2.0066324041901087,2.2090749001419803e-05,0.020066324041901087,0.0022087888441063934,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1512,60978.265496761225,58368.93450323878,86.4,0.0,43.046114164953785,56.9538858350462,580,453,0.8627098603292682,0.528540452324015,336.87812286418716,299.0623904104625,0.0022090749001419806,2.0066324041901087,2.2090749001419803e-05,0.020066324041901087,0.002865455797759646,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1572,61126.80503821635,58220.394961783655,86.4,0.0,43.046114164953785,56.9538858350462,607,453,0.8627098603292682,0.528540452324015,360.171289093078,299.0623904104625,0.002865826897481489,2.0066324041901087,2.865826897481489e-05,0.020066324041901087,0.002865455797759646,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1633,61246.442431761985,58100.75756823801,86.4,0.0,43.046114164953785,56.9538858350462,639,453,0.8627098603292682,0.528540452324015,387.77800462361523,299.0623904104625,0.002865826897481489,2.0066324041901087,2.865826897481489e-05,0.020066324041901087,0.002865455797759646,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1694,61377.72704246398,57969.472957536025,86.4,0.0,43.046114164953785,56.9538858350462,669,453,0.8627098603292682,0.528540452324015,413.6593004334939,299.0623904104625,0.002865826897481489,2.0066324041901087,2.865826897481489e-05,0.020066324041901087,0.002865455797759646,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1754,61491.56956431599,57855.63043568401,86.4,0.0,43.046114164953785,56.9538858350462,701,453,0.8627098603292682,0.528540452324015,441.26601596403117,299.0623904104625,0.002865826897481489,2.0066324041901087,2.865826897481489e-05,0.020066324041901087,0.002865455797759646,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
1800,61604.22824138563,57742.97175861438,86.4,0.0,43.046114164953785,56.9538858350462,721,453,0.845103536649079,0.528540452324015,458.50260684693677,299.0623904104625,0.002865826897481489,2.0066324041901087,2.865826897481489e-05,0.020066324041901087,0.002806977108009449,2.006828838724376,0,10.066324041901087,43.05168898519897,56.948311014801035,2.85,14.5
