timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1772771995.3047633,pool-foundryusa,v27,44217096.0690411,49186266.8832849,v26,True,4969170.8142437935,4969170.8142437935,Ideology: supporting v27 (loss 10.1% < tolerance 13.3%)
1772771995.3047633,pool-marapool,v26,6779954.730586302,7541894.2554370165,v26,False,0,0.0,Ideology and profit aligned
1772771995.3047633,pool-luxor,v26,3389977.365293151,3770947.1277185082,v26,False,0,0.0,Ideology and profit aligned
1772771995.3047633,pool-ocean,v26,1768683.8427616442,1967450.675331396,v26,False,0,0.0,Ideology and profit aligned
1772771995.3047633,pool-antpool,v26,24908964.118893154,27708263.67758382,v26,False,0,0.0,Ideology and profit aligned
1772771995.3047633,pool-f2pool,v26,16065544.90508493,17871010.30092684,v26,False,0,0.0,Ideology and profit aligned
1772771995.3047633,pool-viabtc,v26,16507715.865775343,18362872.96975969,v26,False,0,0.0,Rational profit maximization
1772771995.3047633,pool-spiderpool,v26,13707299.781402744,15247742.733818322,v26,False,0,0.0,Rational profit maximization
1772772595.8188384,pool-foundryusa,v27,152548614.15575564,95037593.7664376,v27,False,0,4969170.8142437935,Ideology and profit aligned
1772772595.8188384,pool-marapool,v27,23390787.503882535,14572431.044187095,v27,False,0,0.0,Forced switch: loss 37.7% exceeds tolerance 13.3%
1772772595.8188384,pool-luxor,v27,11695393.751941267,7286215.5220935475,v27,False,0,0.0,Forced switch: loss 37.7% exceeds tolerance 13.3%
1772772595.8188384,pool-ocean,v27,6101944.566230226,3801503.7506575035,v27,False,0,0.0,Forced switch: loss 37.7% exceeds tolerance 13.3%
1772772595.8188384,pool-antpool,v27,85935719.30774233,53537844.48842651,v27,False,0,0.0,Forced switch: loss 37.7% exceeds tolerance 13.3%
1772772595.8188384,pool-f2pool,v27,55425996.476591215,34530325.73513899,v27,False,0,0.0,Forced switch: loss 37.7% exceeds tolerance 13.3%
1772772595.8188384,pool-viabtc,v27,56951482.61814876,35480701.67280336,v27,False,0,0.0,Rational profit maximization
1772772595.8188384,pool-spiderpool,v27,47290070.38828426,29461654.067595657,v27,False,0,0.0,Rational profit maximization
