scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v26_dominant,0.35,0.25,0.51,0.16,0.26,0.5,10,0.4,0.49,0.0,0.30067963339166637,0.12607758620689655,4,0,1800,0.17,0.14,2,69.93203666083336,86.4,66629.89639931505,30.06796333916664,0.0,52717.30360068496,468,0.085,928,0.5,6,0.12,811,232451611627.85825,0,117,79075955401.02744,0,v26
sweep_0001,v27_dominant,0.45,0.25,0.51,0.16,0.26,0.5,10,0.4,0.49,1.0,0.5012210820410434,0.6331950207468879,4,0,1800,0.17,0.14,2,49.87789179589566,0.0,56738.029317558205,50.12210820410434,86.4,62609.17068244181,1764,0.085,1205,0.5,6,0.12,442,141178831523.67642,0,763,156550524828.54135,2508370.6780149587,v27
sweep_0002,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.5,10,0.4,0.49,1.0,0.5012210820410434,0.632145816072908,4,0,1800,0.17,0.14,2,49.87789179589566,0.0,56749.284250263525,50.12210820410434,86.4,62597.91574973648,1772,0.085,1207,0.5,6,0.12,444,141206836695.29282,0,763,156522382535.6037,2508370.6780149587,v27
sweep_0003,v27_dominant,0.55,0.25,0.51,0.16,0.26,0.5,10,0.4,0.49,1.0,0.5012210820410434,0.6327543424317618,4,0,1800,0.17,0.14,2,49.87789179589566,0.0,56741.73677964673,50.12210820410434,86.4,62605.463220353275,1772,0.085,1209,0.5,6,0.12,444,141188056644.32074,0,765,156541254539.07074,2508370.6780149587,v27
sweep_0004,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.5,10,0.4,0.49,0.0,0.6214929353977099,0.3421487603305785,6,0,1800,0.17,0.14,2,37.850706460229006,86.4,61405.16352955554,62.14929353977099,0.0,57942.03647044447,2206,0.085,1210,0.5,6,0.12,796,115948765485.8228,3766570.240786761,414,179645853908.05405,0,v26
sweep_0005,contested,0.7,0.25,0.51,0.16,0.26,0.5,10,0.4,0.49,0.4409722222222222,0.7016741709688209,0.48103078024337864,2,0,1800,0.17,0.14,2,29.832582903117906,48.3,57588.57799393198,70.16741709688209,38.1,61758.62200606803,552,0.085,1397,0.5,6,0.12,725,85706637720.89046,7989371.535922848,672,216182400221.8184,12290043.92359338,v26
sweep_0006,v27_dominant,0.82,0.25,0.51,0.16,0.26,0.5,10,0.4,0.49,1.0,0.8082766430950271,0.8478027867095391,4,0,1800,0.17,0.14,2,19.172335690497288,0.0,51654.88776318219,80.82766430950271,86.4,67692.31223681782,564,0.085,933,0.5,6,0.12,142,49405317401.095604,0,791,272952216355.3628,0,v27
sweep_0007,v26_dominant,0.35,0.25,0.51,0.16,0.26,0.5,20,0.4,0.49,0.0,0.30067963339166637,0.12607758620689655,4,0,1800,0.17,0.14,2,69.93203666083336,86.4,66631.09640885767,30.06796333916664,0.0,52716.10359114234,468,0.085,928,0.5,6,0.12,811,232455798099.20557,0,117,79074155386.7135,0,v26
sweep_0008,v27_dominant,0.45,0.25,0.51,0.16,0.26,0.5,20,0.4,0.49,1.0,0.5012210820410434,0.6233552631578947,8,0,1800,0.17,0.14,2,49.87789179589566,0.0,56809.87079524179,50.12210820410434,86.4,62537.32920475821,2976,0.085,1216,0.5,6,0.12,458,141357591625.081,0,758,156370889466.60898,2212145.2877994813,v27
sweep_0009,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.5,20,0.4,0.49,1.0,0.5012210820410434,0.6230452674897119,8,0,1800,0.17,0.14,2,49.87789179589566,0.0,56808.68185923615,50.12210820410434,86.4,62538.51814076385,2976,0.085,1215,0.5,6,0.12,458,141354633246.05283,0,757,156373862330.7061,2212145.2877994813,v27
sweep_0010,v27_dominant,0.55,0.25,0.51,0.16,0.26,0.5,20,0.4,0.49,1.0,0.5012210820410434,0.6233552631578947,8,0,1800,0.17,0.14,2,49.87789179589566,0.0,56806.84736906602,50.12210820410434,86.4,62540.35263093399,2976,0.085,1216,0.5,6,0.12,458,141350068561.98157,0,758,156378449364.7747,2212145.2877994813,v27
sweep_0011,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.5,20,0.4,0.49,0.0,0.6214929353977099,0.3590163934426229,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61185.14562213563,62.14929353977099,0.0,58162.054377864384,2264,0.085,1220,0.5,6,0.12,782,115533315004.40141,3022914.065041685,438,180328006404.94937,0,v26
sweep_0012,v26_dominant,0.7,0.25,0.51,0.16,0.26,0.5,20,0.4,0.49,0.0,0.7016741709688209,0.36385936222403925,8,0,1800,0.17,0.14,2,29.832582903117906,86.4,60200.17581446838,70.16741709688209,0.0,59147.02418553163,2292,0.085,1223,0.5,6,0.12,778,89593367973.21524,6471505.014013674,445,207040656657.6217,0,v26
sweep_0013,v27_dominant,0.82,0.25,0.51,0.16,0.26,0.5,20,0.4,0.49,1.0,0.8082766430950271,0.8478027867095391,4,0,1800,0.17,0.14,2,19.172335690497288,0.0,51650.734553733804,80.82766430950271,86.4,67696.4654462662,564,0.085,933,0.5,6,0.12,142,49401345063.91869,0,791,272968963127.43286,0,v27
sweep_0014,v26_dominant,0.35,0.25,0.51,0.16,0.26,0.5,30,0.4,0.49,0.0,0.30067963339166637,0.12594187298170076,4,0,1800,0.17,0.14,2,69.93203666083336,86.4,66631.09640885767,30.06796333916664,0.0,52716.10359114234,468,0.085,929,0.5,6,0.12,812,232455798099.20557,0,117,79074155386.7135,0,v26
sweep_0015,v27_dominant,0.45,0.25,0.51,0.16,0.26,0.5,30,0.4,0.49,1.0,0.5012210820410434,0.6125,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56923.5308498088,50.12210820410434,86.4,62423.66915019121,3592,0.085,1200,0.5,6,0.12,465,141640407117.40057,0,735,156086689228.83945,1918045.0472249836,v27
sweep_0016,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.5,30,0.4,0.49,1.0,0.5012210820410434,0.6125,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56923.5308498088,50.12210820410434,86.4,62423.66915019121,3592,0.085,1200,0.5,6,0.12,465,141640407117.40057,0,735,156086689228.83945,1975095.0220590234,v27
