timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
60,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,9,15,1.0,1.0,9.0,15.0,1.0,1.0,0.01,0.01,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
120,59986.715224772524,59360.48477522749,38.1,48.3,62.14929353977099,37.850706460229006,21,29,1.0,1.0,21.0,29.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
181,60310.71522477252,59036.48477522749,38.1,48.3,62.14929353977099,37.850706460229006,30,39,1.0,1.0,30.0,39.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
241,60417.15000738122,58930.04999261879,38.1,48.3,62.14929353977099,37.850706460229006,42,53,1.0,1.0,42.0,53.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
302,60469.873119509364,58877.32688049065,38.1,48.3,62.14929353977099,37.850706460229006,54,67,1.0,1.0,54.0,67.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
362,60499.93836526839,58847.26163473162,38.1,48.3,62.14929353977099,37.850706460229006,64,78,1.0,1.0,64.0,78.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
423,60531.78564730773,58815.41435269228,38.1,48.3,62.14929353977099,37.850706460229006,79,94,1.0,1.0,79.0,94.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
483,60574.57649644882,58772.623503551185,38.1,48.3,62.14929353977099,37.850706460229006,89,112,1.0,1.0,89.0,112.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
544,60474.77492626506,58872.42507373495,38.1,48.3,62.14929353977099,37.850706460229006,105,128,1.0,1.0,105.0,128.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
604,60531.350417905574,58815.84958209444,50.5,35.9,62.14929353977099,37.850706460229006,118,141,1.0,1.0,118.0,141.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.008204527199969768,0.007028914848696195,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
665,61162.22410508139,58184.9758949186,50.5,35.9,62.14929353977099,37.850706460229006,137,163,1.0,0.46905537459283386,137.0,152.91205211726398,0.00893458573046878,0.00600195229186611,8.93458573046878e-05,6.001952291866109e-05,0.008204527199969768,0.003296950287336325,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
725,61284.32637945271,58062.8736205473,50.5,35.9,62.14929353977099,37.850706460229006,160,183,0.4108416547788873,0.46905537459283386,150.57346647646227,162.2931596091208,0.00893458573046878,0.002815247980549575,8.93458573046878e-05,2.815247980549575e-05,0.0033707615315139703,0.003296950287336325,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
785,61347.06256948794,58000.13743051207,50.5,35.9,62.14929353977099,37.850706460229006,193,207,0.4108416547788873,0.46905537459283386,164.1312410841657,173.550488599349,0.003670699986269627,0.002815247980549575,3.670699986269627e-05,2.815247980549575e-05,0.0033707615315139703,0.003296950287336325,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
846,61381.49732213253,57965.70267786746,50.5,35.9,62.14929353977099,37.850706460229006,232,228,0.4108416547788873,0.46905537459283386,180.1540656205425,183.40065146579866,0.003670699986269627,0.002815247980549575,3.670699986269627e-05,2.815247980549575e-05,0.0033707615315139703,0.003296950287336325,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
906,61449.76680668408,57897.433193315934,50.5,35.9,62.14929353977099,37.850706460229006,266,252,0.4108416547788873,0.46905537459283386,194.12268188302482,194.65798045602685,0.003670699986269627,0.002815247980549575,3.670699986269627e-05,2.815247980549575e-05,0.0033707615315139703,0.003296950287336325,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
967,61476.95850997294,57870.24149002707,50.5,35.9,62.14929353977099,37.850706460229006,303,272,0.4930099857346647,0.46905537459283386,210.55634807418033,204.03908794788367,0.003670699986269627,0.002815247980549575,3.670699986269627e-05,2.815247980549575e-05,0.004044913837816764,0.003296950287336325,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1027,61538.50566069188,57808.69433930812,50.5,35.9,62.14929353977099,37.850706460229006,331,304,0.4930099857346647,0.34726978890163535,224.3606276747508,217.10029056379517,0.0044048399835235515,0.002815247980549575,4.4048399835235514e-05,2.815247980549575e-05,0.004044913837816764,0.0024409297757142976,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1088,61541.12140253279,57806.07859746722,50.5,35.9,62.14929353977099,37.850706460229006,359,332,0.4930099857346647,0.34726978890163535,238.16490727532124,226.82384465304074,0.0044048399835235515,0.0020842967053940303,4.4048399835235514e-05,2.08429670539403e-05,0.004044913837816764,0.0024409297757142976,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1148,61569.71912383653,57777.480876163485,50.5,35.9,62.14929353977099,37.850706460229006,392,360,0.4930099857346647,0.34726978890163535,254.434236804565,236.5473987422863,0.0044048399835235515,0.0020842967053940303,4.4048399835235514e-05,2.08429670539403e-05,0.004044913837816764,0.0024409297757142976,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1209,61613.06598961219,57734.13401038781,0.0,86.4,62.14929353977099,37.850706460229006,421,401,0.4930099857346647,0.34726978890163535,268.7315263908701,250.78546008725303,0.0044048399835235515,0.0020842967053940303,4.4048399835235514e-05,2.08429670539403e-05,2.0426814880974655,0.0010142289230109175,0,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1269,59182.27273448745,60164.92726551255,0.0,86.4,62.14929353977099,37.850706460229006,421,464,0.4930099857346647,0.4292433442217639,268.7315263908701,275.28661055830116,2.2244441916793933,0.000866044580134788,0.022244441916793933,8.66044580134788e-06,2.0426814880974655,0.001253639183807486,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1330,59014.537437526145,60332.66256247386,0.0,86.4,62.14929353977099,37.850706460229006,421,524,0.4930099857346647,0.4292433442217639,268.7315263908701,301.04121121160847,2.2244441916793933,0.0010704757042009395,0.022244441916793933,1.0704757042009396e-05,2.0426814880974655,0.001253639183807486,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1390,58853.772664628115,60493.427335371896,0.0,86.4,62.14929353977099,37.850706460229006,421,582,0.4930099857346647,0.8584866884435278,268.7315263908701,328.5127852418026,2.2244441916793933,0.0010704757042009395,0.022244441916793933,1.0704757042009396e-05,2.0426814880974655,0.002507278367614972,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1451,58697.572685427054,60649.62731457296,0.0,86.4,62.14929353977099,37.850706460229006,421,618,0.4930099857346647,0.8584866884435278,268.7315263908701,359.4183060257693,2.2244441916793933,0.002140951408401879,0.022244441916793933,2.140951408401879e-05,2.0426814880974655,0.002507278367614972,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1511,58538.17870676754,60809.021293232465,0.0,86.4,62.14929353977099,37.850706460229006,421,648,0.4930099857346647,0.8584866884435278,268.7315263908701,385.1729066790749,2.2244441916793933,0.002140951408401879,0.022244441916793933,2.140951408401879e-05,2.0426814880974655,0.002507278367614972,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1572,58416.859823038154,60930.34017696184,0.0,86.4,62.14929353977099,37.850706460229006,421,681,0.4930099857346647,0.8584866884435278,268.7315263908701,413.5029673977111,2.2244441916793933,0.002140951408401879,0.022244441916793933,2.140951408401879e-05,2.0426814880974655,0.002507278367614972,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1632,58293.98846297772,61053.21153702228,0.0,86.4,62.14929353977099,37.850706460229006,421,710,0.4930099857346647,0.8584866884435278,268.7315263908701,438.39908136257316,2.2244441916793933,0.002140951408401879,0.022244441916793933,2.140951408401879e-05,2.0426814880974655,0.002507278367614972,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1693,58194.1381640699,61153.06183593011,0.0,86.4,62.14929353977099,37.850706460229006,421,742,0.4930099857346647,0.915719134339763,268.7315263908701,467.12976920248354,2.2244441916793933,0.002140951408401879,0.022244441916793933,2.140951408401879e-05,2.0426814880974655,0.0026744302587893036,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1754,58087.3061189547,61259.893881045304,0.0,86.4,62.14929353977099,37.850706460229006,421,772,0.4930099857346647,0.915719134339763,268.7315263908701,494.601343232677,2.2244441916793933,0.002283681502295338,0.022244441916793933,2.2836815022953382e-05,2.0426814880974655,0.0026744302587893036,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
1800,57992.677013516775,61354.522986483236,0.0,86.4,62.14929353977099,37.850706460229006,421,791,0.4930099857346647,0.915719134339763,268.7315263908701,512.0000067851328,2.2244441916793933,0.002283681502295338,0.022244441916793933,2.2836815022953382e-05,2.0426814880974655,0.0026744302587893036,12.244441916793933,0,67.679486908301,32.320513091699,4.845,15.129999999999999
