scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.3476465730800991,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61353.046463204904,62.14929353977099,0.0,57994.153536795115,1896,0.085,1211,0.5,2,0.06,790,115850355040.23886,3535446.052093228,421,179807439786.94388,0,v26
sweep_0001,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.3443163097199341,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61371.7684711383,62.14929353977099,0.0,57975.43152886172,1887,0.085,1214,0.5,6,0.06,796,115885707013.63191,3535446.052093228,418,179749393309.68927,0,v26
sweep_0002,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.34761120263591433,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61345.46846651203,62.14929353977099,0.0,58001.73153348798,1899,0.085,1214,0.5,10,0.06,792,115836045830.54233,3467176.196006277,422,179830934917.07272,0,v26
sweep_0003,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.34761120263591433,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61353.21424754197,62.14929353977099,0.0,57993.985752458044,1899,0.085,1214,0.5,2,0.12,792,115850671860.28513,3535446.052093228,422,179806919581.53964,0,v26
sweep_0004,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61376.92836517602,62.14929353977099,0.0,57970.271634824,1887,0.085,1213,0.5,6,0.12,795,115895450222.66063,3535446.052093228,418,179733395363.69104,0,v26
sweep_0005,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.34789777411376754,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61346.56128851897,62.14929353977099,0.0,58000.638711481035,1899,0.085,1213,0.5,10,0.12,791,115838109359.98051,3467176.196006277,422,179827546687.13525,0,v26
sweep_0006,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61371.58401422284,62.14929353977099,0.0,57975.61598577717,1887,0.085,1212,0.5,2,0.18,794,115885358711.4631,3535446.052093228,418,179749965207.4358,0,v26
sweep_0007,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.3435177539223782,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61378.38534720407,62.14929353977099,0.0,57968.81465279593,1881,0.085,1211,0.5,6,0.18,795,115898201380.01903,3535446.052093228,416,179728878077.16635,0,v26
sweep_0008,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.2,0.0,0.6214929353977099,0.34761120263591433,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61350.85912139013,62.14929353977099,0.0,57996.34087860987,1899,0.085,1214,0.5,10,0.18,792,115846224775.47707,3535446.052093228,422,179814221510.7499,0,v26
sweep_0009,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.3467874794069193,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61348.86438717328,62.14929353977099,0.0,57998.33561282673,1896,0.085,1214,0.5,2,0.06,793,115842458203.472,3535446.052093228,421,179820406066.101,0,v26
sweep_0010,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.34707337180544107,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61355.26776508797,62.14929353977099,0.0,57991.932234912034,1896,0.085,1213,0.5,6,0.06,792,115854549430.35703,3467176.196006277,421,179800552771.95648,0,v26
sweep_0011,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61365.56847139206,62.14929353977099,0.0,57981.63152860795,1887,0.085,1212,0.5,10,0.06,794,115873999817.11507,3467176.196006277,418,179768616041.86246,0,v26
sweep_0012,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.3470394736842105,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61348.26504812343,62.14929353977099,0.0,57998.934951876574,1896,0.085,1216,0.5,2,0.12,794,115841326496.96814,3535446.052093228,422,179822264281.34418,0,v26
sweep_0013,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61376.53195547727,62.14929353977099,0.0,57970.668044522725,1887,0.085,1213,0.5,6,0.12,795,115894701699.04219,3535446.052093228,418,179734624408.49448,0,v26
sweep_0014,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61369.79200394919,62.14929353977099,0.0,57977.40799605082,1887,0.085,1212,0.5,10,0.12,794,115881974934.48045,3535446.052093228,418,179755521229.2022,0,v26
sweep_0015,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61366.17223517131,62.14929353977099,0.0,57981.02776482871,1887,0.085,1212,0.5,2,0.18,794,115875139878.64778,3535446.052093228,418,179766744108.00775,0,v26
sweep_0016,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61371.464773369364,62.14929353977099,0.0,57975.73522663064,1887,0.085,1213,0.5,6,0.18,795,115885133554.01768,3535446.052093228,418,179750334906.6429,0,v26
sweep_0017,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.4,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61372.43520361602,62.14929353977099,0.0,57974.76479638398,1887,0.085,1213,0.5,10,0.18,795,115886965976.2868,3535446.052093228,418,179747326145.11258,0,v26
sweep_0018,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61375.29980651226,62.14929353977099,0.0,57971.900193487745,1887,0.085,1213,0.5,2,0.06,795,115892375084.41931,3535446.052093228,418,179738444613.41733,0,v26
sweep_0019,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61372.43520361602,62.14929353977099,0.0,57974.76479638398,1887,0.085,1213,0.5,6,0.06,795,115886965976.2868,3535446.052093228,418,179747326145.11258,0,v26
sweep_0020,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.34545454545454546,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61375.67185258522,62.14929353977099,0.0,57971.528147414785,1887,0.085,1210,0.5,10,0.06,792,115893077603.2367,3535446.052093228,418,179737291106.59323,0,v26
sweep_0021,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61371.66796491963,62.14929353977099,0.0,57975.532035080374,1887,0.085,1213,0.5,2,0.12,795,115885517232.00267,3535446.052093228,418,179749704923.27023,0,v26
sweep_0022,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.34295136026380874,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61374.61538647497,62.14929353977099,0.0,57972.584613525025,1881,0.085,1213,0.5,6,0.12,797,115891082723.096,3535446.052093228,416,179740566617.22525,0,v26
sweep_0023,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.34545454545454546,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61375.67185258522,62.14929353977099,0.0,57971.528147414785,1887,0.085,1210,0.5,10,0.12,792,115893077603.2367,3535446.052093228,418,179737291106.59323,0,v26
sweep_0024,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.34732510288065843,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61341.43207092835,62.14929353977099,0.0,58005.76792907166,1896,0.085,1215,0.5,2,0.18,793,115828424075.98557,3467176.196006277,422,179843449522.6253,0,v26
sweep_0025,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.34408602150537637,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61370.0100474486,62.14929353977099,0.0,57977.189952551416,1881,0.085,1209,0.5,6,0.18,793,115882386656.77098,3467176.196006277,416,179754845198.24048,0,v26
sweep_0026,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.6,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61365.56847139206,62.14929353977099,0.0,57981.63152860795,1887,0.085,1212,0.5,10,0.18,794,115873999817.11507,3467176.196006277,418,179768616041.86246,0,v26
sweep_0027,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61372.26462126208,62.14929353977099,0.0,57974.93537873792,1887,0.085,1213,0.5,2,0.06,795,115886643872.86395,3467176.196006277,418,179747855025.6025,0,v26
sweep_0028,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61374.86870315282,62.14929353977099,0.0,57972.331296847195,1887,0.085,1212,0.5,6,0.06,794,115891561050.23308,3467176.196006277,418,179739781223.86197,0,v26
sweep_0029,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.3483976992604766,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61350.16022664278,62.14929353977099,0.0,57997.03977335723,1902,0.085,1217,0.5,10,0.06,793,115844905082.17274,3467176.196006277,424,179816388392.53952,0,v26
sweep_0030,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61369.19574410747,62.14929353977099,0.0,57978.004255892534,1887,0.085,1212,0.5,2,0.12,794,115880849042.31468,3535446.052093228,418,179757369897.54288,0,v26
sweep_0031,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61370.13530420437,62.14929353977099,0.0,57977.06469579565,1887,0.085,1212,0.5,6,0.12,794,115882623173.7895,3467176.196006277,418,179754456847.08444,0,v26
sweep_0032,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61374.69335520704,62.14929353977099,0.0,57972.50664479298,1887,0.085,1213,0.5,10,0.12,795,115891229948.14532,3535446.052093228,418,179740324879.78726,0,v26
sweep_0033,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.34408602150537637,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61382.64349230384,62.14929353977099,0.0,57964.55650769618,1881,0.085,1209,0.5,2,0.18,793,115906241854.7804,3535446.052093228,416,179715675950.36676,0,v26
sweep_0034,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61373.28824234485,62.14929353977099,0.0,57973.91175765516,1887,0.085,1212,0.5,6,0.18,794,115888576733.13254,3535446.052093228,418,179744681349.03378,0,v26
sweep_0035,v26_dominant,0.65,0.25,0.51,0.16,0.26,0.35,30.0,0.4,0.8,0.0,0.6214929353977099,0.3446001648804617,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61374.69335520704,62.14929353977099,0.0,57972.50664479298,1887,0.085,1213,0.5,10,0.18,795,115891229948.14532,3535446.052093228,418,179740324879.78726,0,v26
