timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1772817827.4475355,pool-foundryusa,v27,48179050.10328065,45224638.36058436,v27,False,0,0.0,Ideology and profit aligned
1772817827.4475355,pool-marapool,v26,7387454.3491696995,6934444.548622934,v27,True,453009.8005467653,453009.8005467653,Ideology: supporting v26 (loss 6.1% < tolerance 13.3%)
1772817827.4475355,pool-luxor,v26,3693727.1745848497,3467222.274311467,v27,True,226504.90027338266,226504.90027338266,Ideology: supporting v26 (loss 6.1% < tolerance 13.3%)
1772817827.4475355,pool-ocean,v26,1927162.0041312263,1808985.5344233746,v27,True,118176.46970785176,118176.46970785176,Ideology: supporting v26 (loss 6.1% < tolerance 13.3%)
1772817827.4475355,pool-antpool,v26,27140864.891514763,25476546.276462518,v27,True,1664318.6150522456,1664318.6150522456,Ideology: supporting v26 (loss 6.1% < tolerance 13.3%)
1772817827.4475355,pool-f2pool,v26,17505054.870858632,16431618.60434565,v27,True,1073436.2665129825,1073436.2665129825,Ideology: supporting v26 (loss 6.1% < tolerance 13.3%)
1772817827.4475355,pool-viabtc,v27,17986845.371891443,16883864.98795149,v27,False,0,0.0,Rational profit maximization
1772817827.4475355,pool-spiderpool,v27,14935505.532017004,14019637.891781155,v27,False,0,0.0,Rational profit maximization
1772818428.1272275,pool-foundryusa,v26,101380007.89334962,124708641.05580947,v26,False,0,0.0,Forced switch: loss 18.7% exceeds tolerance 13.3%
1772818428.1272275,pool-marapool,v26,15544934.543646943,19121991.628557455,v26,False,0,453009.8005467653,Ideology and profit aligned
1772818428.1272275,pool-luxor,v26,7772467.271823471,9560995.814278727,v26,False,0,226504.90027338266,Ideology and profit aligned
1772818428.1272275,pool-ocean,v26,4055200.315733985,4988345.642232379,v26,False,0,118176.46970785176,Ideology and profit aligned
1772818428.1272275,pool-antpool,v26,57110737.77992029,70252534.46143934,v26,False,0,1664318.6150522456,Ideology and profit aligned
1772818428.1272275,pool-f2pool,v26,36834736.20125036,45310806.25027744,v26,False,0,1073436.2665129825,Ideology and profit aligned
1772818428.1272275,pool-viabtc,v26,37848536.28018385,46557892.66083554,v26,False,0,0.0,Rational profit maximization
1772818428.1272275,pool-spiderpool,v26,31427802.446938388,38659678.727300934,v26,False,0,0.0,Rational profit maximization
