timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,38.1,48.3,43.046114164953785,56.9538858350462,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
60,60000,60000,38.1,48.3,43.046114164953785,56.9538858350462,9,15,1.0,1.0,9.0,15.0,1.0,1.0,0.01,0.01,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
120,57694.33369979446,61652.86630020555,38.1,48.3,43.046114164953785,56.9538858350462,20,29,1.0,1.0,20.0,29.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
181,57933.10920999853,61414.09079000146,38.1,48.3,43.046114164953785,56.9538858350462,30,39,1.0,1.0,30.0,39.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
242,58124.76848240315,61222.43151759684,38.1,48.3,43.046114164953785,56.9538858350462,41,52,1.0,1.0,41.0,52.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
302,58168.527248181555,61178.672751818456,38.1,48.3,43.046114164953785,56.9538858350462,53,66,1.0,1.0,53.0,66.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
362,58201.056388870085,61146.14361112991,38.1,48.3,43.046114164953785,56.9538858350462,64,77,1.0,1.0,64.0,77.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
423,58262.41880617743,61084.78119382258,38.1,48.3,43.046114164953785,56.9538858350462,77,92,1.0,1.0,77.0,92.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
484,58274.807072575524,61072.39292742448,38.1,48.3,43.046114164953785,56.9538858350462,88,110,1.0,1.0,88.0,110.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
544,58194.33369979446,61152.86630020555,38.1,48.3,43.046114164953785,56.9538858350462,102,127,1.0,1.0,102.0,127.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.007532128462809062,0.00786112985990976,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
605,58201.32059935777,61145.87940064221,30.0,56.39999999999999,43.046114164953785,56.9538858350462,116,141,1.0,1.0,116.0,141.0,0.007533103934418018,0.00786036038851636,7.533103934418018e-05,7.86036038851636e-05,0.009565803147767508,0.006732137805561018,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
666,57855.33914726528,61491.860852734724,30.0,56.39999999999999,43.046114164953785,56.9538858350462,125,174,1.0,0.4675324675324675,125.0,158.02597402597394,0.009567041996710882,0.006731478843357097,9.567041996710883e-05,6.731478843357097e-05,0.009565803147767508,0.0031474930000025543,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
726,57785.45385764331,61561.74614235669,30.0,56.39999999999999,43.046114164953785,56.9538858350462,134,206,1.0,0.4675324675324675,134.0,172.9870129870128,0.009567041996710882,0.003147184913777344,9.567041996710883e-05,3.1471849137773446e-05,0.009565803147767508,0.0031474930000025543,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
787,57748.33765952032,61598.862340479674,30.0,56.39999999999999,43.046114164953785,56.9538858350462,146,240,0.3687580025608195,0.4675324675324675,144.73751600512162,188.8831168831166,0.009567041996710882,0.003147184913777344,9.567041996710883e-05,3.1471849137773446e-05,0.003527466461660746,0.0031474930000025543,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
847,57729.17178600952,61618.028213990474,30.0,56.39999999999999,43.046114164953785,56.9538858350462,170,274,0.3687580025608195,0.4675324675324675,153.58770806658106,204.7792207792204,0.0035279232971225792,0.003147184913777344,3.527923297122579e-05,3.1471849137773446e-05,0.003527466461660746,0.0031474930000025543,0,0,43.05168898519897,56.948311014801035,2.85,5.699999999999999
