scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,full_switch,0.82,0.25,0.4,0.16,0.25,0.35,30.0,0.4,0.49,1.0,1.0,0.8754863813229572,80.79,100.0,19.21,True,full_switch,302.0,936.0,703.0,-401.0,38.91,4,0,13000,0.05,0.1,2,0.0,0.0,49955.2189849737,100.0,86.4,69391.98101502632,512,0.085,1028,0.5,6,0.12,128,0.0,0,900,346175663274.6526,0,v27
sweep_0001,v27_dominant,full_switch,0.9,0.25,0.4,0.16,0.25,0.35,30.0,0.4,0.49,1.0,1.0,0.8964539007092198,88.61,100.0,11.39,True,full_switch,316.0,1185.0,806.0,-490.0,39.02,4,0,13000,0.05,0.1,2,0.0,0.0,49932.352941176476,100.0,86.4,69414.84705882354,292,0.085,705,0.5,6,0.12,73,0.0,0,632,346289735070.3007,0,v27
sweep_0002,v27_dominant,full_switch,0.95,0.25,0.4,0.16,0.25,0.35,30.0,0.4,0.49,1.0,1.0,0.9774217042971595,94.62,100.0,5.38,True,full_switch,1091.0,1091.0,756.0,335.0,45.77,4,0,13000,0.05,0.1,2,0.0,0.0,48561.15901641869,100.0,86.4,70786.04098358132,120,0.085,1373,0.5,6,0.12,31,0.0,0,1342,353130207981.4057,0,v27
sweep_0003,v27_dominant,full_switch,0.82,0.25,0.4,0.16,0.35,0.35,30.0,0.4,0.49,1.0,1.0,0.9829545454545454,80.79,100.0,19.21,True,full_switch,1020.0,1604.0,1301.0,-281.0,47.19,10,0,13000,0.05,0.1,2,0.0,0.0,48281.804049047234,100.0,86.4,71065.39595095278,177,0.085,1584,0.5,6,0.12,27,0.0,0,1557,354523825654.57666,3761729.4170847656,v27
sweep_0004,v27_dominant,full_switch,0.9,0.25,0.4,0.16,0.35,0.35,30.0,0.4,0.49,1.0,1.0,0.9056795131845842,88.61,100.0,11.39,True,full_switch,302.0,970.0,774.0,-472.0,37.86,4,0,13000,0.05,0.1,2,0.0,0.0,50175.350253807104,100.0,86.4,69171.8497461929,368,0.085,986,0.5,6,0.12,93,0.0,0,893,345077494770.4359,0,v27
sweep_0005,v27_dominant,full_switch,0.95,0.25,0.4,0.16,0.35,0.35,30.0,0.4,0.49,1.0,1.0,0.950143815915628,94.62,100.0,5.38,True,full_switch,974.0,974.0,693.0,281.0,42.06,4,0,13000,0.05,0.1,2,0.0,0.0,49304.85436893204,100.0,86.4,70042.34563106796,208,0.085,1043,0.5,6,0.12,52,0.0,0,991,349420136181.1088,0,v27
sweep_0006,v27_dominant,full_switch,0.82,0.25,0.4,0.16,0.45,0.35,30.0,0.4,0.49,1.0,1.0,0.9157641395908543,80.79,100.0,19.21,True,full_switch,359.0,976.0,694.0,-335.0,39.57,4,0,13000,0.05,0.1,2,0.0,0.0,49816.21621621622,100.0,86.4,69530.98378378378,280,0.085,831,0.5,6,0.12,70,0.0,0,761,346869106161.96844,0,v27
sweep_0007,v27_dominant,full_switch,0.9,0.25,0.4,0.16,0.45,0.35,30.0,0.4,0.49,1.0,1.0,0.950381679389313,88.61,100.0,11.39,True,full_switch,333.0,1120.0,736.0,-403.0,41.96,4,0,13000,0.05,0.1,2,0.0,0.0,49325.051759834365,100.0,86.4,70022.14824016564,204,0.085,1048,0.5,6,0.12,52,0.0,0,996,349319377489.83417,0,v27
sweep_0008,v27_dominant,full_switch,0.95,0.25,0.4,0.16,0.45,0.35,30.0,0.4,0.49,1.0,1.0,0.944386149003148,88.61,100.0,11.39,True,full_switch,319.0,1007.0,838.0,-519.0,41.81,4,0,13000,0.05,0.1,2,0.0,0.0,49355.61308543187,100.0,86.4,69991.58691456815,212,0.085,953,0.5,6,0.12,53,0.0,0,900,349166916254.3353,0,v27
sweep_0009,v27_dominant,full_switch,0.82,0.25,0.6,0.16,0.25,0.35,30.0,0.4,0.49,1.0,1.0,0.939047619047619,80.79,100.0,19.21,True,full_switch,316.0,947.0,623.0,-307.0,40.71,4,0,13000,0.05,0.1,2,0.0,0.0,49580.52309674463,100.0,86.4,69766.67690325537,256,0.085,1050,0.5,6,0.12,64,0.0,0,986,348044908045.2535,0,v27
