timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,94.62269394607095,5.377306053929042,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.01655690182783394,0.0007422092552006958,0,0,94.74882666586255,5.251173334137444,4.845,15.129999999999999,None,None
104,60000,60000,38.1,48.3,94.62269394607095,5.377306053929042,6,10,1.0,1.0,6.0,10.0,1.0,1.0,0.01,0.01,0.01655690182783394,0.0007422092552006958,0,0,94.74882666586255,5.251173334137444,4.845,15.129999999999999,17.333333333333332,10.4
168,63883.523273528524,55463.676726471494,38.1,48.3,94.62269394607095,5.377306053929042,9,12,1.0,1.0,9.0,12.0,0.016578972294989072,0.000724799632041055,0.00016578972294989072,7.247996320410549e-06,0.01655690182783394,0.0007422092552006958,0,0,94.74882666586255,5.251173334137444,4.845,15.129999999999999,21.333333333333332,32.0
240,64269.2375592428,55077.962440757205,38.1,48.3,94.62269394607095,5.377306053929042,9,15,1.0,1.0,9.0,15.0,0.016578972294989072,0.000724799632041055,0.00016578972294989072,7.247996320410549e-06,0.01655690182783394,0.0007422092552006958,0,0,94.74882666586255,5.251173334137444,4.845,15.129999999999999,None,24.0
326,63883.523273528524,55463.676726471494,38.1,48.3,94.82314703499874,5.176852965001263,9,15,1.0,1.0,9.0,15.0,0.016578972294989072,0.000724799632041055,0.00016578972294989072,7.247996320410549e-06,0.01659197673403303,0.0007145414720498639,0,0,94.84664896810222,5.153351031897786,4.845,15.129999999999999,None,None
389,63907.57764419986,55439.62235580016,38.1,48.3,94.82314703499874,5.176852965001263,9,15,1.0,1.0,9.0,15.0,0.016596089058285603,0.0007112975889437939,0.00016596089058285604,7.1129758894379385e-06,0.01659197673403303,0.0007145414720498639,0,0,94.84664896810222,5.153351031897786,4.845,15.129999999999999,None,None
450,63907.57764419986,55439.62235580016,38.1,48.3,94.82314703499874,5.176852965001263,9,15,1.0,1.0,9.0,15.0,0.016596089058285603,0.0007112975889437939,0.00016596089058285604,7.1129758894379385e-06,0.01659197673403303,0.0007145414720498639,0,0,94.84664896810222,5.153351031897786,4.845,15.129999999999999,None,None
511,63907.57764419986,55439.62235580016,38.1,48.3,94.82314703499874,5.176852965001263,9,15,1.0,1.0,9.0,15.0,0.016596089058285603,0.0007112975889437939,0.00016596089058285604,7.1129758894379385e-06,0.01659197673403303,0.0007145414720498639,0,0,94.84664896810222,5.153351031897786,4.845,15.129999999999999,None,None
580,63907.57764419986,55439.62235580016,38.1,48.3,94.82314703499874,5.176852965001263,10,15,1.0,1.0,9.0,15.0,0.016596089058285603,0.0007112975889437939,0.00016596089058285604,7.1129758894379385e-06,0.01659197673403303,0.0007145414720498639,0,0,94.84664896810222,5.153351031897786,4.845,15.129999999999999,69.0,None
649,63907.57764419986,55439.62235580016,38.1,48.3,94.82349943152907,5.176500568470929,10,16,1.0,1.0,9.0,15.0,0.016596089058285603,0.0007112975889437939,0.00016596089058285604,7.1129758894379385e-06,0.01659203839571812,0.0007144928320870848,0,0,94.84677480098563,5.1532251990143685,5.015,14.959999999999999,None,69.0
778,63907.6199317835,55439.58006821651,50.5,35.9,94.82349943152907,5.176500568470929,11,16,1.0,1.0,10.0,15.0,0.01659611107628795,0.000711280220705917,0.00016596111076287948,7.11280220705917e-06,0.01251795372033387,0.000961281442612986,0,0,94.84677480098563,5.1532251990143685,5.015,14.959999999999999,129.0,None
841,64682.81993178349,54664.38006821652,50.5,35.9,94.82349943152907,5.176500568470929,11,16,1.0,1.0,10.0,15.0,0.012521026376367738,0.0009569591827324733,0.00012521026376367738,9.569591827324733e-06,0.01251795372033387,0.000961281442612986,0,0,94.84677480098563,5.1532251990143685,5.015,14.959999999999999,None,None
903,64682.81993178349,54664.38006821652,50.5,35.9,94.82349943152907,5.176500568470929,11,16,1.0,1.0,10.0,15.0,0.012521026376367738,0.0009569591827324733,0.00012521026376367738,9.569591827324733e-06,0.01251795372033387,0.000961281442612986,0,0,94.84677480098563,5.1532251990143685,5.015,14.959999999999999,None,None
990,64682.81993178349,54664.38006821652,50.5,35.9,99.43392047686795,0.5660795231320439,13,17,1.0,1.0,12.0,16.0,0.012521026376367738,0.0009569591827324733,0.00012521026376367738,9.569591827324733e-06,0.013126590161962767,0.00010512154561412145,0,0,99.48379051812643,0.5162094818735732,5.015,14.959999999999999,43.5,87.0
