timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1774177704.311211,pool-foundryusa,v27,47064008.79428756,46339519.198147476,v27,False,0,0.0,Ideology and profit aligned
1774177704.311211,pool-marapool,v26,7216481.348457424,7105392.943715945,v27,True,111088.40474147908,111088.40474147908,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774177704.311211,pool-luxor,v26,3608240.674228712,3552696.4718579724,v27,True,55544.20237073954,55544.20237073954,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774177704.311211,pool-ocean,v26,1882560.3517715028,1853580.767925899,v27,True,28979.583845603745,28979.583845603745,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774177704.311211,pool-antpool,v26,26512724.954115324,26104595.814956404,v27,True,408129.13915891945,408129.13915891945,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774177704.311211,pool-f2pool,v26,17099923.195257813,16836691.97532691,v27,True,263231.2199309021,263231.2199309021,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774177704.311211,pool-viabtc,v27,17570563.283200685,17300087.167308386,v27,False,0,0.0,Rational profit maximization
1774177704.311211,pool-spiderpool,v27,14589842.726229146,14365250.95142572,v27,False,0,0.0,Rational profit maximization
1774178304.8897183,pool-foundryusa,v26,97361223.62601522,121983551.90191543,v26,False,0,0.0,Forced switch: loss 20.2% exceeds tolerance 13.0%
1774178304.8897183,pool-marapool,v26,14928720.955989,18704144.624960367,v26,False,0,111088.40474147908,Ideology and profit aligned
1774178304.8897183,pool-luxor,v26,7464360.4779945,9352072.312480183,v26,False,0,55544.20237073954,Ideology and profit aligned
1774178304.8897183,pool-ocean,v26,3894448.9450406088,4879342.0760766165,v26,False,0,28979.583845603745,Ideology and profit aligned
1774178304.8897183,pool-antpool,v26,54846822.64265524,68717400.9047457,v26,False,0,408129.13915891945,Ideology and profit aligned
1774178304.8897183,pool-f2pool,v26,35374577.9174522,44320690.52436261,v26,False,0,263231.2199309021,Ideology and profit aligned
1774178304.8897183,pool-viabtc,v26,36348190.153712355,45540526.04338176,v26,False,0,0.0,Rational profit maximization
1774178304.8897183,pool-spiderpool,v26,30181979.324064724,37814901.08959378,v26,False,0,0.0,Rational profit maximization
