scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,0.78,0.25,0.2,0.16,0.05,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52203.14985085656,76.21724326416383,86.4,67144.05014914346,564,0.085,934,0.5,6,0.12,142,61936427140.54876,0,792,255298355906.21945,0,v27
sweep_0001,v27_dominant,0.78,0.25,0.2,0.16,0.15,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52203.49341950462,76.21724326416383,86.4,67143.7065804954,564,0.085,934,0.5,6,0.12,142,61936834767.57126,0,792,255297049572.88397,0,v27
sweep_0002,v27_dominant,0.78,0.25,0.2,0.16,0.25,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52207.69165009836,76.21724326416383,86.4,67139.50834990165,564,0.085,934,0.5,6,0.12,142,61941815758.25919,0,792,255281086857.41,0,v27
sweep_0003,v27_dominant,0.78,0.25,0.2,0.16,0.35,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52207.69165009836,76.21724326416383,86.4,67139.50834990165,564,0.085,934,0.5,6,0.12,142,61941815758.25919,0,792,255281086857.41,0,v27
sweep_0004,v27_dominant,0.78,0.25,0.2,0.16,0.45,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52207.69165009836,76.21724326416383,86.4,67139.50834990165,564,0.085,934,0.5,6,0.12,142,61941815758.25919,0,792,255281086857.41,0,v27
sweep_0005,v27_dominant,0.78,0.25,0.4,0.16,0.05,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52206.50780428679,76.21724326416383,86.4,67140.69219571321,564,0.085,934,0.5,6,0.12,142,61940411184.396065,0,792,255285588133.22922,0,v27
sweep_0006,v27_dominant,0.78,0.25,0.4,0.16,0.15,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52208.1841683901,76.21724326416383,86.4,67139.01583160991,564,0.085,934,0.5,6,0.12,142,61942400106.58643,0,792,255279214180.53314,0,v27
sweep_0007,v27_dominant,0.78,0.25,0.4,0.16,0.25,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52207.69165009836,76.21724326416383,86.4,67139.50834990165,564,0.085,934,0.5,6,0.12,142,61941815758.25919,0,792,255281086857.41,0,v27
sweep_0008,v27_dominant,0.78,0.25,0.4,0.16,0.35,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8482905982905983,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52211.88262438089,76.21724326416383,86.4,67135.31737561912,564,0.085,936,0.5,6,0.12,142,61946788139.6967,0,794,255265151732.23367,0,v27
sweep_0009,v26_dominant,0.78,0.25,0.4,0.16,0.45,0.35,30.0,0.4,0.49,0.34722222222222227,0.7618100976471542,0.4581818181818182,7,0,1800,0.17,0.14,2,23.818990235284577,56.39999999999999,57384.19575383014,76.18100976471541,30.0,61963.00424616986,1469,0.085,1375,0.5,6,0.12,745,68187205576.69249,10337887.744984997,630,235486729427.7172,8519104.180349171,v26
