timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,62.15078456243832,37.84921543756168,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,None,None
71,60000,60000,38.1,48.3,62.15078456243832,37.84921543756168,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0.01,0.01,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,71.0,71.0
180,60000,60000,38.1,48.3,62.15078456243832,37.84921543756168,2,1,1.0,1.0,1.0,0.0,0.011842333143847195,0.0044611547388424145,0.00011842333143847194,4.461154738842414e-05,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,109.0,None
242,60000,60000,38.1,48.3,62.15078456243832,37.84921543756168,2,1,1.0,1.0,1.0,0.0,0.011842333143847195,0.0044611547388424145,0.00011842333143847194,4.461154738842414e-05,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,None,None
316,60000,60000,38.1,48.3,62.15078456243832,37.84921543756168,2,1,1.0,1.0,1.0,0.0,0.011842333143847195,0.0044611547388424145,0.00011842333143847194,4.461154738842414e-05,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,None,None
398,60000,60000,38.1,48.3,62.15078456243832,37.84921543756168,2,2,1.0,1.0,1.0,0.0,0.011842333143847195,0.0044611547388424145,0.00011842333143847194,4.461154738842414e-05,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,None,82.0
463,60000,60000,38.1,48.3,62.15078456243832,37.84921543756168,2,3,1.0,1.0,1.0,1.0,0.011842333143847195,0.0044611547388424145,0.00011842333143847194,4.461154738842414e-05,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,None,65.0
540,60000,60000,38.1,48.3,62.15078456243832,37.84921543756168,2,4,1.0,1.0,1.0,2.0,0.011842333143847195,0.0044611547388424145,0.00011842333143847194,4.461154738842414e-05,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,None,77.0
641,59686.8941474926,59660.30585250741,38.1,48.3,62.15078456243832,37.84921543756168,3,4,1.0,1.0,2.0,2.0,0.011842333143847195,0.0044611547388424145,0.00011842333143847194,4.461154738842414e-05,0.010875027919936714,0.00522418432540534,0,0,67.67893391708671,32.32106608291329,0.0,19.975,101.0,None
732,60886.8941474926,58460.3058525074,50.5,35.9,62.15078456243832,37.84921543756168,5,6,1.0,1.0,3.0,3.0,0.011842333143847195,0.0044611547388424145,0.00011842333143847194,4.461154738842414e-05,0.008204724034645323,0.00702863796426401,0,0,67.67893391708671,32.32106608291329,0.0,19.975,45.5,45.5
897,61482.094147492615,57865.105852507404,50.5,35.9,62.15078456243832,37.84921543756168,9,10,1.0,1.0,7.0,7.0,0.00893451272832828,0.006002054982899405,8.93451272832828e-05,6.0020549828994045e-05,0.008204724034645323,0.00702863796426401,0,0,67.67893391708671,32.32106608291329,0.0,19.975,41.25,41.25
1032,61482.094147492615,57865.105852507404,50.5,35.9,65.15592850251593,34.844071497484066,11,11,1.0,1.0,8.0,8.0,0.00893451272832828,0.006002054982899405,8.93451272832828e-05,6.0020549828994045e-05,0.008601442706602765,0.00647057966527095,0,0,69.04579186848878,30.95420813151123,0.0,19.975,67.5,135.0
1096,61842.711420301915,57504.48857969809,50.5,35.9,65.15592850251593,34.844071497484066,11,11,1.0,1.0,8.0,8.0,0.009114956022242743,0.005748228065275995,9.114956022242743e-05,5.7482280652759946e-05,0.008601442706602765,0.00647057966527095,0,0,69.04579186848878,30.95420813151123,0.0,19.975,None,None
