timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1776431829.6612847,pool-foundryusa,v27,47231719.95173147,46171946.12985891,v27,False,0,0.0,Ideology and profit aligned
1776431829.6612847,pool-marapool,v26,7242197.0592654925,7079698.406578368,v27,True,162498.6526871249,162498.6526871249,Ideology: supporting v26 (loss 2.2% < tolerance 17.4%)
1776431829.6612847,pool-luxor,v26,3621098.5296327462,3539849.203289184,v27,True,81249.32634356245,81249.32634356245,Ideology: supporting v26 (loss 2.2% < tolerance 17.4%)
1776431829.6612847,pool-ocean,v26,1889268.7980692592,1846877.845194357,v27,True,42390.95287490217,42390.95287490217,Ideology: supporting v26 (loss 2.2% < tolerance 17.4%)
1776431829.6612847,pool-antpool,v26,26607202.23947539,26010196.319820523,v27,True,597005.9196548685,597005.9196548685,Ideology: supporting v26 (loss 2.2% < tolerance 17.4%)
1776431829.6612847,pool-f2pool,v26,17160858.2491291,16775807.093848735,v27,True,385051.15528036654,385051.15528036654,Ideology: supporting v26 (loss 2.2% < tolerance 17.4%)
1776431829.6612847,pool-viabtc,v27,17633175.448646415,17237526.555147324,v27,False,0,0.0,Rational profit maximization
1776431829.6612847,pool-spiderpool,v27,14641833.18503676,14313303.300256267,v27,False,0,0.0,Rational profit maximization
1776432545.3208663,pool-foundryusa,v27,49544511.41385339,43858728.37972681,v27,False,0,0.0,Ideology and profit aligned
1776432545.3208663,pool-marapool,v26,7596825.08345752,6725005.018224776,v27,True,871820.0652327444,1034318.7179198693,Ideology: supporting v26 (loss 11.5% < tolerance 17.4%)
1776432545.3208663,pool-luxor,v26,3798412.54172876,3362502.509112388,v27,True,435910.0326163722,517159.3589599347,Ideology: supporting v26 (loss 11.5% < tolerance 17.4%)
1776432545.3208663,pool-ocean,v26,1981780.4565541358,1754349.1351890727,v27,True,227431.32136506308,269822.27423996525,Ideology: supporting v26 (loss 11.5% < tolerance 17.4%)
1776432545.3208663,pool-antpool,v26,27910074.763137408,24707083.653912768,v27,True,3202991.10922464,3799997.0288795084,Ideology: supporting v26 (loss 11.5% < tolerance 17.4%)
1776432545.3208663,pool-f2pool,v26,18001172.48036673,15935337.977967404,v27,True,2065834.5023993254,2450885.657679692,Ideology: supporting v26 (loss 11.5% < tolerance 17.4%)
1776432545.3208663,pool-viabtc,v27,18496617.59450526,16373925.261764672,v27,False,0,0.0,Rational profit maximization
1776432545.3208663,pool-spiderpool,v27,15358798.538294554,13596205.797715314,v27,False,0,0.0,Rational profit maximization
1776433169.8715029,pool-foundryusa,v27,49261418.511387065,44141818.625763565,v27,False,0,0.0,Ideology and profit aligned
1776433169.8715029,pool-marapool,v26,7553417.505079348,6768412.189283745,v27,True,785005.3157956023,1819324.0337154716,Ideology: supporting v26 (loss 10.4% < tolerance 17.4%)
1776433169.8715029,pool-luxor,v26,3776708.752539674,3384206.0946418727,v27,True,392502.65789780114,909662.0168577358,Ideology: supporting v26 (loss 10.4% < tolerance 17.4%)
1776433169.8715029,pool-ocean,v26,1970456.7404554826,1765672.7450305428,v27,True,204783.99542493979,474606.26966490503,Ideology: supporting v26 (loss 10.4% < tolerance 17.4%)
1776433169.8715029,pool-antpool,v26,27750599.094748043,24866557.825846806,v27,True,2884041.2689012364,6684038.297780745,Ideology: supporting v26 (loss 10.4% < tolerance 17.4%)
1776433169.8715029,pool-f2pool,v26,17898315.392470628,16038194.10069409,v27,True,1860121.291776538,4311006.94945623,Ideology: supporting v26 (loss 10.4% < tolerance 17.4%)
1776433169.8715029,pool-viabtc,v27,18390929.5775845,16479612.286951732,v27,False,0,0.0,Rational profit maximization
1776433169.8715029,pool-spiderpool,v27,15271039.738529991,13683963.773986708,v27,False,0,0.0,Rational profit maximization
1776433770.6719677,pool-foundryusa,v27,49754000.16167849,43649241.59765959,v27,False,0,0.0,Ideology and profit aligned
1776433770.6719677,pool-marapool,v26,7628946.691457368,6692883.711641137,v27,True,936062.9798162319,2755387.0135317035,Ideology: supporting v26 (loss 12.3% < tolerance 17.4%)
1776433770.6719677,pool-luxor,v26,3814473.345728684,3346441.8558205683,v27,True,468031.48990811594,1377693.5067658518,Ideology: supporting v26 (loss 12.3% < tolerance 17.4%)
1776433770.6719677,pool-ocean,v26,1990160.0064671403,1745969.6639063838,v27,True,244190.3425607565,718796.6122256615,Ideology: supporting v26 (loss 12.3% < tolerance 17.4%)
1776433770.6719677,pool-antpool,v26,28028086.75774555,24589072.766681567,v27,True,3439013.9910639822,10123052.288844727,Ideology: supporting v26 (loss 12.3% < tolerance 17.4%)
1776433770.6719677,pool-f2pool,v26,18077286.72540985,15859224.44714965,v27,True,2218062.278260201,6529069.227716431,Ideology: supporting v26 (loss 12.3% < tolerance 17.4%)
1776433770.6719677,pool-viabtc,v27,18574826.727026638,16295716.863126244,v27,False,0,0.0,Rational profit maximization
1776433770.6719677,pool-spiderpool,v27,15423740.050120335,13531264.895274475,v27,False,0,0.0,Rational profit maximization
1776434374.3180356,pool-foundryusa,v27,51615588.489959404,41787626.765565395,v27,False,0,0.0,Ideology and profit aligned
1776434374.3180356,pool-marapool,v27,7914390.235127108,6407436.1040533595,v27,False,0,2755387.0135317035,Forced switch: loss 19.0% exceeds tolerance 17.4%
1776434374.3180356,pool-luxor,v27,3957195.117563554,3203718.0520266797,v27,False,0,1377693.5067658518,Forced switch: loss 19.0% exceeds tolerance 17.4%
1776434374.3180356,pool-ocean,v27,2064623.5395983765,1671505.070622616,v27,False,0,718796.6122256615,Forced switch: loss 19.0% exceeds tolerance 17.4%
1776434374.3180356,pool-antpool,v27,29076781.516010463,23540363.077935167,v27,False,0,10123052.288844727,Forced switch: loss 19.0% exceeds tolerance 17.4%
1776434374.3180356,pool-f2pool,v27,18753663.818018585,15182837.72482209,v27,False,0,6529069.227716431,Forced switch: loss 19.0% exceeds tolerance 17.4%
1776434374.3180356,pool-viabtc,v27,19269819.702918176,15600713.992477741,v27,False,0,0.0,Rational profit maximization
1776434374.3180356,pool-spiderpool,v27,16000832.431887418,12954164.297325276,v27,False,0,0.0,Rational profit maximization
1776435029.854867,pool-foundryusa,v27,60757773.38482645,32683701.587389573,v27,False,0,0.0,Ideology and profit aligned
1776435029.854867,pool-marapool,v27,9316191.919006724,5011500.910066402,v27,False,0,2755387.0135317035,Forced switch: loss 46.2% exceeds tolerance 17.4%
1776435029.854867,pool-luxor,v27,4658095.959503362,2505750.455033201,v27,False,0,1377693.5067658518,Forced switch: loss 46.2% exceeds tolerance 17.4%
