timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1775994803.4579868,pool-foundryusa,v27,47432556.16871232,45971090.72993757,v27,False,0,0.0,Ideology and profit aligned
1775994803.4579868,pool-marapool,v26,7272991.94586922,7048900.578590428,v27,True,224091.36727879196,224091.36727879196,Ideology: supporting v26 (loss 3.1% < tolerance 17.4%)
1775994803.4579868,pool-luxor,v26,3636495.97293461,3524450.289295214,v27,True,112045.68363939598,112045.68363939598,Ideology: supporting v26 (loss 3.1% < tolerance 17.4%)
1775994803.4579868,pool-ocean,v26,1897302.246748493,1838843.6291975034,v27,True,58458.61755098961,58458.61755098961,Ideology: supporting v26 (loss 3.1% < tolerance 17.4%)
1775994803.4579868,pool-antpool,v26,26720339.97504127,25897047.77786483,v27,True,823292.1971764416,823292.1971764416,Ideology: supporting v26 (loss 3.1% < tolerance 17.4%)
1775994803.4579868,pool-f2pool,v26,17233828.74129881,16702829.631877318,v27,True,530999.1094214916,530999.1094214916,Ideology: supporting v26 (loss 3.1% < tolerance 17.4%)
1775994803.4579868,pool-viabtc,v27,17708154.302985925,17162540.53917669,v27,False,0,0.0,Rational profit maximization
1775994803.4579868,pool-spiderpool,v27,14704092.412300821,14251038.12628065,v27,False,0,0.0,Rational profit maximization
1775995404.379942,pool-foundryusa,v27,49137769.066837445,44265494.978416115,v27,False,0,0.0,Ideology and profit aligned
1775995404.379942,pool-marapool,v26,7534457.923581742,6787375.896690469,v27,True,747082.0268912725,971173.3941700645,Ideology: supporting v26 (loss 9.9% < tolerance 17.4%)
1775995404.379942,pool-luxor,v26,3767228.961790871,3393687.9483452346,v27,True,373541.01344563626,485586.69708503224,Ideology: supporting v26 (loss 9.9% < tolerance 17.4%)
1775995404.379942,pool-ocean,v26,1965510.7626734981,1770619.7991366447,v27,True,194890.96353685344,253349.58108784305,Ideology: supporting v26 (loss 9.9% < tolerance 17.4%)
1775995404.379942,pool-antpool,v26,27680943.240985096,24936228.83784107,v27,True,2744714.4031440243,3568006.600320466,Ideology: supporting v26 (loss 9.9% < tolerance 17.4%)
1775995404.379942,pool-f2pool,v26,17853389.427617602,16083129.842157848,v27,True,1770259.5854597539,2301258.6948812455,Ideology: supporting v26 (loss 9.9% < tolerance 17.4%)
1775995404.379942,pool-viabtc,v27,18344767.11828598,16525784.791942012,v27,False,0,0.0,Rational profit maximization
1775995404.379942,pool-spiderpool,v27,15232708.410719614,13722303.443308998,v27,False,0,0.0,Rational profit maximization
1775996005.0836558,pool-foundryusa,v27,49298785.726143524,44104479.520078614,v27,False,0,0.0,Ideology and profit aligned
1775996005.0836558,pool-marapool,v26,7559147.1446753405,6762686.859745387,v27,True,796460.2849299535,1767633.679100018,Ideology: supporting v26 (loss 10.5% < tolerance 17.4%)
1775996005.0836558,pool-luxor,v26,3779573.5723376703,3381343.4298726935,v27,True,398230.14246497676,883816.839550009,Ideology: supporting v26 (loss 10.5% < tolerance 17.4%)
1775996005.0836558,pool-ocean,v26,1971951.4290457414,1764179.1808031448,v27,True,207772.24824259663,461121.8293304397,Ideology: supporting v26 (loss 10.5% < tolerance 17.4%)
1775996005.0836558,pool-antpool,v26,27771649.292394184,24845523.462977618,v27,True,2926125.8294165656,6494132.429737031,Ideology: supporting v26 (loss 10.5% < tolerance 17.4%)
1775996005.0836558,pool-f2pool,v26,17911892.147165477,16024627.558961898,v27,True,1887264.5882035792,4188523.2830848247,Ideology: supporting v26 (loss 10.5% < tolerance 17.4%)
1775996005.0836558,pool-viabtc,v27,18404880.004426915,16465672.354162682,v27,False,0,0.0,Rational profit maximization
1775996005.0836558,pool-spiderpool,v27,15282623.575104497,13672388.651224375,v27,False,0,0.0,Rational profit maximization
1775996605.1605153,pool-foundryusa,v27,49414624.72588655,43988641.38433938,v27,False,0,0.0,Ideology and profit aligned
1775996605.1605153,pool-marapool,v26,7576909.124635937,6744925.012265369,v27,True,831984.1123705674,2599617.7914705854,Ideology: supporting v26 (loss 11.0% < tolerance 17.4%)
1775996605.1605153,pool-luxor,v26,3788454.5623179683,3372462.5061326846,v27,True,415992.0561852837,1299808.8957352927,Ideology: supporting v26 (loss 11.0% < tolerance 17.4%)
1775996605.1605153,pool-ocean,v26,1976584.9890354625,1759545.6553735752,v27,True,217039.33366188733,678161.162992327,Ideology: supporting v26 (loss 11.0% < tolerance 17.4%)
1775996605.1605153,pool-antpool,v26,27836905.262249425,24780267.97984451,v27,True,3056637.2824049145,9550769.712141946,Ideology: supporting v26 (loss 11.0% < tolerance 17.4%)
1775996605.1605153,pool-f2pool,v26,17953980.31707211,15982539.702976637,v27,True,1971440.6140954718,6159963.8971802965,Ideology: supporting v26 (loss 11.0% < tolerance 17.4%)
1775996605.1605153,pool-viabtc,v27,18448126.564330976,16422426.116820026,v27,False,0,0.0,Rational profit maximization
1775996605.1605153,pool-spiderpool,v27,15318533.665024832,13636478.829145208,v27,False,0,0.0,Rational profit maximization
1775997205.8542662,pool-foundryusa,v27,49600194.18821129,43803073.30611424,v27,False,0,0.0,Ideology and profit aligned
1775997205.8542662,pool-marapool,v26,7605363.108859064,6716471.240270849,v27,True,888891.8685882147,3488509.6600588,Ideology: supporting v26 (loss 11.7% < tolerance 17.4%)
1775997205.8542662,pool-luxor,v26,3802681.554429532,3358235.6201354247,v27,True,444445.93429410737,1744254.8300294,Ideology: supporting v26 (loss 11.7% < tolerance 17.4%)
1775997205.8542662,pool-ocean,v26,1984007.767528452,1752122.93224457,v27,True,231884.83528388198,910045.998276209,Ideology: supporting v26 (loss 11.7% < tolerance 17.4%)
1775997205.8542662,pool-antpool,v26,27941442.726025693,24675731.295777686,v27,True,3265711.430248007,12816481.142389953,Ideology: supporting v26 (loss 11.7% < tolerance 17.4%)
1775997205.8542662,pool-f2pool,v26,18021403.888383433,15915116.63455484,v27,True,2106287.2538285926,8266251.151008889,Ideology: supporting v26 (loss 11.7% < tolerance 17.4%)
1775997205.8542662,pool-viabtc,v27,18517405.830265548,16353147.36761598,v27,False,0,0.0,Rational profit maximization
1775997205.8542662,pool-spiderpool,v27,15376060.198345505,13578952.724895418,v27,False,0,0.0,Rational profit maximization
1775997806.2342134,pool-foundryusa,v27,50232366.55290626,43170888.44437373,v27,False,0,0.0,Ideology and profit aligned
1775997806.2342134,pool-marapool,v26,7702296.20477896,6619536.228137303,v27,True,1082759.9766416568,4571269.636700457,Ideology: supporting v26 (loss 14.1% < tolerance 17.4%)
1775997806.2342134,pool-luxor,v26,3851148.10238948,3309768.1140686516,v27,True,541379.9883208284,2285634.8183502285,Ideology: supporting v26 (loss 14.1% < tolerance 17.4%)
1775997806.2342134,pool-ocean,v26,2009294.662116251,1726835.5377749489,v27,True,282459.1243413021,1192505.122617511,Ideology: supporting v26 (loss 14.1% < tolerance 17.4%)
1775997806.2342134,pool-antpool,v26,28297566.491470523,24319600.490330525,v27,True,3977966.0011399984,16794447.14352995,Ideology: supporting v26 (loss 14.1% < tolerance 17.4%)
1775997806.2342134,pool-f2pool,v26,18251093.18088927,15685422.80145578,v27,True,2565670.3794334903,10831921.53044238,Ideology: supporting v26 (loss 14.1% < tolerance 17.4%)
1775997806.2342134,pool-viabtc,v27,18753416.846418332,16117131.685899522,v27,False,0,0.0,Rational profit maximization
1775997806.2342134,pool-spiderpool,v27,15572033.631400943,13382975.417755857,v27,False,0,0.0,Rational profit maximization
1775998406.5914664,pool-foundryusa,v27,50284771.165935144,43118484.289093,v27,False,0,0.0,Ideology and profit aligned
1775998406.5914664,pool-marapool,v26,7710331.578776723,6611500.924327593,v27,True,1098830.6544491295,5670100.291149586,Ideology: supporting v26 (loss 14.3% < tolerance 17.4%)
1775998406.5914664,pool-luxor,v26,3855165.7893883614,3305750.4621637966,v27,True,549415.3272245647,2835050.145574793,Ideology: supporting v26 (loss 14.3% < tolerance 17.4%)
1775998406.5914664,pool-ocean,v26,2011390.8466374064,1724739.3715637205,v27,True,286651.47507368587,1479156.597691197,Ideology: supporting v26 (loss 14.3% < tolerance 17.4%)
1775998406.5914664,pool-antpool,v26,28327087.75681013,24290079.482855722,v27,True,4037008.2739544064,20831455.417484358,Ideology: supporting v26 (loss 14.3% < tolerance 17.4%)
1775998406.5914664,pool-f2pool,v26,18270133.5236231,15666382.625037126,v27,True,2603750.898585975,13435672.429028355,Ideology: supporting v26 (loss 14.3% < tolerance 17.4%)
1775998406.5914664,pool-viabtc,v27,18772981.235282455,16097567.467928056,v27,False,0,0.0,Rational profit maximization
1775998406.5914664,pool-spiderpool,v27,15588279.061439898,13366730.129618835,v27,False,0,0.0,Rational profit maximization
1775999007.47694,pool-foundryusa,v27,50366297.47407392,43036958.69307706,v27,False,0,0.0,Ideology and profit aligned
1775999007.47694,pool-marapool,v26,7722832.279358001,6599000.332938481,v27,True,1123831.9464195203,6793932.237569107,Ideology: supporting v26 (loss 14.6% < tolerance 17.4%)
1775999007.47694,pool-luxor,v26,3861416.1396790007,3299500.1664692406,v27,True,561915.9732097602,3396966.1187845534,Ideology: supporting v26 (loss 14.6% < tolerance 17.4%)
1775999007.47694,pool-ocean,v26,2014651.8989629573,1721478.3477230822,v27,True,293173.55123987515,1772330.148931072,Ideology: supporting v26 (loss 14.6% < tolerance 17.4%)
1775999007.47694,pool-antpool,v26,28373014.24372831,24244153.39710007,v27,True,4128860.8466282412,24960316.2641126,Ideology: supporting v26 (loss 14.6% < tolerance 17.4%)
1775999007.47694,pool-f2pool,v26,18299754.748913527,15636761.65848466,v27,True,2662993.0904288664,16098665.519457221,Ideology: supporting v26 (loss 14.6% < tolerance 17.4%)
1775999007.47694,pool-viabtc,v27,18803417.72365426,16067131.24541543,v27,False,0,0.0,Rational profit maximization
1775999007.47694,pool-spiderpool,v27,15613552.216962919,13341457.194853887,v27,False,0,0.0,Rational profit maximization
1775999607.743214,pool-foundryusa,v27,50401516.39169766,43001740.083086416,v27,False,0,0.0,Ideology and profit aligned
1775999607.743214,pool-marapool,v26,7728232.5133936405,6593600.146073252,v27,True,1134632.3673203886,7928564.604889495,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1775999607.743214,pool-luxor,v26,3864116.2566968203,3296800.073036626,v27,True,567316.1836601943,3964282.3024447476,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1775999607.743214,pool-ocean,v26,2016060.6556679066,1720069.6033234573,v27,True,295991.05234444933,2068321.2012755214,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1775999607.743214,pool-antpool,v26,28392854.23398968,24224313.580138683,v27,True,4168540.653850995,29128856.917963594,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1775999607.743214,pool-f2pool,v26,18312550.95565015,15623965.5635214,v27,True,2688585.3921287507,18787250.91158597,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1775999607.743214,pool-viabtc,v27,18816566.119567122,16053982.964352261,v27,False,0,0.0,Rational profit maximization
1775999607.743214,pool-spiderpool,v27,15624470.081426278,13330539.425756793,v27,False,0,0.0,Rational profit maximization
1776000208.443424,pool-foundryusa,v27,50401648.690740585,43001607.785199165,v27,False,0,0.0,Ideology and profit aligned
1776000208.443424,pool-marapool,v26,7728252.799246889,6593579.860397205,v27,True,1134672.9388496839,9063237.54373918,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1776000208.443424,pool-luxor,v26,3864126.3996234443,3296789.9301986024,v27,True,567336.4694248419,4531618.77186959,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1776000208.443424,pool-ocean,v26,2016065.9476296236,1720064.311407967,v27,True,296001.6362216566,2364322.837497178,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1776000208.443424,pool-antpool,v26,28392928.762450524,24224239.052328862,v27,True,4168689.7101216614,33297546.628085256,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1776000208.443424,pool-f2pool,v26,18312599.024302408,15623917.495289028,v27,True,2688681.5290133804,21475932.440599352,Ideology: supporting v26 (loss 14.7% < tolerance 17.4%)
1776000208.443424,pool-viabtc,v27,18816615.511209812,16053933.57314102,v27,False,0,0.0,Rational profit maximization
