timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,55.97627339684653,44.02372660315347,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,None,None
60,60000,60000,38.1,48.3,55.97627339684653,44.02372660315347,9,15,1.0,1.0,9.0,15.0,1.0,1.0,0.01,0.01,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,6.666666666666667,4.0
120,59245.95280762159,60101.247192378425,38.1,48.3,55.97627339684653,44.02372660315347,20,29,1.0,1.0,20.0,29.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,5.454545454545454,4.285714285714286
180,59484.72831782567,59862.47168217434,38.1,48.3,55.97627339684653,44.02372660315347,29,39,1.0,1.0,29.0,39.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,6.666666666666667,6.0
241,59616.5410429157,59730.6589570843,38.1,48.3,55.97627339684653,44.02372660315347,41,52,1.0,1.0,41.0,52.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,5.083333333333333,4.6923076923076925
301,59720.14635600868,59627.05364399132,38.1,48.3,55.97627339684653,44.02372660315347,54,67,1.0,1.0,54.0,67.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,4.615384615384615,4.0
362,59759.17594811745,59588.02405188255,38.1,48.3,55.97627339684653,44.02372660315347,64,77,1.0,1.0,64.0,77.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,6.1,6.1
422,59814.03791400456,59533.162085995435,38.1,48.3,55.97627339684653,44.02372660315347,77,93,1.0,1.0,77.0,93.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,4.615384615384615,3.75
482,59807.12927820982,59540.07072179019,38.1,48.3,55.97627339684653,44.02372660315347,88,111,1.0,1.0,88.0,111.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,5.454545454545454,3.3333333333333335
543,59729.87240561153,59617.32759438847,38.1,48.3,55.97627339684653,44.02372660315347,103,127,1.0,1.0,103.0,127.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.009794623516508581,0.0060764287927057925,0,0,63.945038552507484,36.054961447492516,0.0,19.975,4.066666666666666,3.8125
604,59770.30063370854,59576.899366291465,50.5,35.9,55.97627339684653,44.02372660315347,118,141,1.0,1.0,118.0,141.0,0.011188983123798336,0.004976530220495862,0.00011188983123798336,4.976530220495862e-05,0.007389607049088652,0.008175250994086067,0,0,63.945038552507484,36.054961447492516,0.0,19.975,4.066666666666666,4.357142857142857
664,60421.46168793046,58925.73831206954,50.5,35.9,55.97627339684653,44.02372660315347,130,153,1.0,1.0,130.0,153.0,0.008441589247855773,0.006695443165736773,8.441589247855773e-05,6.695443165736774e-05,0.007389607049088652,0.008175250994086067,0,0,63.945038552507484,36.054961447492516,0.0,19.975,5.0,5.0
725,60448.57330232122,58898.62669767877,50.5,35.9,55.97627339684653,44.02372660315347,147,164,1.0,1.0,147.0,164.0,0.008441589247855773,0.006695443165736773,8.441589247855773e-05,6.695443165736774e-05,0.007389607049088652,0.008175250994086067,0,0,63.945038552507484,36.054961447492516,0.0,19.975,3.588235294117647,5.545454545454546
786,60544.36824170519,58802.831758294815,50.5,35.9,55.97627339684653,44.02372660315347,163,179,1.0,1.0,163.0,179.0,0.008441589247855773,0.006695443165736773,8.441589247855773e-05,6.695443165736774e-05,0.007389607049088652,0.008175250994086067,0,0,63.945038552507484,36.054961447492516,0.0,19.975,3.8125,4.066666666666666
